pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Glaceon,133,move,1,Freeze-Dry,94.1%,,,,,,,,
Glaceon,133,move,2,Blizzard,82.9%,,,,,,,,
Glaceon,133,move,3,Protect,45.8%,,,,,,,,
Glaceon,133,move,4,Ice Shard,34.5%,,,,,,,,
Glaceon,133,move,5,Detect,30.2%,,,,,,,,
Glaceon,133,move,6,Shadow Ball,20.5%,,,,,,,,
Glaceon,133,move,7,Icy Wind,14.0%,,,,,,,,
Glaceon,133,move,8,Calm Mind,10.1%,,,,,,,,
Glaceon,133,move,9,Ice Beam,8.2%,,,,,,,,
Glaceon,133,move,10,Alluring Voice,7.4%,,,,,,,,
Glaceon,133,held_item,1,Never-Melt Ice,42.3%,,,,,,,,
Glaceon,133,held_item,2,Bright Powder,25.9%,,,,,,,,
Glaceon,133,held_item,3,Leftovers,6.2%,,,,,,,,
Glaceon,133,held_item,4,Choice Scarf,5.3%,,,,,,,,
Glaceon,133,held_item,5,Life Orb,4.2%,,,,,,,,
Glaceon,133,held_item,6,Focus Sash,4.0%,,,,,,,,
Glaceon,133,held_item,7,Occa Berry,2.3%,,,,,,,,
Glaceon,133,held_item,8,Sitrus Berry,2.1%,,,,,,,,
Glaceon,133,held_item,9,Shell Bell,1.8%,,,,,,,,
Glaceon,133,held_item,10,Quick Claw,1.7%,,,,,,,,
Glaceon,133,teammate,1,Froslass,,,,,,,,,
Glaceon,133,teammate,2,Garchomp,,,,,,,,,
Glaceon,133,teammate,3,Sneasler,,,,,,,,,
Glaceon,133,teammate,4,Alolan Ninetales,,,,,,,,,
Glaceon,133,teammate,5,Kingambit,,,,,,,,,
Glaceon,133,teammate,7,Incineroar,,,,,,,,,
Glaceon,133,teammate,8,Whimsicott,,,,,,,,,
Glaceon,133,teammate,9,Sylveon,,,,,,,,,
Glaceon,133,teammate,10,Milotic,,,,,,,,,
Glaceon,133,stat_alignment,1,Modest,71.1%,Sp. Atk,Attack,,,,,,
Glaceon,133,stat_alignment,2,Quiet,15.1%,Sp. Atk,Speed,,,,,,
Glaceon,133,stat_alignment,3,Timid,6.5%,Speed,Attack,,,,,,
Glaceon,133,stat_alignment,4,Bold,3.8%,Defense,Attack,,,,,,
Glaceon,133,stat_alignment,5,Calm,1.6%,Sp. Def,Attack,,,,,,
Glaceon,133,stat_alignment,6,Relaxed,0.7%,Defense,Speed,,,,,,
Glaceon,133,stat_alignment,7,Mild,0.6%,Sp. Atk,Defense,,,,,,
Glaceon,133,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Glaceon,133,stat_alignment,9,Serious,0.1%,,,,,,,,
Glaceon,133,stat_alignment,10,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Glaceon,133,stat_points,1,,19.0%,,,32,0,0,32,2,0
Glaceon,133,stat_points,2,,9.7%,,,32,0,2,32,0,0
Glaceon,133,stat_points,3,,8.7%,,,32,0,0,32,0,2
Glaceon,133,stat_points,4,,7.3%,,,2,0,0,32,0,32
Glaceon,133,stat_points,5,,5.9%,,,25,0,1,30,0,10
Glaceon,133,stat_points,6,,2.8%,,,0,0,0,32,2,32
Glaceon,133,stat_points,7,,2.1%,,,2,0,0,32,32,0
Glaceon,133,stat_points,8,,1.5%,,,0,0,2,32,32,0
Glaceon,133,stat_points,9,,1.4%,,,32,1,0,32,1,0
Glaceon,133,stat_points,10,,1.2%,,,0,0,2,32,0,32
Glaceon,133,ability,1,Snow Cloak,83.2%,,,,,,,,
Glaceon,133,ability,2,Ice Body,16.8%,,,,,,,,
