pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Glalie,158,move,1,Protect,94.1%,,,,,,,,
Glalie,158,move,2,Explosion,93.5%,,,,,,,,
Glalie,158,move,3,Body Slam,39.5%,,,,,,,,
Glalie,158,move,4,Ice Shard,30.6%,,,,,,,,
Glalie,158,move,5,Taunt,23.8%,,,,,,,,
Glalie,158,move,6,Sheer Cold,20.5%,,,,,,,,
Glalie,158,move,7,Freeze-Dry,14.7%,,,,,,,,
Glalie,158,move,8,Disable,12.4%,,,,,,,,
Glalie,158,move,9,Earthquake,11.4%,,,,,,,,
Glalie,158,move,10,Icy Wind,9.2%,,,,,,,,
Glalie,158,held_item,1,Glalitite,93.5%,,,,,,,,
Glalie,158,held_item,2,Leftovers,1.5%,,,,,,,,
Glalie,158,held_item,3,Choice Scarf,1.3%,,,,,,,,
Glalie,158,held_item,4,Never-Melt Ice,0.9%,,,,,,,,
Glalie,158,held_item,5,Focus Sash,0.8%,,,,,,,,
Glalie,158,held_item,6,Quick Claw,0.3%,,,,,,,,
Glalie,158,held_item,7,Wise Glasses,0.2%,,,,,,,,
Glalie,158,held_item,8,Sitrus Berry,0.2%,,,,,,,,
Glalie,158,held_item,9,Life Orb,0.2%,,,,,,,,
Glalie,158,held_item,10,Silk Scarf,0.2%,,,,,,,,
Glalie,158,teammate,1,Oranguru,,,,,,,,,
Glalie,158,teammate,2,Torkoal,,,,,,,,,
Glalie,158,teammate,3,Sylveon,,,,,,,,,
Glalie,158,teammate,4,Mudsdale,,,,,,,,,
Glalie,158,teammate,5,Clefable,,,,,,,,,
Glalie,158,teammate,6,Araquanid,,,,,,,,,
Glalie,158,teammate,7,Sinistcha,,,,,,,,,
Glalie,158,teammate,8,Rhyperior,,,,,,,,,
Glalie,158,teammate,9,Basculegion Male,,,,,,,,,
Glalie,158,teammate,10,Kingambit,,,,,,,,,
Glalie,158,stat_alignment,1,Jolly,64.5%,Speed,Sp. Atk,,,,,,
Glalie,158,stat_alignment,2,Adamant,19.5%,Attack,Sp. Atk,,,,,,
Glalie,158,stat_alignment,3,Timid,3.5%,Speed,Attack,,,,,,
Glalie,158,stat_alignment,4,Brave,2.7%,Attack,Speed,,,,,,
Glalie,158,stat_alignment,5,Modest,2.3%,Sp. Atk,Attack,,,,,,
Glalie,158,stat_alignment,6,Naive,1.9%,Speed,Sp. Def,,,,,,
Glalie,158,stat_alignment,7,Serious,1.0%,,,,,,,,
Glalie,158,stat_alignment,8,Hasty,1.0%,Speed,Defense,,,,,,
Glalie,158,stat_alignment,9,Bold,0.7%,Defense,Attack,,,,,,
Glalie,158,stat_alignment,10,Mild,0.5%,Sp. Atk,Defense,,,,,,
Glalie,158,stat_points,1,,35.2%,,,2,32,0,0,0,32
Glalie,158,stat_points,2,,13.2%,,,0,32,0,0,2,32
Glalie,158,stat_points,3,,3.4%,,,0,32,2,0,0,32
Glalie,158,stat_points,4,,2.2%,,,32,32,0,0,0,2
Glalie,158,stat_points,5,,1.9%,,,0,32,1,0,1,32
Glalie,158,stat_points,6,,1.6%,,,1,32,0,0,0,32
Glalie,158,stat_points,7,,1.6%,,,32,32,2,0,0,0
Glalie,158,stat_points,8,,1.5%,,,0,32,0,0,0,32
Glalie,158,stat_points,9,,1.2%,,,2,0,0,32,0,32
Glalie,158,stat_points,10,,1.0%,,,32,32,0,0,2,0
Glalie,158,ability,1,Inner Focus,83.3%,,,,,,,,
Glalie,158,ability,2,Moody,14.1%,,,,,,,,
Glalie,158,ability,3,Ice Body,2.6%,,,,,,,,
