pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gliscor,120,move,1,Protect,51.6%,,,,,,,,
Gliscor,120,move,2,Dual Wingbeat,51.0%,,,,,,,,
Gliscor,120,move,3,Earthquake,50.4%,,,,,,,,
Gliscor,120,move,4,Tailwind,50.0%,,,,,,,,
Gliscor,120,move,5,High Horsepower,40.9%,,,,,,,,
Gliscor,120,move,6,Rock Slide,33.7%,,,,,,,,
Gliscor,120,move,7,Ice Fang,11.3%,,,,,,,,
Gliscor,120,move,8,Poison Jab,11.2%,,,,,,,,
Gliscor,120,move,9,Knock Off,10.8%,,,,,,,,
Gliscor,120,move,10,Swords Dance,8.6%,,,,,,,,
Gliscor,120,held_item,1,Leftovers,8.8%,,,,,,,,
Gliscor,120,held_item,2,Life Orb,14.5%,,,,,,,,
Gliscor,120,held_item,3,Sitrus Berry,12.1%,,,,,,,,
Gliscor,120,held_item,4,Focus Sash,11.8%,,,,,,,,
Gliscor,120,held_item,5,Bright Powder,6.3%,,,,,,,,
Gliscor,120,held_item,6,Yache Berry,6.0%,,,,,,,,
Gliscor,120,held_item,7,Choice Scarf,5.5%,,,,,,,,
Gliscor,120,held_item,8,Expert Belt,3.6%,,,,,,,,
Gliscor,120,held_item,9,Quick Claw,2.6%,,,,,,,,
Gliscor,120,held_item,10,Wide Lens,2.3%,,,,,,,,
Gliscor,120,teammate,1,Tyranitar,,,,,,,,,
Gliscor,120,teammate,2,Whimsicott,,,,,,,,,
Gliscor,120,teammate,3,Raichu,,,,,,,,,
Gliscor,120,teammate,4,Sinistcha,,,,,,,,,
Gliscor,120,teammate,5,Incineroar,,,,,,,,,
Gliscor,120,teammate,6,Metagross,,,,,,,,,
Gliscor,120,teammate,7,Sneasler,,,,,,,,,
Gliscor,120,teammate,8,Garchomp,,,,,,,,,
Gliscor,120,teammate,9,Sylveon,,,,,,,,,
Gliscor,120,teammate,10,Kingambit,,,,,,,,,
Gliscor,120,stat_alignment,1,Adamant,53.8%,Attack,Sp. Atk,,,,,,
Gliscor,120,stat_alignment,2,Jolly,26.3%,Speed,Sp. Atk,,,,,,
Gliscor,120,stat_alignment,3,Careful,7.4%,Sp. Def,Sp. Atk,,,,,,
Gliscor,120,stat_alignment,4,Impish,6.9%,Defense,Sp. Atk,,,,,,
Gliscor,120,stat_alignment,5,Brave,2.0%,Attack,Speed,,,,,,
Gliscor,120,stat_alignment,6,Lonely,1.1%,Attack,Defense,,,,,,
Gliscor,120,stat_alignment,7,Sassy,0.5%,Sp. Def,Speed,,,,,,
Gliscor,120,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Gliscor,120,stat_alignment,9,Naughty,0.4%,Attack,Sp. Def,,,,,,
Gliscor,120,stat_alignment,10,Naive,0.3%,Speed,Sp. Def,,,,,,
Gliscor,120,stat_points,1,,20.9%,,,2,32,0,0,0,32
Gliscor,120,stat_points,2,,6.4%,,,0,32,2,0,0,32
Gliscor,120,stat_points,3,,6.0%,,,0,32,0,0,2,32
Gliscor,120,stat_points,4,,4.2%,,,32,32,0,0,2,0
Gliscor,120,stat_points,5,,3.1%,,,32,32,2,0,0,0
Gliscor,120,stat_points,6,,3.0%,,,2,32,0,0,32,0
Gliscor,120,stat_points,7,,2.5%,,,32,32,0,0,0,2
Gliscor,120,stat_points,8,,2.4%,,,0,32,32,0,2,0
Gliscor,120,stat_points,9,,2.0%,,,32,0,2,0,32,0
Gliscor,120,stat_points,10,,1.7%,,,0,32,0,0,0,32
Gliscor,120,stat_points,11,,1.4%,,,23,15,0,0,15,13
Gliscor,120,stat_points,12,,1.2%,,,0,32,0,0,32,2
Gliscor,120,ability,1,Hyper Cutter,78.1%,,,,,,,,
Gliscor,120,ability,2,Sand Veil,13.6%,,,,,,,,
Gliscor,120,ability,3,Poison Heal,8.3%,,,,,,,,
