pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Golurk,94,move,1,Poltergeist,79.1%,,,,,,,,
Golurk,94,move,2,Protect,78.5%,,,,,,,,
Golurk,94,move,3,Headlong Rush,75.9%,,,,,,,,
Golurk,94,move,4,Ice Punch,49.7%,,,,,,,,
Golurk,94,move,5,Drain Punch,17.3%,,,,,,,,
Golurk,94,move,6,Thunder Punch,13.8%,,,,,,,,
Golurk,94,move,7,Rock Slide,13.4%,,,,,,,,
Golurk,94,move,8,Earthquake,12.9%,,,,,,,,
Golurk,94,move,9,High Horsepower,9.3%,,,,,,,,
Golurk,94,move,10,Close Combat,8.6%,,,,,,,,
Golurk,94,held_item,1,Golurkite,85.7%,,,,,,,,
Golurk,94,held_item,2,Life Orb,4.5%,,,,,,,,
Golurk,94,held_item,3,Focus Sash,2.0%,,,,,,,,
Golurk,94,held_item,4,Quick Claw,0.8%,,,,,,,,
Golurk,94,held_item,5,Expert Belt,0.8%,,,,,,,,
Golurk,94,held_item,6,White Herb,0.8%,,,,,,,,
Golurk,94,held_item,7,Sitrus Berry,0.7%,,,,,,,,
Golurk,94,held_item,8,Leftovers,0.7%,,,,,,,,
Golurk,94,held_item,9,Muscle Band,0.7%,,,,,,,,
Golurk,94,held_item,10,Choice Scarf,0.4%,,,,,,,,
Golurk,94,teammate,1,Farigiraf,,,,,,,,,
Golurk,94,teammate,2,Torkoal,,,,,,,,,
Golurk,94,teammate,3,Incineroar,,,,,,,,,
Golurk,94,teammate,4,Sinistcha,,,,,,,,,
Golurk,94,teammate,5,Kingambit,,,,,,,,,
Golurk,94,teammate,6,Sylveon,,,,,,,,,
Golurk,94,teammate,7,Hatterene,,,,,,,,,
Golurk,94,teammate,8,Oranguru,,,,,,,,,
Golurk,94,teammate,9,Staraptor,,,,,,,,,
Golurk,94,teammate,10,Mawile,,,,,,,,,
Golurk,94,stat_alignment,1,Brave,72.7%,Attack,Speed,,,,,,
Golurk,94,stat_alignment,2,Adamant,21.3%,Attack,Sp. Atk,,,,,,
Golurk,94,stat_alignment,3,Relaxed,1.2%,Defense,Speed,,,,,,
Golurk,94,stat_alignment,4,Impish,1.0%,Defense,Sp. Atk,,,,,,
Golurk,94,stat_alignment,5,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Golurk,94,stat_alignment,6,Sassy,0.8%,Sp. Def,Speed,,,,,,
Golurk,94,stat_alignment,7,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Golurk,94,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Golurk,94,stat_alignment,9,Naughty,0.3%,Attack,Sp. Def,,,,,,
Golurk,94,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Golurk,94,stat_points,1,,34.2%,,,32,32,2,0,0,0
Golurk,94,stat_points,2,,20.6%,,,32,32,0,0,2,0
Golurk,94,stat_points,3,,7.6%,,,32,32,1,0,1,0
Golurk,94,stat_points,4,,2.5%,,,32,32,0,0,0,0
Golurk,94,stat_points,5,,2.4%,,,0,32,2,0,32,0
Golurk,94,stat_points,6,,2.0%,,,2,32,32,0,0,0
Golurk,94,stat_points,7,,1.9%,,,0,32,32,0,2,0
Golurk,94,stat_points,8,,1.8%,,,32,32,0,0,0,2
Golurk,94,stat_points,9,,1.6%,,,27,32,1,0,1,5
Golurk,94,stat_points,10,,1.4%,,,2,32,0,0,32,0
Golurk,94,stat_points,11,,1.0%,,,31,32,2,0,1,0
Golurk,94,stat_points,12,,0.8%,,,0,32,17,0,17,0
Golurk,94,ability,1,Iron Fist,62.9%,,,,,,,,
Golurk,94,ability,2,No Guard,32.1%,,,,,,,,
Golurk,94,ability,3,Klutz,4.9%,,,,,,,,
