pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Jumbo Variety,208,move,1,Trick Room,76.9%,,,,,,,,
Gourgeist Jumbo Variety,208,move,2,Poltergeist,60.1%,,,,,,,,
Gourgeist Jumbo Variety,208,move,3,Power Whip,38.9%,,,,,,,,
Gourgeist Jumbo Variety,208,move,4,Trick-or-Treat,35.2%,,,,,,,,
Gourgeist Jumbo Variety,208,move,5,Will-O-Wisp,32.5%,,,,,,,,
Gourgeist Jumbo Variety,208,move,6,Protect,24.9%,,,,,,,,
Gourgeist Jumbo Variety,208,move,7,Ally Switch,23.7%,,,,,,,,
Gourgeist Jumbo Variety,208,move,8,Shadow Sneak,21.3%,,,,,,,,
Gourgeist Jumbo Variety,208,move,9,Seed Bomb,16.5%,,,,,,,,
Gourgeist Jumbo Variety,208,move,10,Explosion,15.0%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,1,Sitrus Berry,18.8%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,2,Occa Berry,13.5%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,3,Leftovers,12.3%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,4,Focus Sash,12.3%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,5,Mental Herb,9.0%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,6,Colbur Berry,4.8%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,7,Silk Scarf,3.4%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,8,Wide Lens,3.4%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,9,Coba Berry,3.2%,,,,,,,,
Gourgeist Jumbo Variety,208,held_item,10,Kasib Berry,2.9%,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,1,Sylveon,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,2,Farigiraf,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,3,Incineroar,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,4,Kingambit,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,5,Torkoal,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,6,Tyranitar,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,7,Mawile,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,8,Oranguru,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,9,Whimsicott,,,,,,,,,
Gourgeist Jumbo Variety,208,teammate,10,Pelipper,,,,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,1,Brave,34.1%,Attack,Speed,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,2,Relaxed,23.3%,Defense,Speed,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,3,Sassy,20.1%,Sp. Def,Speed,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,4,Adamant,11.3%,Attack,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,5,Impish,9.2%,Defense,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,6,Careful,5.0%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,7,Naughty,0.6%,Attack,Sp. Def,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,9,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Gourgeist Jumbo Variety,208,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Gourgeist Jumbo Variety,208,stat_points,1,,17.2%,,,32,0,2,0,32,0
Gourgeist Jumbo Variety,208,stat_points,2,,10.6%,,,32,32,2,0,0,0
Gourgeist Jumbo Variety,208,stat_points,3,,8.5%,,,32,32,0,0,2,0
Gourgeist Jumbo Variety,208,stat_points,4,,5.9%,,,32,0,32,0,2,0
Gourgeist Jumbo Variety,208,stat_points,5,,5.4%,,,32,20,0,0,14,0
Gourgeist Jumbo Variety,208,stat_points,6,,4.8%,,,2,32,0,0,0,32
Gourgeist Jumbo Variety,208,stat_points,7,,4.8%,,,32,2,0,0,32,0
Gourgeist Jumbo Variety,208,stat_points,8,,4.5%,,,32,0,1,0,32,0
Gourgeist Jumbo Variety,208,stat_points,9,,4.4%,,,2,32,0,0,32,0
Gourgeist Jumbo Variety,208,stat_points,10,,4.3%,,,32,0,9,0,25,0
Gourgeist Jumbo Variety,208,stat_points,11,,3.1%,,,0,32,32,0,2,0
Gourgeist Jumbo Variety,208,stat_points,12,,2.1%,,,32,0,18,0,16,0
Gourgeist Jumbo Variety,208,ability,1,Frisk,73.1%,,,,,,,,
Gourgeist Jumbo Variety,208,ability,2,Insomnia,18.2%,,,,,,,,
Gourgeist Jumbo Variety,208,ability,3,Pickup,8.7%,,,,,,,,
