pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Large Variety,227,move,1,Poltergeist,64.0%,,,,,,,,
Gourgeist Large Variety,227,move,2,Trick Room,39.3%,,,,,,,,
Gourgeist Large Variety,227,move,3,Seed Bomb,31.2%,,,,,,,,
Gourgeist Large Variety,227,move,4,Power Whip,30.8%,,,,,,,,
Gourgeist Large Variety,227,move,5,Disable,29.7%,,,,,,,,
Gourgeist Large Variety,227,move,6,Trick-or-Treat,29.0%,,,,,,,,
Gourgeist Large Variety,227,move,7,Protect,27.2%,,,,,,,,
Gourgeist Large Variety,227,move,8,Will-O-Wisp,26.9%,,,,,,,,
Gourgeist Large Variety,227,move,9,Shadow Sneak,22.1%,,,,,,,,
Gourgeist Large Variety,227,move,10,Ally Switch,17.2%,,,,,,,,
Gourgeist Large Variety,227,held_item,1,Focus Sash,28.2%,,,,,,,,
Gourgeist Large Variety,227,held_item,2,Colbur Berry,18.8%,,,,,,,,
Gourgeist Large Variety,227,held_item,3,Leftovers,16.3%,,,,,,,,
Gourgeist Large Variety,227,held_item,4,Mental Herb,10.9%,,,,,,,,
Gourgeist Large Variety,227,held_item,5,Sitrus Berry,8.9%,,,,,,,,
Gourgeist Large Variety,227,held_item,6,Silk Scarf,5.2%,,,,,,,,
Gourgeist Large Variety,227,held_item,7,Choice Scarf,4.3%,,,,,,,,
Gourgeist Large Variety,227,held_item,8,Occa Berry,3.3%,,,,,,,,
Gourgeist Large Variety,227,held_item,9,Quick Claw,1.6%,,,,,,,,
Gourgeist Large Variety,227,held_item,10,Life Orb,0.5%,,,,,,,,
Gourgeist Large Variety,227,teammate,1,Vanilluxe,,,,,,,,,
Gourgeist Large Variety,227,teammate,2,Archaludon,,,,,,,,,
Gourgeist Large Variety,227,teammate,3,Aegislash Shield Forme,,,,,,,,,
Gourgeist Large Variety,227,teammate,4,Houndstone,,,,,,,,,
Gourgeist Large Variety,227,teammate,5,Toucannon,,,,,,,,,
Gourgeist Large Variety,227,teammate,6,Skeledirge,,,,,,,,,
Gourgeist Large Variety,227,teammate,7,Farigiraf,,,,,,,,,
Gourgeist Large Variety,227,teammate,8,Malamar,,,,,,,,,
Gourgeist Large Variety,227,teammate,9,Mawile,,,,,,,,,
Gourgeist Large Variety,227,teammate,10,Bellibolt,,,,,,,,,
Gourgeist Large Variety,227,stat_alignment,1,Adamant,26.8%,Attack,Sp. Atk,,,,,,
Gourgeist Large Variety,227,stat_alignment,2,Naughty,16.9%,Attack,Sp. Def,,,,,,
Gourgeist Large Variety,227,stat_alignment,3,Careful,15.2%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Large Variety,227,stat_alignment,4,Brave,10.2%,Attack,Speed,,,,,,
Gourgeist Large Variety,227,stat_alignment,5,Impish,7.7%,Defense,Sp. Atk,,,,,,
Gourgeist Large Variety,227,stat_alignment,6,Jolly,5.8%,Speed,Sp. Atk,,,,,,
Gourgeist Large Variety,227,stat_alignment,7,Relaxed,5.1%,Defense,Speed,,,,,,
Gourgeist Large Variety,227,stat_alignment,8,Sassy,4.8%,Sp. Def,Speed,,,,,,
Gourgeist Large Variety,227,stat_alignment,9,Lonely,3.2%,Attack,Defense,,,,,,
Gourgeist Large Variety,227,stat_alignment,10,Lax,1.9%,Defense,Sp. Def,,,,,,
Gourgeist Large Variety,227,stat_points,1,,18.0%,,,0,32,32,0,0,2
Gourgeist Large Variety,227,stat_points,2,,10.6%,,,0,32,2,0,0,32
Gourgeist Large Variety,227,stat_points,3,,6.7%,,,32,32,0,0,2,0
Gourgeist Large Variety,227,stat_points,4,,6.6%,,,32,1,16,0,17,0
Gourgeist Large Variety,227,stat_points,5,,6.6%,,,32,9,8,0,17,0
Gourgeist Large Variety,227,stat_points,6,,4.5%,,,32,0,32,0,2,0
Gourgeist Large Variety,227,stat_points,7,,4.4%,,,0,32,2,0,32,0
Gourgeist Large Variety,227,stat_points,8,,4.1%,,,32,0,0,0,32,2
Gourgeist Large Variety,227,stat_points,9,,3.6%,,,32,0,2,0,32,0
Gourgeist Large Variety,227,stat_points,10,,3.4%,,,32,0,9,0,25,0
Gourgeist Large Variety,227,ability,1,Frisk,65.1%,,,,,,,,
Gourgeist Large Variety,227,ability,2,Insomnia,22.0%,,,,,,,,
Gourgeist Large Variety,227,ability,3,Pickup,12.9%,,,,,,,,
