pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist Small Variety,230,move,1,Poltergeist,,,,,,,,,
Gourgeist Small Variety,230,move,2,Will-O-Wisp,59.3%,,,,,,,,
Gourgeist Small Variety,230,move,3,Trick-or-Treat,40.7%,,,,,,,,
Gourgeist Small Variety,230,move,4,Protect,37.4%,,,,,,,,
Gourgeist Small Variety,230,move,5,Trick,29.9%,,,,,,,,
Gourgeist Small Variety,230,move,6,Shadow Sneak,22.8%,,,,,,,,
Gourgeist Small Variety,230,move,7,Explosion,17.5%,,,,,,,,
Gourgeist Small Variety,230,move,8,Trick Room,16.4%,,,,,,,,
Gourgeist Small Variety,230,move,9,Bullet Seed,16.2%,,,,,,,,
Gourgeist Small Variety,230,move,10,Ally Switch,13.3%,,,,,,,,
Gourgeist Small Variety,230,held_item,1,Choice Scarf,38.3%,,,,,,,,
Gourgeist Small Variety,230,held_item,2,Leftovers,17.0%,,,,,,,,
Gourgeist Small Variety,230,held_item,3,Life Orb,14.4%,,,,,,,,
Gourgeist Small Variety,230,held_item,4,Sitrus Berry,7.5%,,,,,,,,
Gourgeist Small Variety,230,held_item,5,Focus Sash,6.9%,,,,,,,,
Gourgeist Small Variety,230,held_item,6,Silk Scarf,3.3%,,,,,,,,
Gourgeist Small Variety,230,held_item,7,Occa Berry,1.8%,,,,,,,,
Gourgeist Small Variety,230,held_item,8,Iron Ball,1.1%,,,,,,,,
Gourgeist Small Variety,230,held_item,9,Coba Berry,0.4%,,,,,,,,
Gourgeist Small Variety,230,held_item,10,Kasib Berry,0.4%,,,,,,,,
Gourgeist Small Variety,230,teammate,1,Tyranitar,,,,,,,,,
Gourgeist Small Variety,230,teammate,2,Incineroar,,,,,,,,,
Gourgeist Small Variety,230,teammate,3,Sinistcha,,,,,,,,,
Gourgeist Small Variety,230,teammate,4,Garchomp,,,,,,,,,
Gourgeist Small Variety,230,teammate,5,Kingambit,,,,,,,,,
Gourgeist Small Variety,230,teammate,6,Mawile,,,,,,,,,
Gourgeist Small Variety,230,teammate,7,Kangaskhan,,,,,,,,,
Gourgeist Small Variety,230,teammate,8,Whimsicott,,,,,,,,,
Gourgeist Small Variety,230,teammate,9,Primarina,,,,,,,,,
Gourgeist Small Variety,230,teammate,10,Basculegion Male,,,,,,,,,
Gourgeist Small Variety,230,stat_alignment,1,Adamant,39.8%,Attack,Sp. Atk,,,,,,
Gourgeist Small Variety,230,stat_alignment,2,Jolly,33.4%,Speed,Sp. Atk,,,,,,
Gourgeist Small Variety,230,stat_alignment,3,Brave,8.0%,Attack,Speed,,,,,,
Gourgeist Small Variety,230,stat_alignment,4,Naughty,4.6%,Attack,Sp. Def,,,,,,
Gourgeist Small Variety,230,stat_alignment,5,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Gourgeist Small Variety,230,stat_alignment,6,Lonely,2.0%,Attack,Defense,,,,,,
Gourgeist Small Variety,230,stat_alignment,7,Bold,2.0%,Defense,Attack,,,,,,
Gourgeist Small Variety,230,stat_alignment,8,Quiet,1.8%,Sp. Atk,Speed,,,,,,
Gourgeist Small Variety,230,stat_alignment,9,Sassy,1.5%,Sp. Def,Speed,,,,,,
Gourgeist Small Variety,230,stat_alignment,10,Impish,1.3%,Defense,Sp. Atk,,,,,,
Gourgeist Small Variety,230,stat_points,1,,18.4%,,,32,22,0,0,0,12
Gourgeist Small Variety,230,stat_points,2,,15.7%,,,1,32,0,0,1,32
Gourgeist Small Variety,230,stat_points,3,,13.1%,,,5,32,28,0,0,1
Gourgeist Small Variety,230,stat_points,4,,8.6%,,,0,32,2,0,32,0
Gourgeist Small Variety,230,stat_points,5,,8.2%,,,32,0,0,0,2,32
Gourgeist Small Variety,230,stat_points,6,,5.8%,,,16,25,0,0,2,23
Gourgeist Small Variety,230,stat_points,7,,3.5%,,,0,32,0,9,0,25
Gourgeist Small Variety,230,stat_points,8,,3.1%,,,5,23,22,0,0,16
Gourgeist Small Variety,230,stat_points,9,,2.9%,,,0,32,0,0,2,32
Gourgeist Small Variety,230,stat_points,10,,2.1%,,,0,32,2,0,0,32
Gourgeist Small Variety,230,ability,1,Frisk,85.4%,,,,,,,,
Gourgeist Small Variety,230,ability,2,Pickup,8.6%,,,,,,,,
Gourgeist Small Variety,230,ability,3,Insomnia,6.0%,,,,,,,,
