pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gourgeist,231,move,1,Trick Room,46.2%,,,,,,,,
Gourgeist,231,move,2,Ally Switch,45.9%,,,,,,,,
Gourgeist,231,move,3,Trick-or-Treat,40.6%,,,,,,,,
Gourgeist,231,move,4,Poltergeist,35.8%,,,,,,,,
Gourgeist,231,move,5,Protect,31.3%,,,,,,,,
Gourgeist,231,move,6,Will-O-Wisp,30.8%,,,,,,,,
Gourgeist,231,move,7,Giga Drain,25.2%,,,,,,,,
Gourgeist,231,move,8,Shadow Sneak,22.3%,,,,,,,,
Gourgeist,231,move,9,Leech Seed,16.4%,,,,,,,,
Gourgeist,231,move,10,Rock Slide,14.9%,,,,,,,,
Gourgeist,231,held_item,1,Focus Sash,34.5%,,,,,,,,
Gourgeist,231,held_item,2,Leftovers,23.1%,,,,,,,,
Gourgeist,231,held_item,3,Sitrus Berry,9.0%,,,,,,,,
Gourgeist,231,held_item,4,Big Root,6.6%,,,,,,,,
Gourgeist,231,held_item,5,Wide Lens,5.6%,,,,,,,,
Gourgeist,231,held_item,6,Life Orb,4.5%,,,,,,,,
Gourgeist,231,held_item,7,Quick Claw,3.4%,,,,,,,,
Gourgeist,231,held_item,8,Lum Berry,3.2%,,,,,,,,
Gourgeist,231,held_item,9,Kasib Berry,2.9%,,,,,,,,
Gourgeist,231,held_item,10,Choice Scarf,2.4%,,,,,,,,
Gourgeist,231,teammate,1,Kingambit,,,,,,,,,
Gourgeist,231,teammate,2,Farigiraf,,,,,,,,,
Gourgeist,231,teammate,3,Heracross,,,,,,,,,
Gourgeist,231,teammate,4,Tyranitar,,,,,,,,,
Gourgeist,231,teammate,5,Gardevoir,,,,,,,,,
Gourgeist,231,teammate,6,Medicham,,,,,,,,,
Gourgeist,231,teammate,7,Banette,,,,,,,,,
Gourgeist,231,teammate,8,Chandelure,,,,,,,,,
Gourgeist,231,teammate,9,Falinks,,,,,,,,,
Gourgeist,231,teammate,10,Basculegion Male,,,,,,,,,
Gourgeist,231,stat_alignment,1,Adamant,23.1%,Attack,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,2,Careful,21.8%,Sp. Def,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,3,Relaxed,18.8%,Defense,Speed,,,,,,
Gourgeist,231,stat_alignment,4,Brave,15.6%,Attack,Speed,,,,,,
Gourgeist,231,stat_alignment,5,Naughty,4.2%,Attack,Sp. Def,,,,,,
Gourgeist,231,stat_alignment,6,Jolly,4.0%,Speed,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,7,Impish,3.7%,Defense,Sp. Atk,,,,,,
Gourgeist,231,stat_alignment,8,Sassy,3.4%,Sp. Def,Speed,,,,,,
Gourgeist,231,stat_alignment,9,Bold,2.4%,Defense,Attack,,,,,,
Gourgeist,231,stat_alignment,10,Lax,1.3%,Defense,Sp. Def,,,,,,
Gourgeist,231,stat_points,1,,16.4%,,,32,0,2,0,32,0
Gourgeist,231,stat_points,2,,16.2%,,,31,0,32,0,2,1
Gourgeist,231,stat_points,3,,15.9%,,,2,32,0,0,0,32
Gourgeist,231,stat_points,4,,7.2%,,,32,0,0,0,32,0
Gourgeist,231,stat_points,5,,7.2%,,,32,32,2,0,0,0
Gourgeist,231,stat_points,6,,4.5%,,,2,32,0,0,32,0
