pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Grimmsnarl,17,move,1,Parting Shot,86.7%,,,,,,,,
Grimmsnarl,17,move,2,Light Screen,85.3%,,,,,,,,
Grimmsnarl,17,move,3,Reflect,83.6%,,,,,,,,
Grimmsnarl,17,move,4,Spirit Break,58.1%,,,,,,,,
Grimmsnarl,17,move,5,Fake Out,29.2%,,,,,,,,
Grimmsnarl,17,move,6,Foul Play,18.6%,,,,,,,,
Grimmsnarl,17,move,7,Scary Face,12.9%,,,,,,,,
Grimmsnarl,17,move,8,Sucker Punch,5.9%,,,,,,,,
Grimmsnarl,17,move,9,Fake Tears,5.0%,,,,,,,,
Grimmsnarl,17,move,10,Swagger,3.4%,,,,,,,,
Grimmsnarl,17,held_item,1,Light Clay,80.7%,,,,,,,,
Grimmsnarl,17,held_item,2,Roseli Berry,7.9%,,,,,,,,
Grimmsnarl,17,held_item,3,Sitrus Berry,4.1%,,,,,,,,
Grimmsnarl,17,held_item,4,Leftovers,2.0%,,,,,,,,
Grimmsnarl,17,held_item,5,Babiri Berry,0.7%,,,,,,,,
Grimmsnarl,17,held_item,6,Focus Sash,0.7%,,,,,,,,
Grimmsnarl,17,held_item,7,Black Glasses,0.6%,,,,,,,,
Grimmsnarl,17,held_item,8,Bright Powder,0.5%,,,,,,,,
Grimmsnarl,17,held_item,9,Mental Herb,0.5%,,,,,,,,
Grimmsnarl,17,held_item,10,Life Orb,0.4%,,,,,,,,
Grimmsnarl,17,teammate,1,Sinistcha,,,,,,,,,
Grimmsnarl,17,teammate,2,Staraptor,,,,,,,,,
Grimmsnarl,17,teammate,3,Garchomp,,,,,,,,,
Grimmsnarl,17,teammate,4,Pelipper,,,,,,,,,
Grimmsnarl,17,teammate,5,Archaludon,,,,,,,,,
Grimmsnarl,17,teammate,6,Incineroar,,,,,,,,,
Grimmsnarl,17,teammate,7,Swampert,,,,,,,,,
Grimmsnarl,17,teammate,8,Metagross,,,,,,,,,
Grimmsnarl,17,teammate,9,Basculegion Male,,,,,,,,,
Grimmsnarl,17,teammate,10,Gholdengo,,,,,,,,,
Grimmsnarl,17,stat_alignment,1,Careful,52.6%,Sp. Def,Sp. Atk,,,,,,
Grimmsnarl,17,stat_alignment,2,Impish,25.7%,Defense,Sp. Atk,,,,,,
Grimmsnarl,17,stat_alignment,3,Adamant,6.5%,Attack,Sp. Atk,,,,,,
Grimmsnarl,17,stat_alignment,4,Calm,5.1%,Sp. Def,Attack,,,,,,
Grimmsnarl,17,stat_alignment,5,Sassy,2.1%,Sp. Def,Speed,,,,,,
Grimmsnarl,17,stat_alignment,6,Bold,2.0%,Defense,Attack,,,,,,
Grimmsnarl,17,stat_alignment,7,Relaxed,1.7%,Defense,Speed,,,,,,
Grimmsnarl,17,stat_alignment,8,Brave,1.4%,Attack,Speed,,,,,,
Grimmsnarl,17,stat_alignment,9,Jolly,1.2%,Speed,Sp. Atk,,,,,,
Grimmsnarl,17,stat_alignment,10,Naughty,0.3%,Attack,Sp. Def,,,,,,
Grimmsnarl,17,stat_points,1,,13.8%,,,32,0,19,0,15,0
Grimmsnarl,17,stat_points,2,,5.5%,,,32,0,16,0,18,0
Grimmsnarl,17,stat_points,3,,5.4%,,,32,0,20,0,14,0
Grimmsnarl,17,stat_points,4,,4.5%,,,32,0,32,0,2,0
Grimmsnarl,17,stat_points,5,,4.2%,,,32,0,15,0,19,0
Grimmsnarl,17,stat_points,6,,4.1%,,,32,0,17,0,17,0
Grimmsnarl,17,stat_points,7,,3.3%,,,31,0,20,0,15,0
Grimmsnarl,17,stat_points,8,,2.4%,,,32,0,25,0,9,0
Grimmsnarl,17,stat_points,9,,2.1%,,,32,0,2,0,32,0
Grimmsnarl,17,stat_points,10,,1.9%,,,2,0,32,0,32,0
Grimmsnarl,17,stat_points,11,,1.8%,,,32,0,21,0,13,0
Grimmsnarl,17,stat_points,12,,1.5%,,,32,0,27,0,7,0
Grimmsnarl,17,ability,1,Prankster,99.3%,,,,,,,,
Grimmsnarl,17,ability,2,Frisk,0.4%,,,,,,,,
Grimmsnarl,17,ability,3,Pickpocket,0.3%,,,,,,,,
