pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gyarados,70,move,1,Waterfall,93.6%,,,,,,,,
Gyarados,70,move,2,Protect,67.2%,,,,,,,,
Gyarados,70,move,3,Rain Dance,57.4%,,,,,,,,
Gyarados,70,move,4,Crunch,37.1%,,,,,,,,
Gyarados,70,move,5,Ice Fang,31.9%,,,,,,,,
Gyarados,70,move,6,Earthquake,25.1%,,,,,,,,
Gyarados,70,move,7,Power Whip,19.2%,,,,,,,,
Gyarados,70,move,8,Thunder Wave,10.9%,,,,,,,,
Gyarados,70,move,9,Taunt,10.5%,,,,,,,,
Gyarados,70,move,10,Lash Out,6.9%,,,,,,,,
Gyarados,70,held_item,1,Gyaradosite,40.8%,,,,,,,,
Gyarados,70,held_item,2,Sitrus Berry,16.5%,,,,,,,,
Gyarados,70,held_item,3,Leftovers,15.9%,,,,,,,,
Gyarados,70,held_item,4,Life Orb,5.1%,,,,,,,,
Gyarados,70,held_item,5,Expert Belt,4.0%,,,,,,,,
Gyarados,70,held_item,6,White Herb,2.5%,,,,,,,,
Gyarados,70,held_item,7,Lum Berry,2.2%,,,,,,,,
Gyarados,70,held_item,8,Focus Sash,2.1%,,,,,,,,
Gyarados,70,held_item,9,Mystic Water,2.1%,,,,,,,,
Gyarados,70,held_item,10,Wacan Berry,1.7%,,,,,,,,
Gyarados,70,teammate,1,Garchomp,,,,,,,,,
Gyarados,70,teammate,2,Raichu,,,,,,,,,
Gyarados,70,teammate,3,Sneasler,,,,,,,,,
Gyarados,70,teammate,4,Whimsicott,,,,,,,,,
Gyarados,70,teammate,5,Sinistcha,,,,,,,,,
Gyarados,70,teammate,6,Kingambit,,,,,,,,,
Gyarados,70,teammate,7,Sylveon,,,,,,,,,
Gyarados,70,teammate,8,Incineroar,,,,,,,,,
Gyarados,70,teammate,9,Sceptile,,,,,,,,,
Gyarados,70,teammate,10,Gholdengo,,,,,,,,,
Gyarados,70,stat_alignment,1,Adamant,50.7%,Attack,Sp. Atk,,,,,,
Gyarados,70,stat_alignment,2,Jolly,34.3%,Speed,Sp. Atk,,,,,,
Gyarados,70,stat_alignment,3,Careful,5.9%,Sp. Def,Sp. Atk,,,,,,
Gyarados,70,stat_alignment,4,Impish,4.6%,Defense,Sp. Atk,,,,,,
Gyarados,70,stat_alignment,5,Brave,1.9%,Attack,Speed,,,,,,
Gyarados,70,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Gyarados,70,stat_alignment,7,Modest,0.5%,Sp. Atk,Attack,,,,,,
Gyarados,70,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Gyarados,70,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Gyarados,70,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Gyarados,70,stat_points,1,,25.8%,,,2,32,0,0,0,32
Gyarados,70,stat_points,2,,5.1%,,,32,32,2,0,0,0
Gyarados,70,stat_points,3,,4.7%,,,0,32,5,0,0,29
Gyarados,70,stat_points,4,,4.2%,,,0,32,2,0,0,32
Gyarados,70,stat_points,5,,2.2%,,,32,32,0,0,0,2
Gyarados,70,stat_points,6,,2.1%,,,19,15,1,0,1,30
Gyarados,70,stat_points,7,,2.0%,,,0,32,0,0,2,32
Gyarados,70,stat_points,8,,1.6%,,,1,32,1,0,0,32
Gyarados,70,stat_points,9,,1.6%,,,32,32,0,0,2,0
Gyarados,70,stat_points,10,,1.1%,,,0,32,0,0,0,32
Gyarados,70,stat_points,11,,1.0%,,,21,25,0,0,0,20
Gyarados,70,stat_points,12,,1.0%,,,32,0,32,0,2,0
Gyarados,70,ability,1,Intimidate,95.7%,,,,,,,,
Gyarados,70,ability,2,Moxie,4.3%,,,,,,,,
