pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hatterene,65,move,1,Dazzling Gleam,93.0%,,,,,,,,
Hatterene,65,move,2,Trick Room,85.9%,,,,,,,,
Hatterene,65,move,3,Protect,66.3%,,,,,,,,
Hatterene,65,move,4,Psychic,63.4%,,,,,,,,
Hatterene,65,move,5,Expanding Force,19.4%,,,,,,,,
Hatterene,65,move,6,Mystical Fire,15.7%,,,,,,,,
Hatterene,65,move,7,Psychic Terrain,6.2%,,,,,,,,
Hatterene,65,move,8,Giga Drain,5.4%,,,,,,,,
Hatterene,65,move,9,Shadow Ball,4.4%,,,,,,,,
Hatterene,65,move,10,Calm Mind,4.3%,,,,,,,,
Hatterene,65,held_item,1,Life Orb,26.4%,,,,,,,,
Hatterene,65,held_item,2,Focus Sash,24.2%,,,,,,,,
Hatterene,65,held_item,3,Fairy Feather,18.4%,,,,,,,,
Hatterene,65,held_item,4,Sitrus Berry,9.2%,,,,,,,,
Hatterene,65,held_item,5,Leftovers,6.5%,,,,,,,,
Hatterene,65,held_item,6,Babiri Berry,4.4%,,,,,,,,
Hatterene,65,held_item,7,Wise Glasses,1.6%,,,,,,,,
Hatterene,65,held_item,8,Twisted Spoon,1.4%,,,,,,,,
Hatterene,65,held_item,9,Quick Claw,1.0%,,,,,,,,
Hatterene,65,held_item,10,Kebia Berry,0.9%,,,,,,,,
Hatterene,65,teammate,1,Torkoal,,,,,,,,,
Hatterene,65,teammate,2,Farigiraf,,,,,,,,,
Hatterene,65,teammate,3,Incineroar,,,,,,,,,
Hatterene,65,teammate,4,Kingambit,,,,,,,,,
Hatterene,65,teammate,5,Sinistcha,,,,,,,,,
Hatterene,65,teammate,6,Mawile,,,,,,,,,
Hatterene,65,teammate,7,Oranguru,,,,,,,,,
Hatterene,65,teammate,8,Drampa,,,,,,,,,
Hatterene,65,teammate,9,Staraptor,,,,,,,,,
Hatterene,65,teammate,10,Golurk,,,,,,,,,
Hatterene,65,stat_alignment,1,Quiet,71.0%,Sp. Atk,Speed,,,,,,
Hatterene,65,stat_alignment,2,Modest,14.3%,Sp. Atk,Attack,,,,,,
Hatterene,65,stat_alignment,3,Relaxed,4.5%,Defense,Speed,,,,,,
Hatterene,65,stat_alignment,4,Sassy,3.6%,Sp. Def,Speed,,,,,,
Hatterene,65,stat_alignment,5,Bold,3.3%,Defense,Attack,,,,,,
Hatterene,65,stat_alignment,6,Calm,1.8%,Sp. Def,Attack,,,,,,
Hatterene,65,stat_alignment,7,Mild,0.8%,Sp. Atk,Defense,,,,,,
Hatterene,65,stat_alignment,8,Timid,0.3%,Speed,Attack,,,,,,
Hatterene,65,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Hatterene,65,stat_alignment,10,Lonely,0.0%,Attack,Defense,,,,,,
Hatterene,65,stat_points,1,,36.0%,,,32,0,2,32,0,0
Hatterene,65,stat_points,2,,13.2%,,,32,0,0,32,2,0
Hatterene,65,stat_points,3,,3.3%,,,0,0,2,32,32,0
Hatterene,65,stat_points,4,,3.1%,,,2,0,0,32,32,0
Hatterene,65,stat_points,5,,2.9%,,,0,0,32,32,2,0
Hatterene,65,stat_points,6,,2.8%,,,27,0,7,32,0,0
Hatterene,65,stat_points,7,,2.3%,,,32,0,0,32,0,0
Hatterene,65,stat_points,8,,1.7%,,,2,0,32,32,0,0
Hatterene,65,stat_points,9,,1.3%,,,32,0,32,0,2,0
Hatterene,65,stat_points,10,,1.2%,,,32,0,1,32,0,0
Hatterene,65,stat_points,11,,1.1%,,,32,0,1,32,1,0
Hatterene,65,stat_points,12,,0.9%,,,28,0,5,32,1,0
Hatterene,65,ability,1,Magic Bounce,94.0%,,,,,,,,
Hatterene,65,ability,2,Healer,4.4%,,,,,,,,
Hatterene,65,ability,3,Anticipation,1.6%,,,,,,,,
