pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hawlucha,110,move,1,Entrainment,74.1%,,,,,,,,
Hawlucha,110,move,2,Brave Bird,60.1%,,,,,,,,
Hawlucha,110,move,3,Close Combat,52.2%,,,,,,,,
Hawlucha,110,move,4,Detect,46.9%,,,,,,,,
Hawlucha,110,move,5,Protect,29.7%,,,,,,,,
Hawlucha,110,move,6,High Jump Kick,22.4%,,,,,,,,
Hawlucha,110,move,7,Dual Wingbeat,14.9%,,,,,,,,
Hawlucha,110,move,8,Stone Edge,10.3%,,,,,,,,
Hawlucha,110,move,9,Rock Slide,8.5%,,,,,,,,
Hawlucha,110,move,10,Flying Press,8.5%,,,,,,,,
Hawlucha,110,held_item,1,Hawluchanite,83.0%,,,,,,,,
Hawlucha,110,held_item,2,White Herb,7.0%,,,,,,,,
Hawlucha,110,held_item,3,Focus Sash,4.4%,,,,,,,,
Hawlucha,110,held_item,4,King's Rock,1.2%,,,,,,,,
Hawlucha,110,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Hawlucha,110,held_item,6,Lum Berry,0.7%,,,,,,,,
Hawlucha,110,held_item,7,Life Orb,0.6%,,,,,,,,
Hawlucha,110,held_item,8,Choice Scarf,0.4%,,,,,,,,
Hawlucha,110,held_item,9,Muscle Band,0.2%,,,,,,,,
Hawlucha,110,held_item,10,Persim Berry,0.2%,,,,,,,,
Hawlucha,110,teammate,1,Snorlax,,,,,,,,,
Hawlucha,110,teammate,2,Sinistcha,,,,,,,,,
Hawlucha,110,teammate,3,Incineroar,,,,,,,,,
Hawlucha,110,teammate,4,Gengar,,,,,,,,,
Hawlucha,110,teammate,5,Politoed,,,,,,,,,
Hawlucha,110,teammate,6,Kingambit,,,,,,,,,
Hawlucha,110,teammate,7,Farigiraf,,,,,,,,,
Hawlucha,110,teammate,8,Whimsicott,,,,,,,,,
Hawlucha,110,teammate,9,Garchomp,,,,,,,,,
Hawlucha,110,teammate,10,Raichu,,,,,,,,,
Hawlucha,110,stat_alignment,1,Jolly,76.9%,Speed,Sp. Atk,,,,,,
Hawlucha,110,stat_alignment,2,Adamant,15.7%,Attack,Sp. Atk,,,,,,
Hawlucha,110,stat_alignment,3,Careful,1.5%,Sp. Def,Sp. Atk,,,,,,
Hawlucha,110,stat_alignment,4,Impish,1.2%,Defense,Sp. Atk,,,,,,
Hawlucha,110,stat_alignment,5,Naive,0.9%,Speed,Sp. Def,,,,,,
Hawlucha,110,stat_alignment,6,Naughty,0.7%,Attack,Sp. Def,,,,,,
Hawlucha,110,stat_alignment,7,Brave,0.6%,Attack,Speed,,,,,,
Hawlucha,110,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Hawlucha,110,stat_alignment,9,Timid,0.4%,Speed,Attack,,,,,,
Hawlucha,110,stat_alignment,10,Hasty,0.4%,Speed,Defense,,,,,,
Hawlucha,110,stat_points,1,,26.9%,,,32,0,0,0,2,32
Hawlucha,110,stat_points,2,,26.2%,,,2,32,0,0,0,32
Hawlucha,110,stat_points,3,,10.4%,,,32,2,0,0,0,32
Hawlucha,110,stat_points,4,,4.7%,,,0,32,0,0,2,32
Hawlucha,110,stat_points,5,,4.7%,,,0,32,2,0,0,32
Hawlucha,110,stat_points,6,,2.6%,,,32,0,2,0,0,32
Hawlucha,110,stat_points,7,,1.8%,,,32,0,0,0,0,32
Hawlucha,110,stat_points,8,,1.4%,,,0,32,0,0,0,32
Hawlucha,110,stat_points,9,,1.1%,,,32,1,1,0,1,31
Hawlucha,110,stat_points,10,,0.6%,,,32,32,0,0,0,2
Hawlucha,110,stat_points,11,,0.5%,,,32,32,2,0,0,0
Hawlucha,110,stat_points,12,,0.5%,,,31,3,0,0,0,32
Hawlucha,110,ability,1,Mold Breaker,39.4%,,,,,,,,
Hawlucha,110,ability,2,Limber,35.3%,,,,,,,,
Hawlucha,110,ability,3,Unburden,25.3%,,,,,,,,
