pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hippowdon,150,move,1,Earthquake,53.4%,,,,,,,,
Hippowdon,150,move,2,Protect,52.6%,,,,,,,,
Hippowdon,150,move,3,Yawn,50.8%,,,,,,,,
Hippowdon,150,move,4,Slack Off,34.9%,,,,,,,,
Hippowdon,150,move,5,High Horsepower,34.4%,,,,,,,,
Hippowdon,150,move,6,Rock Slide,32.1%,,,,,,,,
Hippowdon,150,move,7,Stealth Rock,26.2%,,,,,,,,
Hippowdon,150,move,8,Ice Fang,15.2%,,,,,,,,
Hippowdon,150,move,9,Whirlwind,12.7%,,,,,,,,
Hippowdon,150,move,10,Body Press,11.6%,,,,,,,,
Hippowdon,150,held_item,1,Leftovers,37.3%,,,,,,,,
Hippowdon,150,held_item,2,Sitrus Berry,24.5%,,,,,,,,
Hippowdon,150,held_item,3,Smooth Rock,7.0%,,,,,,,,
Hippowdon,150,held_item,4,Quick Claw,6.5%,,,,,,,,
Hippowdon,150,held_item,5,Life Orb,3.5%,,,,,,,,
Hippowdon,150,held_item,6,Passho Berry,3.2%,,,,,,,,
Hippowdon,150,held_item,7,Soft Sand,2.9%,,,,,,,,
Hippowdon,150,held_item,8,Zoom Lens,1.8%,,,,,,,,
Hippowdon,150,held_item,9,Lum Berry,1.7%,,,,,,,,
Hippowdon,150,held_item,10,Expert Belt,1.6%,,,,,,,,
Hippowdon,150,teammate,1,Sinistcha,,,,,,,,,
Hippowdon,150,teammate,2,Farigiraf,,,,,,,,,
Hippowdon,150,teammate,3,Garchomp,,,,,,,,,
Hippowdon,150,teammate,4,Tyranitar,,,,,,,,,
Hippowdon,150,teammate,5,Whimsicott,,,,,,,,,
Hippowdon,150,teammate,6,Kingambit,,,,,,,,,
Hippowdon,150,teammate,7,Incineroar,,,,,,,,,
Hippowdon,150,teammate,8,Sylveon,,,,,,,,,
Hippowdon,150,teammate,10,Basculegion Male,,,,,,,,,
Hippowdon,150,stat_alignment,1,Impish,32.6%,Defense,Sp. Atk,,,,,,
Hippowdon,150,stat_alignment,2,Careful,23.2%,Sp. Def,Sp. Atk,,,,,,
Hippowdon,150,stat_alignment,3,Brave,15.6%,Attack,Speed,,,,,,
Hippowdon,150,stat_alignment,4,Adamant,12.2%,Attack,Sp. Atk,,,,,,
Hippowdon,150,stat_alignment,5,Relaxed,8.7%,Defense,Speed,,,,,,
Hippowdon,150,stat_alignment,6,Sassy,5.2%,Sp. Def,Speed,,,,,,
Hippowdon,150,stat_alignment,7,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Hippowdon,150,stat_alignment,8,Naughty,0.5%,Attack,Sp. Def,,,,,,
Hippowdon,150,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Hippowdon,150,stat_alignment,10,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Hippowdon,150,stat_points,1,,18.1%,,,32,0,2,0,32,0
Hippowdon,150,stat_points,2,,7.3%,,,32,0,32,0,2,0
Hippowdon,150,stat_points,3,,7.0%,,,32,32,0,0,2,0
Hippowdon,150,stat_points,4,,5.4%,,,32,32,2,0,0,0
Hippowdon,150,stat_points,5,,3.9%,,,2,32,32,0,0,0
Hippowdon,150,stat_points,6,,3.4%,,,32,2,0,0,32,0
Hippowdon,150,stat_points,7,,2.7%,,,2,32,0,0,32,0
Hippowdon,150,stat_points,8,,2.4%,,,2,0,32,0,32,0
Hippowdon,150,stat_points,9,,2.3%,,,32,0,0,0,32,0
Hippowdon,150,stat_points,10,,1.9%,,,0,32,32,0,2,0
Hippowdon,150,stat_points,11,,1.9%,,,2,0,32,0,31,0
Hippowdon,150,stat_points,12,,1.7%,,,24,32,2,0,8,0
Hippowdon,150,ability,1,Sand Stream,93.8%,,,,,,,,
Hippowdon,150,ability,2,Sand Force,6.2%,,,,,,,,
