pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Avalugg,185,move,1,Rock Slide,82.1%,,,,,,,,
Hisuian Avalugg,185,move,2,Mountain Gale,73.5%,,,,,,,,
Hisuian Avalugg,185,move,3,Wide Guard,70.0%,,,,,,,,
Hisuian Avalugg,185,move,4,Body Press,65.6%,,,,,,,,
Hisuian Avalugg,185,move,5,Protect,21.7%,,,,,,,,
Hisuian Avalugg,185,move,6,Ice Spinner,15.6%,,,,,,,,
Hisuian Avalugg,185,move,7,High Horsepower,8.1%,,,,,,,,
Hisuian Avalugg,185,move,8,Recover,7.2%,,,,,,,,
Hisuian Avalugg,185,move,9,Heavy Slam,6.8%,,,,,,,,
Hisuian Avalugg,185,move,10,Rock Blast,6.1%,,,,,,,,
Hisuian Avalugg,185,held_item,1,Leftovers,48.0%,,,,,,,,
Hisuian Avalugg,185,held_item,2,Wide Lens,12.6%,,,,,,,,
Hisuian Avalugg,185,held_item,3,Quick Claw,6.3%,,,,,,,,
Hisuian Avalugg,185,held_item,4,Sitrus Berry,5.8%,,,,,,,,
Hisuian Avalugg,185,held_item,5,Expert Belt,3.7%,,,,,,,,
Hisuian Avalugg,185,held_item,6,Chople Berry,3.6%,,,,,,,,
Hisuian Avalugg,185,held_item,7,Never-Melt Ice,3.5%,,,,,,,,
Hisuian Avalugg,185,held_item,8,Life Orb,2.8%,,,,,,,,
Hisuian Avalugg,185,held_item,9,Muscle Band,2.1%,,,,,,,,
Hisuian Avalugg,185,held_item,10,Lum Berry,2.0%,,,,,,,,
Hisuian Avalugg,185,teammate,1,Farigiraf,,,,,,,,,
Hisuian Avalugg,185,teammate,2,Camerupt,,,,,,,,,
Hisuian Avalugg,185,teammate,3,Gallade,,,,,,,,,
Hisuian Avalugg,185,teammate,4,Aromatisse,,,,,,,,,
Hisuian Avalugg,185,teammate,5,Kangaskhan,,,,,,,,,
Hisuian Avalugg,185,teammate,6,Torkoal,,,,,,,,,
Hisuian Avalugg,185,teammate,7,Froslass,,,,,,,,,
Hisuian Avalugg,185,teammate,8,Sinistcha,,,,,,,,,
Hisuian Avalugg,185,teammate,9,Mawile,,,,,,,,,
Hisuian Avalugg,185,teammate,10,Alolan Ninetales,,,,,,,,,
Hisuian Avalugg,185,stat_alignment,1,Brave,63.8%,Attack,Speed,,,,,,
Hisuian Avalugg,185,stat_alignment,2,Adamant,10.5%,Attack,Sp. Atk,,,,,,
Hisuian Avalugg,185,stat_alignment,3,Relaxed,8.4%,Defense,Speed,,,,,,
Hisuian Avalugg,185,stat_alignment,4,Sassy,6.7%,Sp. Def,Speed,,,,,,
Hisuian Avalugg,185,stat_alignment,5,Impish,5.9%,Defense,Sp. Atk,,,,,,
Hisuian Avalugg,185,stat_alignment,6,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Hisuian Avalugg,185,stat_alignment,7,Bold,1.4%,Defense,Attack,,,,,,
Hisuian Avalugg,185,stat_alignment,8,Jolly,0.8%,Speed,Sp. Atk,,,,,,
Hisuian Avalugg,185,stat_alignment,9,Naughty,0.5%,Attack,Sp. Def,,,,,,
Hisuian Avalugg,185,stat_alignment,10,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Hisuian Avalugg,185,stat_points,1,,52.2%,,,2,32,32,0,0,0
Hisuian Avalugg,185,stat_points,2,,11.1%,,,32,32,2,0,0,0
Hisuian Avalugg,185,stat_points,3,,5.1%,,,32,2,0,0,32,0
Hisuian Avalugg,185,stat_points,4,,4.2%,,,32,32,0,0,2,0
Hisuian Avalugg,185,stat_points,5,,3.1%,,,0,32,32,0,0,0
Hisuian Avalugg,185,stat_points,6,,2.1%,,,0,32,32,0,2,0
Hisuian Avalugg,185,stat_points,7,,1.9%,,,32,2,32,0,0,0
Hisuian Avalugg,185,stat_points,8,,1.9%,,,32,32,0,0,0,0
Hisuian Avalugg,185,stat_points,9,,1.7%,,,9,32,0,0,0,25
Hisuian Avalugg,185,stat_points,10,,1.4%,,,2,32,0,0,32,0
Hisuian Avalugg,185,stat_points,11,,1.4%,,,0,31,31,0,4,0
Hisuian Avalugg,185,stat_points,12,,1.4%,,,32,0,32,0,2,0
Hisuian Avalugg,185,ability,1,Sturdy,84.3%,,,,,,,,
Hisuian Avalugg,185,ability,2,Ice Body,9.9%,,,,,,,,
Hisuian Avalugg,185,ability,3,Strong Jaw,5.9%,,,,,,,,
