pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Decidueye,128,move,1,Triple Arrows,93.2%,,,,,,,,
Hisuian Decidueye,128,move,2,Leaf Blade,90.1%,,,,,,,,
Hisuian Decidueye,128,move,3,Protect,75.8%,,,,,,,,
Hisuian Decidueye,128,move,4,Sucker Punch,50.6%,,,,,,,,
Hisuian Decidueye,128,move,5,Brave Bird,15.2%,,,,,,,,
Hisuian Decidueye,128,move,6,Tailwind,9.1%,,,,,,,,
Hisuian Decidueye,128,move,7,Upper Hand,7.0%,,,,,,,,
Hisuian Decidueye,128,move,8,Close Combat,6.7%,,,,,,,,
Hisuian Decidueye,128,move,9,Shadow Sneak,5.9%,,,,,,,,
Hisuian Decidueye,128,move,10,U-turn,4.8%,,,,,,,,
Hisuian Decidueye,128,held_item,1,Scope Lens,46.8%,,,,,,,,
Hisuian Decidueye,128,held_item,2,Focus Sash,12.5%,,,,,,,,
Hisuian Decidueye,128,held_item,3,Life Orb,11.8%,,,,,,,,
Hisuian Decidueye,128,held_item,4,Choice Scarf,5.1%,,,,,,,,
Hisuian Decidueye,128,held_item,5,Expert Belt,3.4%,,,,,,,,
Hisuian Decidueye,128,held_item,6,Muscle Band,3.0%,,,,,,,,
Hisuian Decidueye,128,held_item,7,Sitrus Berry,2.8%,,,,,,,,
Hisuian Decidueye,128,held_item,8,Quick Claw,2.1%,,,,,,,,
Hisuian Decidueye,128,held_item,9,Coba Berry,1.9%,,,,,,,,
Hisuian Decidueye,128,held_item,10,Occa Berry,1.8%,,,,,,,,
Hisuian Decidueye,128,teammate,1,Farigiraf,,,,,,,,,
Hisuian Decidueye,128,teammate,2,Mawile,,,,,,,,,
Hisuian Decidueye,128,teammate,3,Incineroar,,,,,,,,,
Hisuian Decidueye,128,teammate,4,Kingambit,,,,,,,,,
Hisuian Decidueye,128,teammate,5,Basculegion Male,,,,,,,,,
Hisuian Decidueye,128,teammate,6,Whimsicott,,,,,,,,,
Hisuian Decidueye,128,teammate,7,Aerodactyl,,,,,,,,,
Hisuian Decidueye,128,teammate,8,Torkoal,,,,,,,,,
Hisuian Decidueye,128,teammate,9,Raichu,,,,,,,,,
Hisuian Decidueye,128,teammate,10,Metagross,,,,,,,,,
Hisuian Decidueye,128,stat_alignment,1,Adamant,52.5%,Attack,Sp. Atk,,,,,,
Hisuian Decidueye,128,stat_alignment,2,Brave,30.5%,Attack,Speed,,,,,,
Hisuian Decidueye,128,stat_alignment,3,Jolly,11.4%,Speed,Sp. Atk,,,,,,
Hisuian Decidueye,128,stat_alignment,4,Lonely,1.5%,Attack,Defense,,,,,,
Hisuian Decidueye,128,stat_alignment,5,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Hisuian Decidueye,128,stat_alignment,6,Impish,0.7%,Defense,Sp. Atk,,,,,,
Hisuian Decidueye,128,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Hisuian Decidueye,128,stat_alignment,8,Naughty,0.5%,Attack,Sp. Def,,,,,,
Hisuian Decidueye,128,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Hisuian Decidueye,128,stat_alignment,10,Timid,0.4%,Speed,Attack,,,,,,
Hisuian Decidueye,128,stat_points,1,,25.9%,,,2,32,0,0,0,32
Hisuian Decidueye,128,stat_points,2,,18.5%,,,32,32,2,0,0,0
Hisuian Decidueye,128,stat_points,3,,9.0%,,,32,32,0,0,2,0
Hisuian Decidueye,128,stat_points,4,,3.8%,,,0,32,2,0,0,32
Hisuian Decidueye,128,stat_points,5,,3.1%,,,2,32,0,0,32,0
Hisuian Decidueye,128,stat_points,6,,2.2%,,,2,32,32,0,0,0
Hisuian Decidueye,128,stat_points,7,,2.1%,,,0,32,2,0,32,0
Hisuian Decidueye,128,stat_points,8,,1.8%,,,32,32,0,0,0,2
Hisuian Decidueye,128,stat_points,9,,1.7%,,,0,32,0,0,2,32
Hisuian Decidueye,128,stat_points,10,,1.3%,,,19,32,15,0,0,0
Hisuian Decidueye,128,stat_points,11,,1.3%,,,0,32,0,0,32,2
Hisuian Decidueye,128,stat_points,12,,1.2%,,,3,27,31,0,0,5
Hisuian Decidueye,128,ability,1,Scrappy,97.4%,,,,,,,,
Hisuian Decidueye,128,ability,2,Overgrow,2.6%,,,,,,,,
