pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Goodra,115,move,1,Flash Cannon,56.6%,,,,,,,,
Hisuian Goodra,115,move,2,Protect,45.7%,,,,,,,,
Hisuian Goodra,115,move,3,Body Press,42.7%,,,,,,,,
Hisuian Goodra,115,move,4,Shelter,41.9%,,,,,,,,
Hisuian Goodra,115,move,5,Life Dew,27.3%,,,,,,,,
Hisuian Goodra,115,move,6,Thunderbolt,23.4%,,,,,,,,
Hisuian Goodra,115,move,7,Draco Meteor,22.1%,,,,,,,,
Hisuian Goodra,115,move,8,Dragon Pulse,21.5%,,,,,,,,
Hisuian Goodra,115,move,9,Heavy Slam,16.8%,,,,,,,,
Hisuian Goodra,115,move,10,Ice Beam,16.8%,,,,,,,,
Hisuian Goodra,115,held_item,1,Leftovers,58.8%,,,,,,,,
Hisuian Goodra,115,held_item,2,Sitrus Berry,10.3%,,,,,,,,
Hisuian Goodra,115,held_item,3,Life Orb,5.0%,,,,,,,,
Hisuian Goodra,115,held_item,4,Chople Berry,4.2%,,,,,,,,
Hisuian Goodra,115,held_item,5,White Herb,3.4%,,,,,,,,
Hisuian Goodra,115,held_item,6,Expert Belt,3.1%,,,,,,,,
Hisuian Goodra,115,held_item,7,Quick Claw,3.0%,,,,,,,,
Hisuian Goodra,115,held_item,8,Bright Powder,1.5%,,,,,,,,
Hisuian Goodra,115,held_item,9,Shuca Berry,1.4%,,,,,,,,
Hisuian Goodra,115,held_item,10,Shell Bell,1.3%,,,,,,,,
Hisuian Goodra,115,teammate,1,Sinistcha,,,,,,,,,
Hisuian Goodra,115,teammate,2,Incineroar,,,,,,,,,
Hisuian Goodra,115,teammate,3,Farigiraf,,,,,,,,,
Hisuian Goodra,115,teammate,4,Garchomp,,,,,,,,,
Hisuian Goodra,115,teammate,5,Whimsicott,,,,,,,,,
Hisuian Goodra,115,teammate,6,Sylveon,,,,,,,,,
Hisuian Goodra,115,teammate,7,Grimmsnarl,,,,,,,,,
Hisuian Goodra,115,teammate,8,Tyranitar,,,,,,,,,
Hisuian Goodra,115,teammate,9,Staraptor,,,,,,,,,
Hisuian Goodra,115,teammate,10,Raichu,,,,,,,,,
Hisuian Goodra,115,stat_alignment,1,Bold,21.7%,Defense,Attack,,,,,,
Hisuian Goodra,115,stat_alignment,2,Modest,21.1%,Sp. Atk,Attack,,,,,,
Hisuian Goodra,115,stat_alignment,3,Quiet,13.3%,Sp. Atk,Speed,,,,,,
Hisuian Goodra,115,stat_alignment,4,Calm,10.7%,Sp. Def,Attack,,,,,,
Hisuian Goodra,115,stat_alignment,5,Relaxed,10.5%,Defense,Speed,,,,,,
Hisuian Goodra,115,stat_alignment,6,Sassy,7.3%,Sp. Def,Speed,,,,,,
Hisuian Goodra,115,stat_alignment,7,Impish,6.7%,Defense,Sp. Atk,,,,,,
Hisuian Goodra,115,stat_alignment,8,Careful,4.2%,Sp. Def,Sp. Atk,,,,,,
Hisuian Goodra,115,stat_alignment,9,Brave,1.6%,Attack,Speed,,,,,,
Hisuian Goodra,115,stat_alignment,10,Adamant,1.4%,Attack,Sp. Atk,,,,,,
Hisuian Goodra,115,stat_points,1,,14.0%,,,32,0,32,0,2,0
Hisuian Goodra,115,stat_points,2,,11.0%,,,32,0,2,32,0,0
Hisuian Goodra,115,stat_points,3,,5.7%,,,2,0,32,32,0,0
Hisuian Goodra,115,stat_points,4,,3.8%,,,32,0,0,32,2,0
Hisuian Goodra,115,stat_points,5,,3.3%,,,32,0,2,0,32,0
Hisuian Goodra,115,stat_points,6,,3.1%,,,2,0,0,32,32,0
Hisuian Goodra,115,stat_points,7,,3.1%,,,0,0,2,32,32,0
Hisuian Goodra,115,stat_points,8,,2.8%,,,0,0,32,32,2,0
Hisuian Goodra,115,stat_points,9,,2.6%,,,32,0,32,2,0,0
Hisuian Goodra,115,stat_points,10,,2.3%,,,32,0,32,0,0,2
Hisuian Goodra,115,stat_points,11,,2.3%,,,20,0,32,0,14,0
Hisuian Goodra,115,stat_points,12,,1.8%,,,32,0,0,32,0,2
Hisuian Goodra,115,ability,1,Shell Armor,48.4%,,,,,,,,
Hisuian Goodra,115,ability,2,Gooey,26.8%,,,,,,,,
Hisuian Goodra,115,ability,3,Sap Sipper,24.8%,,,,,,,,
