pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Samurott,90,move,1,Sacred Sword,87.6%,,,,,,,,
Hisuian Samurott,90,move,2,Ceaseless Edge,72.1%,,,,,,,,
Hisuian Samurott,90,move,3,Sucker Punch,57.6%,,,,,,,,
Hisuian Samurott,90,move,4,Protect,49.6%,,,,,,,,
Hisuian Samurott,90,move,5,Aqua Cutter,43.3%,,,,,,,,
Hisuian Samurott,90,move,6,Night Slash,21.1%,,,,,,,,
Hisuian Samurott,90,move,7,Razor Shell,20.7%,,,,,,,,
Hisuian Samurott,90,move,8,Detect,12.0%,,,,,,,,
Hisuian Samurott,90,move,9,Flip Turn,11.7%,,,,,,,,
Hisuian Samurott,90,move,10,Aqua Jet,5.9%,,,,,,,,
Hisuian Samurott,90,held_item,1,Black Glasses,38.5%,,,,,,,,
Hisuian Samurott,90,held_item,2,Life Orb,14.7%,,,,,,,,
Hisuian Samurott,90,held_item,3,Choice Scarf,14.3%,,,,,,,,
Hisuian Samurott,90,held_item,4,Focus Sash,10.0%,,,,,,,,
Hisuian Samurott,90,held_item,5,Scope Lens,5.3%,,,,,,,,
Hisuian Samurott,90,held_item,6,Expert Belt,3.9%,,,,,,,,
Hisuian Samurott,90,held_item,7,Sitrus Berry,2.4%,,,,,,,,
Hisuian Samurott,90,held_item,8,Muscle Band,1.5%,,,,,,,,
Hisuian Samurott,90,held_item,9,Chople Berry,1.4%,,,,,,,,
Hisuian Samurott,90,held_item,10,Leftovers,1.3%,,,,,,,,
Hisuian Samurott,90,teammate,1,Garchomp,,,,,,,,,
Hisuian Samurott,90,teammate,2,Metagross,,,,,,,,,
Hisuian Samurott,90,teammate,3,Sylveon,,,,,,,,,
Hisuian Samurott,90,teammate,4,Charizard,,,,,,,,,
Hisuian Samurott,90,teammate,6,Whimsicott,,,,,,,,,
Hisuian Samurott,90,teammate,7,Sneasler,,,,,,,,,
Hisuian Samurott,90,teammate,8,Sinistcha,,,,,,,,,
Hisuian Samurott,90,teammate,9,Incineroar,,,,,,,,,
Hisuian Samurott,90,teammate,10,Raichu,,,,,,,,,
Hisuian Samurott,90,stat_alignment,1,Adamant,69.6%,Attack,Sp. Atk,,,,,,
Hisuian Samurott,90,stat_alignment,2,Jolly,20.2%,Speed,Sp. Atk,,,,,,
Hisuian Samurott,90,stat_alignment,3,Impish,4.8%,Defense,Sp. Atk,,,,,,
Hisuian Samurott,90,stat_alignment,4,Brave,2.3%,Attack,Speed,,,,,,
Hisuian Samurott,90,stat_alignment,5,Naughty,0.7%,Attack,Sp. Def,,,,,,
Hisuian Samurott,90,stat_alignment,6,Lonely,0.6%,Attack,Defense,,,,,,
Hisuian Samurott,90,stat_alignment,7,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Hisuian Samurott,90,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Hisuian Samurott,90,stat_alignment,9,Timid,0.3%,Speed,Attack,,,,,,
Hisuian Samurott,90,stat_alignment,10,Lax,0.3%,Defense,Sp. Def,,,,,,
Hisuian Samurott,90,stat_points,1,,35.1%,,,2,32,0,0,0,32
Hisuian Samurott,90,stat_points,2,,6.9%,,,0,32,0,0,2,32
Hisuian Samurott,90,stat_points,3,,5.9%,,,32,32,2,0,0,0
Hisuian Samurott,90,stat_points,4,,5.1%,,,7,32,0,0,0,27
Hisuian Samurott,90,stat_points,5,,5.0%,,,2,32,32,0,0,0
Hisuian Samurott,90,stat_points,6,,4.7%,,,0,32,2,0,0,32
Hisuian Samurott,90,stat_points,7,,2.7%,,,32,32,0,0,2,0
Hisuian Samurott,90,stat_points,8,,2.7%,,,32,32,0,0,0,2
Hisuian Samurott,90,stat_points,9,,1.6%,,,20,32,0,0,0,14
Hisuian Samurott,90,stat_points,10,,1.5%,,,0,32,0,0,0,32
Hisuian Samurott,90,stat_points,11,,0.8%,,,4,32,0,0,0,30
Hisuian Samurott,90,stat_points,12,,0.8%,,,0,32,1,0,1,32
Hisuian Samurott,90,ability,1,Sharpness,98.0%,,,,,,,,
Hisuian Samurott,90,ability,2,Torrent,2.0%,,,,,,,,
