pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Typhlosion,42,move,1,Eruption,97.9%,,,,,,,,
Hisuian Typhlosion,42,move,2,Shadow Ball,87.4%,,,,,,,,
Hisuian Typhlosion,42,move,3,Heat Wave,73.2%,,,,,,,,
Hisuian Typhlosion,42,move,4,Burn Up,43.6%,,,,,,,,
Hisuian Typhlosion,42,move,5,Protect,16.7%,,,,,,,,
Hisuian Typhlosion,42,move,6,Infernal Parade,13.7%,,,,,,,,
Hisuian Typhlosion,42,move,7,Overheat,12.4%,,,,,,,,
Hisuian Typhlosion,42,move,8,Solar Beam,11.1%,,,,,,,,
Hisuian Typhlosion,42,move,9,Extrasensory,8.5%,,,,,,,,
Hisuian Typhlosion,42,move,10,Flamethrower,8.4%,,,,,,,,
Hisuian Typhlosion,42,held_item,1,Choice Scarf,83.7%,,,,,,,,
Hisuian Typhlosion,42,held_item,2,Charcoal,7.7%,,,,,,,,
Hisuian Typhlosion,42,held_item,3,Life Orb,3.2%,,,,,,,,
Hisuian Typhlosion,42,held_item,4,Focus Sash,2.0%,,,,,,,,
Hisuian Typhlosion,42,held_item,5,Colbur Berry,0.6%,,,,,,,,
Hisuian Typhlosion,42,held_item,6,Wise Glasses,0.6%,,,,,,,,
Hisuian Typhlosion,42,held_item,7,Sitrus Berry,0.5%,,,,,,,,
Hisuian Typhlosion,42,held_item,8,Quick Claw,0.4%,,,,,,,,
Hisuian Typhlosion,42,held_item,9,Expert Belt,0.2%,,,,,,,,
Hisuian Typhlosion,42,held_item,10,Metronome,0.1%,,,,,,,,
Hisuian Typhlosion,42,teammate,1,Whimsicott,,,,,,,,,
Hisuian Typhlosion,42,teammate,2,Garchomp,,,,,,,,,
Hisuian Typhlosion,42,teammate,3,Staraptor,,,,,,,,,
Hisuian Typhlosion,42,teammate,4,Basculegion Male,,,,,,,,,
Hisuian Typhlosion,42,teammate,5,Gholdengo,,,,,,,,,
Hisuian Typhlosion,42,teammate,6,Raichu,,,,,,,,,
Hisuian Typhlosion,42,teammate,7,Charizard,,,,,,,,,
Hisuian Typhlosion,42,teammate,8,Sneasler,,,,,,,,,
Hisuian Typhlosion,42,teammate,9,Sinistcha,,,,,,,,,
Hisuian Typhlosion,42,teammate,10,Kingambit,,,,,,,,,
Hisuian Typhlosion,42,stat_alignment,1,Modest,76.4%,Sp. Atk,Attack,,,,,,
Hisuian Typhlosion,42,stat_alignment,2,Timid,20.6%,Speed,Attack,,,,,,
Hisuian Typhlosion,42,stat_alignment,3,Mild,0.9%,Sp. Atk,Defense,,,,,,
Hisuian Typhlosion,42,stat_alignment,4,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Hisuian Typhlosion,42,stat_alignment,5,Hasty,0.4%,Speed,Defense,,,,,,
Hisuian Typhlosion,42,stat_alignment,6,Bold,0.3%,Defense,Attack,,,,,,
Hisuian Typhlosion,42,stat_alignment,7,Naive,0.2%,Speed,Sp. Def,,,,,,
Hisuian Typhlosion,42,stat_alignment,8,Calm,0.2%,Sp. Def,Attack,,,,,,
Hisuian Typhlosion,42,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Hisuian Typhlosion,42,stat_alignment,10,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Hisuian Typhlosion,42,stat_points,1,,71.5%,,,2,0,0,32,0,32
Hisuian Typhlosion,42,stat_points,2,,7.7%,,,0,0,2,32,0,32
Hisuian Typhlosion,42,stat_points,3,,5.8%,,,0,0,0,32,2,32
Hisuian Typhlosion,42,stat_points,4,,2.4%,,,0,0,0,32,0,32
Hisuian Typhlosion,42,stat_points,5,,2.2%,,,1,0,1,32,0,32
Hisuian Typhlosion,42,stat_points,6,,0.7%,,,1,0,0,32,1,32
Hisuian Typhlosion,42,stat_points,7,,0.6%,,,32,0,2,32,0,0
Hisuian Typhlosion,42,stat_points,8,,0.5%,,,1,0,0,32,0,32
Hisuian Typhlosion,42,stat_points,9,,0.5%,,,5,0,0,32,0,29
Hisuian Typhlosion,42,stat_points,10,,0.4%,,,32,0,0,32,0,2
Hisuian Typhlosion,42,stat_points,11,,0.4%,,,32,0,0,32,2,0
Hisuian Typhlosion,42,stat_points,12,,0.3%,,,0,0,32,32,2,0
Hisuian Typhlosion,42,ability,1,Frisk,81.8%,,,,,,,,
Hisuian Typhlosion,42,ability,2,Blaze,18.2%,,,,,,,,
