pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hisuian Zoroark,59,move,1,Bitter Malice,53.8%,,,,,,,,
Hisuian Zoroark,59,move,2,Hyper Voice,50.6%,,,,,,,,
Hisuian Zoroark,59,move,3,Shadow Ball,42.1%,,,,,,,,
Hisuian Zoroark,59,move,4,Icy Wind,41.8%,,,,,,,,
Hisuian Zoroark,59,move,5,Protect,31.3%,,,,,,,,
Hisuian Zoroark,59,move,6,Psychic,24.8%,,,,,,,,
Hisuian Zoroark,59,move,7,Taunt,16.9%,,,,,,,,
Hisuian Zoroark,59,move,8,Flamethrower,15.9%,,,,,,,,
Hisuian Zoroark,59,move,9,Sludge Bomb,14.3%,,,,,,,,
Hisuian Zoroark,59,move,10,Focus Blast,12.0%,,,,,,,,
Hisuian Zoroark,59,held_item,1,Focus Sash,34.1%,,,,,,,,
Hisuian Zoroark,59,held_item,2,Choice Scarf,24.6%,,,,,,,,
Hisuian Zoroark,59,held_item,3,Life Orb,19.8%,,,,,,,,
Hisuian Zoroark,59,held_item,4,Silk Scarf,4.2%,,,,,,,,
Hisuian Zoroark,59,held_item,5,Colbur Berry,2.3%,,,,,,,,
Hisuian Zoroark,59,held_item,6,Expert Belt,2.0%,,,,,,,,
Hisuian Zoroark,59,held_item,7,Spell Tag,1.9%,,,,,,,,
Hisuian Zoroark,59,held_item,8,Sitrus Berry,1.8%,,,,,,,,
Hisuian Zoroark,59,held_item,9,Bright Powder,1.6%,,,,,,,,
Hisuian Zoroark,59,held_item,10,Wise Glasses,1.5%,,,,,,,,
Hisuian Zoroark,59,teammate,1,Whimsicott,,,,,,,,,
Hisuian Zoroark,59,teammate,2,Garchomp,,,,,,,,,
Hisuian Zoroark,59,teammate,3,Sneasler,,,,,,,,,
Hisuian Zoroark,59,teammate,4,Sylveon,,,,,,,,,
Hisuian Zoroark,59,teammate,5,Kingambit,,,,,,,,,
Hisuian Zoroark,59,teammate,6,Raichu,,,,,,,,,
Hisuian Zoroark,59,teammate,7,Farigiraf,,,,,,,,,
Hisuian Zoroark,59,teammate,8,Staraptor,,,,,,,,,
Hisuian Zoroark,59,teammate,9,Sinistcha,,,,,,,,,
Hisuian Zoroark,59,teammate,10,Charizard,,,,,,,,,
Hisuian Zoroark,59,stat_alignment,1,Timid,55.7%,Speed,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,2,Modest,37.1%,Sp. Atk,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,3,Hasty,2.2%,Speed,Defense,,,,,,
Hisuian Zoroark,59,stat_alignment,4,Mild,2.1%,Sp. Atk,Defense,,,,,,
Hisuian Zoroark,59,stat_alignment,5,Naive,0.6%,Speed,Sp. Def,,,,,,
Hisuian Zoroark,59,stat_alignment,6,Calm,0.5%,Sp. Def,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,7,Bold,0.3%,Defense,Attack,,,,,,
Hisuian Zoroark,59,stat_alignment,8,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Hisuian Zoroark,59,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Hisuian Zoroark,59,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Hisuian Zoroark,59,stat_points,1,,54.9%,,,2,0,0,32,0,32
Hisuian Zoroark,59,stat_points,2,,9.0%,,,0,0,0,32,2,32
Hisuian Zoroark,59,stat_points,3,,7.4%,,,0,0,2,32,0,32
Hisuian Zoroark,59,stat_points,4,,4.4%,,,1,0,1,32,0,32
Hisuian Zoroark,59,stat_points,5,,3.5%,,,0,0,0,32,0,32
Hisuian Zoroark,59,stat_points,6,,2.1%,,,0,0,1,32,1,32
Hisuian Zoroark,59,stat_points,7,,2.1%,,,1,0,0,32,1,32
Hisuian Zoroark,59,stat_points,8,,1.0%,,,32,0,0,32,0,2
Hisuian Zoroark,59,stat_points,9,,0.9%,,,9,0,0,32,0,25
Hisuian Zoroark,59,stat_points,10,,0.7%,,,2,0,0,32,32,0
Hisuian Zoroark,59,stat_points,11,,0.7%,,,1,0,0,32,0,32
Hisuian Zoroark,59,stat_points,12,,0.5%,,,32,0,0,32,2,0
Hisuian Zoroark,59,ability,1,Illusion,100.0%,,,,,,,,
