pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Houndstone,111,move,1,Last Respects,92.3%,,,,,,,,
Houndstone,111,move,2,Protect,56.9%,,,,,,,,
Houndstone,111,move,3,Will-O-Wisp,45.5%,,,,,,,,
Houndstone,111,move,4,Psychic Fangs,34.6%,,,,,,,,
Houndstone,111,move,5,Shadow Sneak,28.5%,,,,,,,,
Houndstone,111,move,6,Play Rough,23.0%,,,,,,,,
Houndstone,111,move,7,Ally Switch,20.2%,,,,,,,,
Houndstone,111,move,8,Body Press,16.0%,,,,,,,,
Houndstone,111,move,9,Howl,12.5%,,,,,,,,
Houndstone,111,move,10,Destiny Bond,10.1%,,,,,,,,
Houndstone,111,held_item,1,Life Orb,22.7%,,,,,,,,
Houndstone,111,held_item,2,Sitrus Berry,21.9%,,,,,,,,
Houndstone,111,held_item,3,Spell Tag,17.0%,,,,,,,,
Houndstone,111,held_item,4,Kasib Berry,7.8%,,,,,,,,
Houndstone,111,held_item,5,Focus Sash,7.5%,,,,,,,,
Houndstone,111,held_item,6,Leftovers,6.9%,,,,,,,,
Houndstone,111,held_item,7,Colbur Berry,5.2%,,,,,,,,
Houndstone,111,held_item,8,Choice Scarf,4.0%,,,,,,,,
Houndstone,111,held_item,9,Wide Lens,1.6%,,,,,,,,
Houndstone,111,held_item,10,Quick Claw,0.9%,,,,,,,,
Houndstone,111,teammate,1,Tyranitar,,,,,,,,,
Houndstone,111,teammate,2,Excadrill,,,,,,,,,
Houndstone,111,teammate,3,Corviknight,,,,,,,,,
Houndstone,111,teammate,4,Sinistcha,,,,,,,,,
Houndstone,111,teammate,5,Hydreigon,,,,,,,,,
Houndstone,111,teammate,6,Garchomp,,,,,,,,,
Houndstone,111,teammate,7,Staraptor,,,,,,,,,
Houndstone,111,teammate,8,Scovillain,,,,,,,,,
Houndstone,111,teammate,9,Whimsicott,,,,,,,,,
Houndstone,111,teammate,10,Rotom Wash,,,,,,,,,
Houndstone,111,stat_alignment,1,Adamant,69.5%,Attack,Sp. Atk,,,,,,
Houndstone,111,stat_alignment,2,Jolly,14.9%,Speed,Sp. Atk,,,,,,
Houndstone,111,stat_alignment,3,Brave,5.3%,Attack,Speed,,,,,,
Houndstone,111,stat_alignment,4,Impish,5.1%,Defense,Sp. Atk,,,,,,
Houndstone,111,stat_alignment,5,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Houndstone,111,stat_alignment,6,Bold,0.9%,Defense,Attack,,,,,,
Houndstone,111,stat_alignment,7,Sassy,0.5%,Sp. Def,Speed,,,,,,
Houndstone,111,stat_alignment,8,Naughty,0.5%,Attack,Sp. Def,,,,,,
Houndstone,111,stat_alignment,9,Naive,0.4%,Speed,Sp. Def,,,,,,
Houndstone,111,stat_alignment,10,Relaxed,0.3%,Defense,Speed,,,,,,
Houndstone,111,stat_points,1,,25.9%,,,2,32,0,0,0,32
Houndstone,111,stat_points,2,,4.8%,,,23,4,12,0,2,25
Houndstone,111,stat_points,3,,3.2%,,,0,32,0,0,2,32
Houndstone,111,stat_points,4,,3.1%,,,32,32,0,0,2,0
Houndstone,111,stat_points,5,,2.5%,,,0,32,2,0,0,32
Houndstone,111,stat_points,6,,2.4%,,,32,32,2,0,0,0
Houndstone,111,stat_points,7,,2.1%,,,32,32,0,0,0,2
Houndstone,111,stat_points,8,,2.0%,,,2,32,0,0,3,29
Houndstone,111,stat_points,9,,1.4%,,,10,32,0,0,0,24
Houndstone,111,stat_points,10,,1.4%,,,0,32,0,0,0,32
Houndstone,111,stat_points,11,,1.1%,,,2,32,32,0,0,0
Houndstone,111,stat_points,12,,1.1%,,,32,2,0,0,0,32
Houndstone,111,ability,1,Sand Rush,82.7%,,,,,,,,
Houndstone,111,ability,2,Fluffy,17.3%,,,,,,,,
