pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Hydrapple,138,move,1,Fickle Beam,86.7%,,,,,,,,
Hydrapple,138,move,2,Protect,69.6%,,,,,,,,
Hydrapple,138,move,3,Earth Power,65.3%,,,,,,,,
Hydrapple,138,move,4,Giga Drain,47.6%,,,,,,,,
Hydrapple,138,move,5,Energy Ball,30.6%,,,,,,,,
Hydrapple,138,move,6,Pollen Puff,27.2%,,,,,,,,
Hydrapple,138,move,7,Leaf Storm,13.5%,,,,,,,,
Hydrapple,138,move,8,Draco Meteor,10.6%,,,,,,,,
Hydrapple,138,move,9,Nasty Plot,8.1%,,,,,,,,
Hydrapple,138,move,10,Syrup Bomb,8.0%,,,,,,,,
Hydrapple,138,held_item,1,Life Orb,28.3%,,,,,,,,
Hydrapple,138,held_item,2,Leftovers,18.7%,,,,,,,,
Hydrapple,138,held_item,3,Yache Berry,9.7%,,,,,,,,
Hydrapple,138,held_item,4,Sitrus Berry,9.5%,,,,,,,,
Hydrapple,138,held_item,5,Quick Claw,5.7%,,,,,,,,
Hydrapple,138,held_item,6,White Herb,4.9%,,,,,,,,
Hydrapple,138,held_item,7,Wise Glasses,3.7%,,,,,,,,
Hydrapple,138,held_item,8,Focus Sash,3.6%,,,,,,,,
Hydrapple,138,held_item,9,Expert Belt,2.6%,,,,,,,,
Hydrapple,138,held_item,10,Miracle Seed,2.4%,,,,,,,,
Hydrapple,138,teammate,1,Farigiraf,,,,,,,,,
Hydrapple,138,teammate,2,Mawile,,,,,,,,,
Hydrapple,138,teammate,3,Incineroar,,,,,,,,,
Hydrapple,138,teammate,4,Torkoal,,,,,,,,,
Hydrapple,138,teammate,5,Kingambit,,,,,,,,,
Hydrapple,138,teammate,6,Sinistcha,,,,,,,,,
Hydrapple,138,teammate,7,Sylveon,,,,,,,,,
Hydrapple,138,teammate,8,Oranguru,,,,,,,,,
Hydrapple,138,teammate,9,Staraptor,,,,,,,,,
Hydrapple,138,teammate,10,Hatterene,,,,,,,,,
Hydrapple,138,stat_alignment,1,Quiet,57.1%,Sp. Atk,Speed,,,,,,
Hydrapple,138,stat_alignment,2,Modest,26.9%,Sp. Atk,Attack,,,,,,
Hydrapple,138,stat_alignment,3,Relaxed,4.0%,Defense,Speed,,,,,,
Hydrapple,138,stat_alignment,4,Bold,3.3%,Defense,Attack,,,,,,
Hydrapple,138,stat_alignment,5,Calm,3.0%,Sp. Def,Attack,,,,,,
Hydrapple,138,stat_alignment,6,Sassy,2.9%,Sp. Def,Speed,,,,,,
Hydrapple,138,stat_alignment,7,Timid,1.5%,Speed,Attack,,,,,,
Hydrapple,138,stat_alignment,8,Mild,1.0%,Sp. Atk,Defense,,,,,,
Hydrapple,138,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Hydrapple,138,stat_alignment,10,Hasty,0.0%,Speed,Defense,,,,,,
Hydrapple,138,stat_points,1,,31.1%,,,32,0,0,32,2,0
Hydrapple,138,stat_points,2,,15.4%,,,32,0,2,32,0,0
Hydrapple,138,stat_points,3,,4.0%,,,2,0,32,32,0,0
Hydrapple,138,stat_points,4,,3.9%,,,0,0,2,32,32,0
Hydrapple,138,stat_points,5,,2.6%,,,0,0,32,32,2,0
Hydrapple,138,stat_points,6,,2.5%,,,2,0,0,32,32,0
Hydrapple,138,stat_points,7,,2.0%,,,31,0,0,32,3,0
Hydrapple,138,stat_points,8,,1.3%,,,32,0,32,0,2,0
Hydrapple,138,stat_points,9,,1.3%,,,32,0,1,32,1,0
Hydrapple,138,stat_points,10,,1.3%,,,32,0,0,30,4,0
Hydrapple,138,stat_points,11,,1.1%,,,4,0,0,32,30,0
Hydrapple,138,stat_points,12,,1.1%,,,32,0,0,32,0,2
Hydrapple,138,ability,1,Regenerator,74.6%,,,,,,,,
Hydrapple,138,ability,2,Supersweet Syrup,23.0%,,,,,,,,
Hydrapple,138,ability,3,Sticky Hold,2.4%,,,,,,,,
