pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Incineroar,5,move,1,Fake Out,99.4%,,,,,,,,
Incineroar,5,move,2,Parting Shot,94.3%,,,,,,,,
Incineroar,5,move,3,Flare Blitz,91.6%,,,,,,,,
Incineroar,5,move,4,Darkest Lariat,41.1%,,,,,,,,
Incineroar,5,move,5,Throat Chop,40.5%,,,,,,,,
Incineroar,5,move,6,Protect,13.3%,,,,,,,,
Incineroar,5,move,7,Will-O-Wisp,4.0%,,,,,,,,
Incineroar,5,move,8,Taunt,3.6%,,,,,,,,
Incineroar,5,move,9,Close Combat,2.6%,,,,,,,,
Incineroar,5,move,10,Snarl,2.3%,,,,,,,,
Incineroar,5,held_item,1,Sitrus Berry,62.7%,,,,,,,,
Incineroar,5,held_item,2,Chople Berry,10.8%,,,,,,,,
Incineroar,5,held_item,3,Passho Berry,9.3%,,,,,,,,
Incineroar,5,held_item,4,Leftovers,6.3%,,,,,,,,
Incineroar,5,held_item,5,Charcoal,2.2%,,,,,,,,
Incineroar,5,held_item,6,Shuca Berry,2.2%,,,,,,,,
Incineroar,5,held_item,7,Life Orb,1.2%,,,,,,,,
Incineroar,5,held_item,8,White Herb,0.9%,,,,,,,,
Incineroar,5,held_item,9,Quick Claw,0.8%,,,,,,,,
Incineroar,5,held_item,10,Focus Sash,0.5%,,,,,,,,
Incineroar,5,teammate,1,Sinistcha,,,,,,,,,
Incineroar,5,teammate,2,Garchomp,,,,,,,,,
Incineroar,5,teammate,3,Whimsicott,,,,,,,,,
Incineroar,5,teammate,4,Basculegion Male,,,,,,,,,
Incineroar,5,teammate,5,Sneasler,,,,,,,,,
Incineroar,5,teammate,6,Charizard,,,,,,,,,
Incineroar,5,teammate,7,Staraptor,,,,,,,,,
Incineroar,5,teammate,8,Kingambit,,,,,,,,,
Incineroar,5,teammate,9,Farigiraf,,,,,,,,,
Incineroar,5,teammate,10,Sylveon,,,,,,,,,
Incineroar,5,stat_alignment,1,Careful,39.6%,Sp. Def,Sp. Atk,,,,,,
Incineroar,5,stat_alignment,2,Adamant,22.9%,Attack,Sp. Atk,,,,,,
Incineroar,5,stat_alignment,3,Impish,20.0%,Defense,Sp. Atk,,,,,,
Incineroar,5,stat_alignment,4,Brave,5.7%,Attack,Speed,,,,,,
Incineroar,5,stat_alignment,5,Sassy,4.3%,Sp. Def,Speed,,,,,,
Incineroar,5,stat_alignment,6,Jolly,2.8%,Speed,Sp. Atk,,,,,,
Incineroar,5,stat_alignment,7,Relaxed,2.6%,Defense,Speed,,,,,,
Incineroar,5,stat_alignment,8,Naughty,0.4%,Attack,Sp. Def,,,,,,
Incineroar,5,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Incineroar,5,stat_alignment,10,Calm,0.2%,Sp. Def,Attack,,,,,,
Incineroar,5,stat_points,1,,8.9%,,,32,0,14,0,20,0
Incineroar,5,stat_points,2,,3.4%,,,32,32,2,0,0,0
Incineroar,5,stat_points,3,,3.1%,,,32,32,0,0,2,0
Incineroar,5,stat_points,4,,2.7%,,,32,0,16,0,18,0
Incineroar,5,stat_points,5,,2.3%,,,32,0,14,0,15,5
Incineroar,5,stat_points,6,,2.2%,,,32,32,0,0,0,2
Incineroar,5,stat_points,7,,1.8%,,,32,0,20,0,14,0
Incineroar,5,stat_points,8,,1.7%,,,32,0,2,0,32,0
Incineroar,5,stat_points,9,,1.4%,,,32,0,32,0,2,0
Incineroar,5,stat_points,10,,1.4%,,,31,0,7,0,20,8
Incineroar,5,stat_points,11,,1.3%,,,32,0,10,0,13,11
Incineroar,5,stat_points,12,,1.1%,,,31,0,15,0,20,0
Incineroar,5,ability,1,Intimidate,99.5%,,,,,,,,
Incineroar,5,ability,2,Blaze,0.5%,,,,,,,,
