pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Infernape,148,move,1,Fake Out,66.4%,,,,,,,,
Infernape,148,move,2,Close Combat,40.5%,,,,,,,,
Infernape,148,move,3,Fire Punch,33.7%,,,,,,,,
Infernape,148,move,4,Flare Blitz,30.6%,,,,,,,,
Infernape,148,move,5,Protect,29.0%,,,,,,,,
Infernape,148,move,6,Thunder Punch,28.7%,,,,,,,,
Infernape,148,move,7,Drain Punch,25.9%,,,,,,,,
Infernape,148,move,8,Mach Punch,20.1%,,,,,,,,
Infernape,148,move,9,Aura Sphere,15.8%,,,,,,,,
Infernape,148,move,10,Heat Wave,13.5%,,,,,,,,
Infernape,148,held_item,1,Focus Sash,29.9%,,,,,,,,
Infernape,148,held_item,2,Life Orb,26.1%,,,,,,,,
Infernape,148,held_item,3,Expert Belt,6.8%,,,,,,,,
Infernape,148,held_item,4,Muscle Band,5.9%,,,,,,,,
Infernape,148,held_item,5,Black Belt,4.8%,,,,,,,,
Infernape,148,held_item,6,White Herb,4.6%,,,,,,,,
Infernape,148,held_item,7,Charcoal,3.9%,,,,,,,,
Infernape,148,held_item,8,Wide Lens,3.3%,,,,,,,,
Infernape,148,held_item,9,Sitrus Berry,2.9%,,,,,,,,
Infernape,148,held_item,10,Choice Scarf,2.9%,,,,,,,,
Infernape,148,teammate,1,Whimsicott,,,,,,,,,
Infernape,148,teammate,2,Garchomp,,,,,,,,,
Infernape,148,teammate,3,Raichu,,,,,,,,,
Infernape,148,teammate,4,Staraptor,,,,,,,,,
Infernape,148,teammate,5,Metagross,,,,,,,,,
Infernape,148,teammate,6,Farigiraf,,,,,,,,,
Infernape,148,teammate,7,Sinistcha,,,,,,,,,
Infernape,148,teammate,8,Tyranitar,,,,,,,,,
Infernape,148,teammate,9,Sylveon,,,,,,,,,
Infernape,148,teammate,10,Kingambit,,,,,,,,,
Infernape,148,stat_alignment,1,Jolly,38.7%,Speed,Sp. Atk,,,,,,
Infernape,148,stat_alignment,2,Adamant,23.3%,Attack,Sp. Atk,,,,,,
Infernape,148,stat_alignment,3,Modest,10.6%,Sp. Atk,Attack,,,,,,
Infernape,148,stat_alignment,4,Timid,9.7%,Speed,Attack,,,,,,
Infernape,148,stat_alignment,5,Naive,7.2%,Speed,Sp. Def,,,,,,
Infernape,148,stat_alignment,6,Hasty,3.8%,Speed,Defense,,,,,,
Infernape,148,stat_alignment,7,Lonely,1.5%,Attack,Defense,,,,,,
Infernape,148,stat_alignment,8,Naughty,1.4%,Attack,Sp. Def,,,,,,
Infernape,148,stat_alignment,9,Lax,1.2%,Defense,Sp. Def,,,,,,
Infernape,148,stat_alignment,10,Brave,0.6%,Attack,Speed,,,,,,
Infernape,148,stat_points,1,,34.1%,,,2,32,0,0,0,32
Infernape,148,stat_points,2,,14.3%,,,2,0,0,32,0,32
Infernape,148,stat_points,3,,8.2%,,,0,32,2,0,0,32
Infernape,148,stat_points,4,,6.0%,,,0,32,0,0,2,32
Infernape,148,stat_points,5,,3.7%,,,0,32,0,0,0,32
Infernape,148,stat_points,6,,3.6%,,,0,2,0,32,0,32
Infernape,148,stat_points,7,,1.4%,,,0,0,0,32,0,32
Infernape,148,stat_points,8,,1.4%,,,0,0,0,32,2,32
Infernape,148,stat_points,9,,1.3%,,,0,32,0,2,0,32
Infernape,148,stat_points,10,,1.2%,,,2,32,2,0,0,30
Infernape,148,stat_points,11,,1.2%,,,4,20,9,0,1,32
Infernape,148,stat_points,12,,1.1%,,,0,0,2,32,0,32
Infernape,148,ability,1,Iron Fist,57.6%,,,,,,,,
Infernape,148,ability,2,Blaze,42.4%,,,,,,,,
