pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Jolteon,112,move,1,Discharge,47.5%,,,,,,,,
Jolteon,112,move,2,Protect,47.5%,,,,,,,,
Jolteon,112,move,3,Volt Switch,36.6%,,,,,,,,
Jolteon,112,move,4,Thunderbolt,36.4%,,,,,,,,
Jolteon,112,move,5,Shadow Ball,31.6%,,,,,,,,
Jolteon,112,move,6,Alluring Voice,30.9%,,,,,,,,
Jolteon,112,move,7,Electroweb,26.9%,,,,,,,,
Jolteon,112,move,8,Rising Voltage,25.9%,,,,,,,,
Jolteon,112,move,9,Detect,25.2%,,,,,,,,
Jolteon,112,move,10,Weather Ball,15.7%,,,,,,,,
Jolteon,112,held_item,1,Focus Sash,30.0%,,,,,,,,
Jolteon,112,held_item,2,Life Orb,24.4%,,,,,,,,
Jolteon,112,held_item,3,Magnet,20.2%,,,,,,,,
Jolteon,112,held_item,4,Choice Scarf,9.8%,,,,,,,,
Jolteon,112,held_item,5,Shuca Berry,3.9%,,,,,,,,
Jolteon,112,held_item,6,Sitrus Berry,2.5%,,,,,,,,
Jolteon,112,held_item,7,Wise Glasses,1.6%,,,,,,,,
Jolteon,112,held_item,8,Expert Belt,1.2%,,,,,,,,
Jolteon,112,held_item,9,Metronome,1.1%,,,,,,,,
Jolteon,112,held_item,10,Bright Powder,1.0%,,,,,,,,
Jolteon,112,teammate,1,Sceptile,,,,,,,,,
Jolteon,112,teammate,2,Raichu,,,,,,,,,
Jolteon,112,teammate,3,Whimsicott,,,,,,,,,
Jolteon,112,teammate,4,Basculegion Male,,,,,,,,,
Jolteon,112,teammate,5,Garchomp,,,,,,,,,
Jolteon,112,teammate,6,Sylveon,,,,,,,,,
Jolteon,112,teammate,7,Sneasler,,,,,,,,,
Jolteon,112,teammate,8,Incineroar,,,,,,,,,
Jolteon,112,teammate,9,Alolan Ninetales,,,,,,,,,
Jolteon,112,teammate,10,Staraptor,,,,,,,,,
Jolteon,112,stat_alignment,1,Timid,74.0%,Speed,Attack,,,,,,
Jolteon,112,stat_alignment,2,Modest,22.9%,Sp. Atk,Attack,,,,,,
Jolteon,112,stat_alignment,3,Hasty,1.0%,Speed,Defense,,,,,,
Jolteon,112,stat_alignment,4,Bold,0.8%,Defense,Attack,,,,,,
Jolteon,112,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Jolteon,112,stat_alignment,6,Calm,0.2%,Sp. Def,Attack,,,,,,
Jolteon,112,stat_alignment,7,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Jolteon,112,stat_alignment,8,Sassy,0.1%,Sp. Def,Speed,,,,,,
Jolteon,112,stat_alignment,9,Serious,0.1%,,,,,,,,
Jolteon,112,stat_alignment,10,Rash,0.0%,Sp. Atk,Sp. Def,,,,,,
Jolteon,112,stat_points,1,,31.5%,,,2,0,0,32,0,32
Jolteon,112,stat_points,2,,10.6%,,,0,0,2,32,0,32
Jolteon,112,stat_points,3,,9.3%,,,0,0,0,32,2,32
Jolteon,112,stat_points,4,,5.4%,,,0,0,0,32,0,32
Jolteon,112,stat_points,5,,4.7%,,,1,0,1,32,0,32
Jolteon,112,stat_points,6,,1.8%,,,1,0,0,32,1,32
Jolteon,112,stat_points,7,,1.5%,,,1,0,0,32,0,32
Jolteon,112,stat_points,8,,0.9%,,,32,0,0,32,0,2
Jolteon,112,stat_points,9,,0.8%,,,5,0,0,32,0,29
Jolteon,112,stat_points,10,,0.7%,,,32,0,0,2,0,32
Jolteon,112,stat_points,11,,0.4%,,,0,1,0,32,0,32
Jolteon,112,ability,1,Volt Absorb,90.4%,,,,,,,,
Jolteon,112,ability,2,Quick Feet,9.6%,,,,,,,,
