pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kangaskhan,36,move,1,Fake Out,98.8%,,,,,,,,
Kangaskhan,36,move,2,Last Resort,63.3%,,,,,,,,
Kangaskhan,36,move,3,Double-Edge,31.1%,,,,,,,,
Kangaskhan,36,move,4,Sucker Punch,17.8%,,,,,,,,
Kangaskhan,36,move,5,Ice Punch,14.8%,,,,,,,,
Kangaskhan,36,move,6,Drain Punch,12.0%,,,,,,,,
Kangaskhan,36,move,7,Low Kick,11.8%,,,,,,,,
Kangaskhan,36,move,8,Hammer Arm,9.4%,,,,,,,,
Kangaskhan,36,move,9,Protect,5.3%,,,,,,,,
Kangaskhan,36,move,10,Brick Break,3.0%,,,,,,,,
Kangaskhan,36,held_item,1,Silk Scarf,55.2%,,,,,,,,
Kangaskhan,36,held_item,2,Kangaskhanite,31.5%,,,,,,,,
Kangaskhan,36,held_item,3,Life Orb,9.4%,,,,,,,,
Kangaskhan,36,held_item,4,Sitrus Berry,1.4%,,,,,,,,
Kangaskhan,36,held_item,5,Chople Berry,1.3%,,,,,,,,
Kangaskhan,36,held_item,6,Metronome,1.2%,,,,,,,,
Kangaskhan,36,held_item,7,Leftovers,0.7%,,,,,,,,
Kangaskhan,36,held_item,8,Iron Ball,0.6%,,,,,,,,
Kangaskhan,36,held_item,9,Muscle Band,0.5%,,,,,,,,
Kangaskhan,36,held_item,10,Lum Berry,0.3%,,,,,,,,
Kangaskhan,36,teammate,1,Farigiraf,,,,,,,,,
Kangaskhan,36,teammate,2,Torkoal,,,,,,,,,
Kangaskhan,36,teammate,3,Staraptor,,,,,,,,,
Kangaskhan,36,teammate,4,Mawile,,,,,,,,,
Kangaskhan,36,teammate,5,Kingambit,,,,,,,,,
Kangaskhan,36,teammate,6,Basculegion Male,,,,,,,,,
Kangaskhan,36,teammate,7,Sylveon,,,,,,,,,
Kangaskhan,36,teammate,8,Whimsicott,,,,,,,,,
Kangaskhan,36,teammate,9,Sinistcha,,,,,,,,,
Kangaskhan,36,teammate,10,Vivillon Fancy Pattern,,,,,,,,,
Kangaskhan,36,stat_alignment,1,Adamant,49.2%,Attack,Sp. Atk,,,,,,
Kangaskhan,36,stat_alignment,2,Brave,43.6%,Attack,Speed,,,,,,
Kangaskhan,36,stat_alignment,3,Jolly,4.4%,Speed,Sp. Atk,,,,,,
Kangaskhan,36,stat_alignment,4,Impish,0.8%,Defense,Sp. Atk,,,,,,
Kangaskhan,36,stat_alignment,5,Naughty,0.5%,Attack,Sp. Def,,,,,,
Kangaskhan,36,stat_alignment,6,Lonely,0.4%,Attack,Defense,,,,,,
Kangaskhan,36,stat_alignment,7,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Kangaskhan,36,stat_alignment,8,Relaxed,0.1%,Defense,Speed,,,,,,
Kangaskhan,36,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Kangaskhan,36,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Kangaskhan,36,stat_points,1,,29.1%,,,32,32,2,0,0,0
Kangaskhan,36,stat_points,2,,19.0%,,,32,32,1,0,1,0
Kangaskhan,36,stat_points,3,,8.0%,,,2,32,0,0,0,32
Kangaskhan,36,stat_points,4,,6.3%,,,32,32,0,0,2,0
Kangaskhan,36,stat_points,5,,5.0%,,,32,32,0,0,0,2
Kangaskhan,36,stat_points,6,,1.8%,,,32,32,0,0,0,0
Kangaskhan,36,stat_points,7,,1.3%,,,0,32,2,0,0,32
Kangaskhan,36,stat_points,8,,1.1%,,,2,32,32,0,0,0
Kangaskhan,36,stat_points,9,,1.1%,,,0,32,0,0,2,32
Kangaskhan,36,stat_points,10,,1.0%,,,30,32,0,0,0,4
Kangaskhan,36,stat_points,11,,1.0%,,,22,32,12,0,0,0
Kangaskhan,36,stat_points,12,,0.9%,,,32,0,20,0,10,4
Kangaskhan,36,ability,1,Scrappy,95.8%,,,,,,,,
Kangaskhan,36,ability,2,Inner Focus,4.0%,,,,,,,,
Kangaskhan,36,ability,3,Early Bird,0.2%,,,,,,,,
