pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kingambit,6,move,1,Sucker Punch,98.5%,,,,,,,,
Kingambit,6,move,2,Kowtow Cleave,95.3%,,,,,,,,
Kingambit,6,move,3,Iron Head,82.8%,,,,,,,,
Kingambit,6,move,4,Protect,70.2%,,,,,,,,
Kingambit,6,move,5,Low Kick,34.7%,,,,,,,,
Kingambit,6,move,6,Swords Dance,11.1%,,,,,,,,
Kingambit,6,move,7,Brick Break,3.7%,,,,,,,,
Kingambit,6,move,8,Low Sweep,0.8%,,,,,,,,
Kingambit,6,move,9,Stone Edge,0.3%,,,,,,,,
Kingambit,6,move,10,Guillotine,0.3%,,,,,,,,
Kingambit,6,held_item,1,Chople Berry,36.9%,,,,,,,,
Kingambit,6,held_item,2,Black Glasses,31.9%,,,,,,,,
Kingambit,6,held_item,3,Focus Sash,11.3%,,,,,,,,
Kingambit,6,held_item,4,Life Orb,9.6%,,,,,,,,
Kingambit,6,held_item,5,Occa Berry,3.8%,,,,,,,,
Kingambit,6,held_item,6,Sitrus Berry,1.6%,,,,,,,,
Kingambit,6,held_item,7,Leftovers,1.3%,,,,,,,,
Kingambit,6,held_item,8,Expert Belt,0.6%,,,,,,,,
Kingambit,6,held_item,9,Quick Claw,0.6%,,,,,,,,
Kingambit,6,held_item,10,Muscle Band,0.5%,,,,,,,,
Kingambit,6,teammate,1,Garchomp,,,,,,,,,
Kingambit,6,teammate,2,Basculegion Male,,,,,,,,,
Kingambit,6,teammate,3,Whimsicott,,,,,,,,,
Kingambit,6,teammate,4,Charizard,,,,,,,,,
Kingambit,6,teammate,5,Sylveon,,,,,,,,,
Kingambit,6,teammate,6,Sneasler,,,,,,,,,
Kingambit,6,teammate,7,Aerodactyl,,,,,,,,,
Kingambit,6,teammate,8,Sinistcha,,,,,,,,,
Kingambit,6,teammate,9,Farigiraf,,,,,,,,,
Kingambit,6,teammate,10,Incineroar,,,,,,,,,
Kingambit,6,stat_alignment,1,Adamant,83.1%,Attack,Sp. Atk,,,,,,
Kingambit,6,stat_alignment,2,Brave,13.3%,Attack,Speed,,,,,,
Kingambit,6,stat_alignment,3,Impish,0.8%,Defense,Sp. Atk,,,,,,
Kingambit,6,stat_alignment,4,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Kingambit,6,stat_alignment,5,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Kingambit,6,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Kingambit,6,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Kingambit,6,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Kingambit,6,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Kingambit,6,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Kingambit,6,stat_points,1,,20.2%,,,32,32,0,0,2,0
Kingambit,6,stat_points,2,,14.1%,,,32,32,0,0,0,2
Kingambit,6,stat_points,3,,12.8%,,,32,32,2,0,0,0
Kingambit,6,stat_points,4,,3.7%,,,2,32,0,0,0,32
Kingambit,6,stat_points,5,,2.6%,,,32,32,0,0,1,1
Kingambit,6,stat_points,6,,2.1%,,,2,32,32,0,0,0
Kingambit,6,stat_points,7,,2.1%,,,1,32,0,0,1,32
Kingambit,6,stat_points,8,,1.8%,,,24,31,1,0,1,9
Kingambit,6,stat_points,9,,1.3%,,,32,32,1,0,1,0
Kingambit,6,stat_points,10,,1.1%,,,0,32,32,0,2,0
Kingambit,6,ability,1,Defiant,90.1%,,,,,,,,
Kingambit,6,ability,2,Supreme Overlord,9.6%,,,,,,,,
Kingambit,6,ability,3,Pressure,0.3%,,,,,,,,
