pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Klefki,116,move,1,Light Screen,75.6%,,,,,,,,
Klefki,116,move,2,Reflect,71.8%,,,,,,,,
Klefki,116,move,3,Dazzling Gleam,41.8%,,,,,,,,
Klefki,116,move,4,Rain Dance,37.6%,,,,,,,,
Klefki,116,move,5,Trick Room,36.6%,,,,,,,,
Klefki,116,move,6,Thunder Wave,32.7%,,,,,,,,
Klefki,116,move,7,Foul Play,17.0%,,,,,,,,
Klefki,116,move,8,Sunny Day,11.0%,,,,,,,,
Klefki,116,move,9,Sandstorm,10.2%,,,,,,,,
Klefki,116,move,10,Flash Cannon,8.8%,,,,,,,,
Klefki,116,held_item,1,Light Clay,53.1%,,,,,,,,
Klefki,116,held_item,2,Leftovers,9.7%,,,,,,,,
Klefki,116,held_item,3,Mental Herb,8.4%,,,,,,,,
Klefki,116,held_item,4,Sitrus Berry,7.7%,,,,,,,,
Klefki,116,held_item,5,Focus Sash,4.8%,,,,,,,,
Klefki,116,held_item,6,Shuca Berry,3.5%,,,,,,,,
Klefki,116,held_item,7,Occa Berry,3.4%,,,,,,,,
Klefki,116,held_item,8,Bright Powder,1.8%,,,,,,,,
Klefki,116,held_item,9,Fairy Feather,1.3%,,,,,,,,
Klefki,116,held_item,10,Iron Ball,1.2%,,,,,,,,
Klefki,116,teammate,1,Sinistcha,,,,,,,,,
Klefki,116,teammate,2,Archaludon,,,,,,,,,
Klefki,116,teammate,3,Pelipper,,,,,,,,,
Klefki,116,teammate,4,Swampert,,,,,,,,,
Klefki,116,teammate,5,Basculegion Male,,,,,,,,,
Klefki,116,teammate,6,Garchomp,,,,,,,,,
Klefki,116,teammate,7,Incineroar,,,,,,,,,
Klefki,116,teammate,8,Tyranitar,,,,,,,,,
Klefki,116,teammate,9,Staraptor,,,,,,,,,
Klefki,116,teammate,10,Farigiraf,,,,,,,,,
Klefki,116,stat_alignment,1,Bold,38.2%,Defense,Attack,,,,,,
Klefki,116,stat_alignment,2,Calm,26.8%,Sp. Def,Attack,,,,,,
Klefki,116,stat_alignment,3,Modest,10.4%,Sp. Atk,Attack,,,,,,
Klefki,116,stat_alignment,4,Relaxed,8.1%,Defense,Speed,,,,,,
Klefki,116,stat_alignment,5,Sassy,5.3%,Sp. Def,Speed,,,,,,
Klefki,116,stat_alignment,6,Quiet,3.0%,Sp. Atk,Speed,,,,,,
Klefki,116,stat_alignment,7,Timid,2.6%,Speed,Attack,,,,,,
Klefki,116,stat_alignment,8,Impish,2.0%,Defense,Sp. Atk,,,,,,
Klefki,116,stat_alignment,9,Careful,1.6%,Sp. Def,Sp. Atk,,,,,,
Klefki,116,stat_alignment,10,Serious,0.6%,,,,,,,,
Klefki,116,stat_points,1,,10.9%,,,32,0,2,0,32,0
Klefki,116,stat_points,2,,8.1%,,,2,0,32,0,32,0
Klefki,116,stat_points,3,,8.1%,,,32,0,32,0,2,0
Klefki,116,stat_points,4,,5.9%,,,32,0,19,0,15,0
Klefki,116,stat_points,5,,5.9%,,,32,0,9,0,25,0
Klefki,116,stat_points,6,,4.0%,,,32,0,21,0,13,0
Klefki,116,stat_points,7,,2.3%,,,32,0,17,0,17,0
Klefki,116,stat_points,8,,2.2%,,,32,0,11,0,23,0
Klefki,116,stat_points,9,,2.0%,,,32,0,0,32,2,0
Klefki,116,stat_points,10,,1.7%,,,32,0,18,0,16,0
Klefki,116,stat_points,11,,1.6%,,,2,0,32,32,0,0
Klefki,116,stat_points,12,,1.5%,,,32,0,2,32,0,0
Klefki,116,ability,1,Prankster,99.7%,,,,,,,,
Klefki,116,ability,2,Magician,0.3%,,,,,,,,
