pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Kommo-o,152,move,1,Clanging Scales,95.0%,,,,,,,,
Kommo-o,152,move,2,Protect,86.9%,,,,,,,,
Kommo-o,152,move,3,Aura Sphere,84.0%,,,,,,,,
Kommo-o,152,move,4,Clangorous Soul,76.4%,,,,,,,,
Kommo-o,152,move,5,Vacuum Wave,8.5%,,,,,,,,
Kommo-o,152,move,6,Flash Cannon,8.5%,,,,,,,,
Kommo-o,152,move,7,Flamethrower,5.8%,,,,,,,,
Kommo-o,152,move,8,Drain Punch,4.7%,,,,,,,,
Kommo-o,152,move,9,Draco Meteor,2.9%,,,,,,,,
Kommo-o,152,move,10,Iron Defense,2.6%,,,,,,,,
Kommo-o,152,held_item,1,Leftovers,53.1%,,,,,,,,
Kommo-o,152,held_item,2,Dragon Fang,12.3%,,,,,,,,
Kommo-o,152,held_item,3,Life Orb,10.9%,,,,,,,,
Kommo-o,152,held_item,4,Sitrus Berry,8.3%,,,,,,,,
Kommo-o,152,held_item,5,Haban Berry,5.8%,,,,,,,,
Kommo-o,152,held_item,6,Roseli Berry,2.0%,,,,,,,,
Kommo-o,152,held_item,7,Choice Scarf,1.1%,,,,,,,,
Kommo-o,152,held_item,8,White Herb,0.9%,,,,,,,,
Kommo-o,152,held_item,9,Focus Sash,0.8%,,,,,,,,
Kommo-o,152,held_item,10,Expert Belt,0.8%,,,,,,,,
Kommo-o,152,teammate,1,Incineroar,,,,,,,,,
Kommo-o,152,teammate,2,Sinistcha,,,,,,,,,
Kommo-o,152,teammate,3,Gengar,,,,,,,,,
Kommo-o,152,teammate,4,Metagross,,,,,,,,,
Kommo-o,152,teammate,5,Basculegion Male,,,,,,,,,
Kommo-o,152,teammate,6,Sylveon,,,,,,,,,
Kommo-o,152,teammate,7,Whimsicott,,,,,,,,,
Kommo-o,152,teammate,8,Politoed,,,,,,,,,
Kommo-o,152,teammate,10,Kingambit,,,,,,,,,
Kommo-o,152,stat_alignment,1,Modest,60.6%,Sp. Atk,Attack,,,,,,
Kommo-o,152,stat_alignment,2,Timid,25.6%,Speed,Attack,,,,,,
Kommo-o,152,stat_alignment,3,Quiet,2.6%,Sp. Atk,Speed,,,,,,
Kommo-o,152,stat_alignment,4,Naive,2.6%,Speed,Sp. Def,,,,,,
Kommo-o,152,stat_alignment,5,Bold,2.0%,Defense,Attack,,,,,,
Kommo-o,152,stat_alignment,6,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,7,Impish,1.0%,Defense,Sp. Atk,,,,,,
Kommo-o,152,stat_alignment,8,Calm,0.8%,Sp. Def,Attack,,,,,,
Kommo-o,152,stat_alignment,9,Mild,0.7%,Sp. Atk,Defense,,,,,,
Kommo-o,152,stat_alignment,10,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Kommo-o,152,stat_points,1,,31.3%,,,2,0,0,32,0,32
Kommo-o,152,stat_points,2,,4.1%,,,32,0,0,32,0,2
Kommo-o,152,stat_points,3,,3.7%,,,5,0,1,30,1,29
Kommo-o,152,stat_points,4,,3.1%,,,10,0,1,22,1,32
Kommo-o,152,stat_points,5,,3.0%,,,0,0,0,32,2,32
Kommo-o,152,stat_points,6,,2.6%,,,32,0,0,32,2,0
Kommo-o,152,stat_points,7,,2.2%,,,0,0,2,32,0,32
Kommo-o,152,stat_points,8,,2.2%,,,32,0,1,32,1,0
Kommo-o,152,stat_points,9,,1.9%,,,31,0,0,32,0,3
Kommo-o,152,stat_points,10,,1.8%,,,1,3,0,30,0,32
Kommo-o,152,ability,1,Soundproof,79.9%,,,,,,,,
Kommo-o,152,ability,2,Overcoat,13.7%,,,,,,,,
Kommo-o,152,ability,3,Bulletproof,6.4%,,,,,,,,
