pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Leafeon,184,move,1,Solar Blade,69.4%,,,,,,,,
Leafeon,184,move,2,Leaf Blade,67.9%,,,,,,,,
Leafeon,184,move,3,Protect,55.1%,,,,,,,,
Leafeon,184,move,4,Knock Off,54.1%,,,,,,,,
Leafeon,184,move,5,Detect,28.6%,,,,,,,,
Leafeon,184,move,6,Swords Dance,16.1%,,,,,,,,
Leafeon,184,move,7,Sunny Day,12.9%,,,,,,,,
Leafeon,184,move,8,Quick Attack,12.2%,,,,,,,,
Leafeon,184,move,9,X-Scissor,11.1%,,,,,,,,
Leafeon,184,move,10,Yawn,8.5%,,,,,,,,
Leafeon,184,held_item,1,Miracle Seed,38.9%,,,,,,,,
Leafeon,184,held_item,2,Life Orb,19.6%,,,,,,,,
Leafeon,184,held_item,3,Sitrus Berry,8.9%,,,,,,,,
Leafeon,184,held_item,4,Focus Sash,8.2%,,,,,,,,
Leafeon,184,held_item,5,Leftovers,4.8%,,,,,,,,
Leafeon,184,held_item,6,Muscle Band,3.1%,,,,,,,,
Leafeon,184,held_item,7,Scope Lens,2.5%,,,,,,,,
Leafeon,184,held_item,8,Occa Berry,2.3%,,,,,,,,
Leafeon,184,held_item,9,Choice Scarf,2.1%,,,,,,,,
Leafeon,184,held_item,10,Mental Herb,,,,,,,,,
Leafeon,184,teammate,1,Charizard,,,,,,,,,
Leafeon,184,teammate,2,Whimsicott,,,,,,,,,
Leafeon,184,teammate,3,Garchomp,,,,,,,,,
Leafeon,184,teammate,4,Ninetales,,,,,,,,,
Leafeon,184,teammate,5,Sylveon,,,,,,,,,
Leafeon,184,teammate,6,Sneasler,,,,,,,,,
Leafeon,184,teammate,8,Torkoal,,,,,,,,,
Leafeon,184,teammate,9,Raichu,,,,,,,,,
Leafeon,184,teammate,10,Pyroar,,,,,,,,,
Leafeon,184,stat_alignment,1,Adamant,62.9%,Attack,Sp. Atk,,,,,,
Leafeon,184,stat_alignment,2,Jolly,20.1%,Speed,Sp. Atk,,,,,,
Leafeon,184,stat_alignment,3,Impish,6.4%,Defense,Sp. Atk,,,,,,
Leafeon,184,stat_alignment,4,Careful,4.1%,Sp. Def,Sp. Atk,,,,,,
Leafeon,184,stat_alignment,5,Naughty,2.2%,Attack,Sp. Def,,,,,,
Leafeon,184,stat_alignment,6,Brave,1.3%,Attack,Speed,,,,,,
Leafeon,184,stat_alignment,7,Lonely,0.9%,Attack,Defense,,,,,,
Leafeon,184,stat_alignment,8,Sassy,0.8%,Sp. Def,Speed,,,,,,
Leafeon,184,stat_alignment,9,Lax,0.5%,Defense,Sp. Def,,,,,,
Leafeon,184,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Leafeon,184,stat_points,1,,18.8%,,,2,32,0,0,0,32
Leafeon,184,stat_points,2,,8.4%,,,0,32,2,0,0,32
Leafeon,184,stat_points,3,,6.2%,,,32,32,0,0,0,2
Leafeon,184,stat_points,4,,4.2%,,,0,32,0,0,2,32
Leafeon,184,stat_points,5,,4.2%,,,32,2,32,0,0,0
Leafeon,184,stat_points,6,,3.2%,,,0,32,0,0,0,32
Leafeon,184,stat_points,7,,2.6%,,,0,32,16,0,0,18
Leafeon,184,stat_points,8,,2.6%,,,0,32,1,0,1,32
Leafeon,184,stat_points,9,,2.6%,,,32,32,0,0,2,0
Leafeon,184,stat_points,10,,2.2%,,,32,32,2,0,0,0
Leafeon,184,stat_points,11,,2.0%,,,0,32,32,0,2,0
Leafeon,184,ability,1,Chlorophyll,96.9%,,,,,,,,
Leafeon,184,ability,2,Leaf Guard,3.1%,,,,,,,,
