pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Liepard,145,move,1,Fake Out,85.1%,,,,,,,,
Liepard,145,move,2,Encore,63.9%,,,,,,,,
Liepard,145,move,3,Charm,32.5%,,,,,,,,
Liepard,145,move,4,Knock Off,31.9%,,,,,,,,
Liepard,145,move,5,Foul Play,24.2%,,,,,,,,
Liepard,145,move,6,Fake Tears,21.5%,,,,,,,,
Liepard,145,move,7,Yawn,17.8%,,,,,,,,
Liepard,145,move,8,Copycat,14.9%,,,,,,,,
Liepard,145,move,9,Thunder Wave,13.4%,,,,,,,,
Liepard,145,move,10,Rain Dance,12.0%,,,,,,,,
Liepard,145,held_item,1,Focus Sash,73.5%,,,,,,,,
Liepard,145,held_item,2,Chople Berry,4.1%,,,,,,,,
Liepard,145,held_item,3,Roseli Berry,3.7%,,,,,,,,
Liepard,145,held_item,4,Bright Powder,3.6%,,,,,,,,
Liepard,145,held_item,5,Sitrus Berry,3.1%,,,,,,,,
Liepard,145,held_item,6,Wide Lens,2.0%,,,,,,,,
Liepard,145,held_item,7,Chilan Berry,1.8%,,,,,,,,
Liepard,145,held_item,8,Black Glasses,1.6%,,,,,,,,
Liepard,145,held_item,9,Leftovers,1.4%,,,,,,,,
Liepard,145,held_item,10,Lum Berry,0.7%,,,,,,,,
Liepard,145,teammate,1,Staraptor,,,,,,,,,
Liepard,145,teammate,2,Sinistcha,,,,,,,,,
Liepard,145,teammate,3,Basculegion Male,,,,,,,,,
Liepard,145,teammate,4,Garchomp,,,,,,,,,
Liepard,145,teammate,5,Raichu,,,,,,,,,
Liepard,145,teammate,6,Aerodactyl,,,,,,,,,
Liepard,145,teammate,7,Hisuian Decidueye,,,,,,,,,
Liepard,145,teammate,8,Scizor,,,,,,,,,
Liepard,145,teammate,9,Pelipper,,,,,,,,,
Liepard,145,teammate,10,Gholdengo,,,,,,,,,
Liepard,145,stat_alignment,1,Jolly,55.6%,Speed,Sp. Atk,,,,,,
Liepard,145,stat_alignment,2,Timid,11.7%,Speed,Attack,,,,,,
Liepard,145,stat_alignment,3,Adamant,7.9%,Attack,Sp. Atk,,,,,,
Liepard,145,stat_alignment,4,Impish,6.9%,Defense,Sp. Atk,,,,,,
Liepard,145,stat_alignment,5,Careful,4.8%,Sp. Def,Sp. Atk,,,,,,
Liepard,145,stat_alignment,6,Bold,3.6%,Defense,Attack,,,,,,
Liepard,145,stat_alignment,7,Naive,2.5%,Speed,Sp. Def,,,,,,
Liepard,145,stat_alignment,8,Hasty,1.7%,Speed,Defense,,,,,,
Liepard,145,stat_alignment,9,Calm,1.2%,Sp. Def,Attack,,,,,,
Liepard,145,stat_alignment,10,Naughty,1.0%,Attack,Sp. Def,,,,,,
Liepard,145,stat_points,1,,28.1%,,,2,32,0,0,0,32
Liepard,145,stat_points,2,,7.4%,,,32,0,2,0,0,32
Liepard,145,stat_points,3,,5.3%,,,32,0,1,0,1,32
Liepard,145,stat_points,4,,4.4%,,,0,32,0,0,2,32
Liepard,145,stat_points,5,,3.8%,,,32,2,0,0,0,32
Liepard,145,stat_points,6,,3.4%,,,2,0,0,32,0,32
Liepard,145,stat_points,7,,3.0%,,,32,0,0,0,2,32
Liepard,145,stat_points,8,,2.7%,,,0,32,0,0,0,32
Liepard,145,stat_points,9,,2.7%,,,32,0,32,0,2,0
Liepard,145,stat_points,10,,2.5%,,,0,0,0,32,2,32
Liepard,145,stat_points,11,,1.8%,,,0,32,2,0,0,32
Liepard,145,stat_points,12,,1.6%,,,32,0,13,0,21,0
Liepard,145,ability,1,Prankster,95.5%,,,,,,,,
Liepard,145,ability,2,Unburden,4.4%,,,,,,,,
Liepard,145,ability,3,Limber,0.1%,,,,,,,,
