pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lopunny,101,move,1,Fake Out,94.6%,,,,,,,,
Lopunny,101,move,2,Close Combat,85.5%,,,,,,,,
Lopunny,101,move,3,Triple Axel,44.7%,,,,,,,,
Lopunny,101,move,4,Encore,34.9%,,,,,,,,
Lopunny,101,move,5,Protect,30.1%,,,,,,,,
Lopunny,101,move,6,U-turn,16.7%,,,,,,,,
Lopunny,101,move,7,Giga Impact,14.5%,,,,,,,,
Lopunny,101,move,8,After You,13.2%,,,,,,,,
Lopunny,101,move,9,Ice Punch,11.6%,,,,,,,,
Lopunny,101,move,10,Mach Punch,8.6%,,,,,,,,
Lopunny,101,held_item,1,Lopunnite,96.5%,,,,,,,,
Lopunny,101,held_item,2,Focus Sash,0.7%,,,,,,,,
Lopunny,101,held_item,3,Choice Scarf,0.5%,,,,,,,,
Lopunny,101,held_item,4,Sitrus Berry,0.4%,,,,,,,,
Lopunny,101,held_item,5,Chople Berry,0.4%,,,,,,,,
Lopunny,101,held_item,6,Mental Herb,0.3%,,,,,,,,
Lopunny,101,held_item,7,White Herb,0.2%,,,,,,,,
Lopunny,101,held_item,8,Life Orb,0.2%,,,,,,,,
Lopunny,101,held_item,9,Iron Ball,0.2%,,,,,,,,
Lopunny,101,held_item,10,Quick Claw,0.1%,,,,,,,,
Lopunny,101,teammate,1,Sylveon,,,,,,,,,
Lopunny,101,teammate,2,Basculegion Male,,,,,,,,,
Lopunny,101,teammate,3,Kingambit,,,,,,,,,
Lopunny,101,teammate,4,Garchomp,,,,,,,,,
Lopunny,101,teammate,5,Farigiraf,,,,,,,,,
Lopunny,101,teammate,6,Whimsicott,,,,,,,,,
Lopunny,101,teammate,7,Sinistcha,,,,,,,,,
Lopunny,101,teammate,8,Archaludon,,,,,,,,,
Lopunny,101,teammate,9,Talonflame,,,,,,,,,
Lopunny,101,teammate,10,Incineroar,,,,,,,,,
Lopunny,101,stat_alignment,1,Jolly,82.6%,Speed,Sp. Atk,,,,,,
Lopunny,101,stat_alignment,2,Adamant,14.9%,Attack,Sp. Atk,,,,,,
Lopunny,101,stat_alignment,3,Brave,0.5%,Attack,Speed,,,,,,
Lopunny,101,stat_alignment,4,Naughty,0.4%,Attack,Sp. Def,,,,,,
Lopunny,101,stat_alignment,5,Impish,0.3%,Defense,Sp. Atk,,,,,,
Lopunny,101,stat_alignment,6,Relaxed,0.3%,Defense,Speed,,,,,,
Lopunny,101,stat_alignment,7,Naive,0.2%,Speed,Sp. Def,,,,,,
Lopunny,101,stat_alignment,8,Lonely,0.2%,Attack,Defense,,,,,,
Lopunny,101,stat_alignment,9,Quiet,0.1%,Sp. Atk,Speed,,,,,,
Lopunny,101,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Lopunny,101,stat_points,1,,47.9%,,,2,32,0,0,0,32
Lopunny,101,stat_points,2,,11.0%,,,0,32,2,0,0,32
Lopunny,101,stat_points,3,,6.2%,,,5,29,0,0,0,32
Lopunny,101,stat_points,4,,5.8%,,,1,32,1,0,0,32
Lopunny,101,stat_points,5,,5.5%,,,0,32,0,0,2,32
Lopunny,101,stat_points,6,,2.8%,,,0,32,0,0,0,32
Lopunny,101,stat_points,7,,1.9%,,,32,0,2,0,0,32
Lopunny,101,stat_points,8,,1.1%,,,1,32,0,0,1,32
Lopunny,101,stat_points,9,,1.1%,,,6,32,0,0,0,28
Lopunny,101,stat_points,10,,1.1%,,,7,2,2,0,0,32
Lopunny,101,stat_points,11,,0.7%,,,17,0,17,0,0,32
Lopunny,101,stat_points,12,,0.6%,,,21,15,2,0,0,28
Lopunny,101,ability,1,Limber,58.5%,,,,,,,,
Lopunny,101,ability,2,Cute Charm,36.3%,,,,,,,,
Lopunny,101,ability,3,Klutz,5.2%,,,,,,,,
