pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lucario,89,move,1,Close Combat,43.7%,,,,,,,,
Lucario,89,move,2,Meteor Mash,34.0%,,,,,,,,
Lucario,89,move,3,Aura Sphere,31.3%,,,,,,,,
Lucario,89,move,4,Final Gambit,28.9%,,,,,,,,
Lucario,89,move,5,Bullet Punch,28.6%,,,,,,,,
Lucario,89,move,6,Protect,28.3%,,,,,,,,
Lucario,89,move,7,Flash Cannon,25.8%,,,,,,,,
Lucario,89,move,8,Detect,22.2%,,,,,,,,
Lucario,89,move,9,Vacuum Wave,14.4%,,,,,,,,
Lucario,89,move,10,Heal Pulse,12.4%,,,,,,,,
Lucario,89,held_item,1,Lucarionite,49.0%,,,,,,,,
Lucario,89,held_item,2,Choice Scarf,29.6%,,,,,,,,
Lucario,89,held_item,3,Focus Sash,7.9%,,,,,,,,
Lucario,89,held_item,4,Life Orb,4.6%,,,,,,,,
Lucario,89,held_item,5,Black Belt,1.4%,,,,,,,,
Lucario,89,held_item,6,Expert Belt,1.4%,,,,,,,,
Lucario,89,held_item,7,Wide Lens,0.9%,,,,,,,,
Lucario,89,held_item,8,White Herb,0.7%,,,,,,,,
Lucario,89,held_item,9,Wise Glasses,0.6%,,,,,,,,
Lucario,89,held_item,10,Quick Claw,0.5%,,,,,,,,
Lucario,89,teammate,1,Whimsicott,,,,,,,,,
Lucario,89,teammate,2,Garchomp,,,,,,,,,
Lucario,89,teammate,3,Torkoal,,,,,,,,,
Lucario,89,teammate,4,Basculegion Male,,,,,,,,,
Lucario,89,teammate,5,Oranguru,,,,,,,,,
Lucario,89,teammate,6,Sinistcha,,,,,,,,,
Lucario,89,teammate,7,Sylveon,,,,,,,,,
Lucario,89,teammate,8,Farigiraf,,,,,,,,,
Lucario,89,teammate,9,Incineroar,,,,,,,,,
Lucario,89,teammate,10,Scrafty,,,,,,,,,
Lucario,89,stat_alignment,1,Jolly,44.8%,Speed,Sp. Atk,,,,,,
Lucario,89,stat_alignment,2,Timid,18.8%,Speed,Attack,,,,,,
Lucario,89,stat_alignment,3,Adamant,15.5%,Attack,Sp. Atk,,,,,,
Lucario,89,stat_alignment,4,Modest,9.9%,Sp. Atk,Attack,,,,,,
Lucario,89,stat_alignment,5,Hasty,4.0%,Speed,Defense,,,,,,
Lucario,89,stat_alignment,6,Naive,2.3%,Speed,Sp. Def,,,,,,
Lucario,89,stat_alignment,7,Naughty,0.7%,Attack,Sp. Def,,,,,,
Lucario,89,stat_alignment,8,Mild,0.7%,Sp. Atk,Defense,,,,,,
Lucario,89,stat_alignment,9,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Lucario,89,stat_alignment,10,Brave,0.5%,Attack,Speed,,,,,,
Lucario,89,stat_points,1,,19.4%,,,2,32,0,0,0,32
Lucario,89,stat_points,2,,17.5%,,,2,0,0,32,0,32
Lucario,89,stat_points,3,,12.1%,,,32,0,2,0,0,32
Lucario,89,stat_points,4,,8.5%,,,32,2,0,0,0,32
Lucario,89,stat_points,5,,3.7%,,,0,32,2,0,0,32
Lucario,89,stat_points,6,,2.5%,,,0,32,0,0,2,32
Lucario,89,stat_points,7,,2.3%,,,0,32,0,0,0,32
Lucario,89,stat_points,8,,2.0%,,,32,0,0,2,0,32
Lucario,89,stat_points,9,,1.8%,,,32,0,0,0,0,32
Lucario,89,stat_points,10,,1.5%,,,0,0,0,32,2,32
Lucario,89,stat_points,11,,1.5%,,,0,0,2,32,0,32
Lucario,89,stat_points,12,,1.4%,,,32,0,0,0,2,32
Lucario,89,ability,1,Inner Focus,88.2%,,,,,,,,
Lucario,89,ability,2,Justified,8.6%,,,,,,,,
Lucario,89,ability,3,Steadfast,3.2%,,,,,,,,
