pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc Dusk Form,88,move,1,Accelerock,96.8%,,,,,,,,
Lycanroc Dusk Form,88,move,2,Close Combat,82.5%,,,,,,,,
Lycanroc Dusk Form,88,move,3,Protect,80.9%,,,,,,,,
Lycanroc Dusk Form,88,move,4,Rock Slide,76.4%,,,,,,,,
Lycanroc Dusk Form,88,move,5,Psychic Fangs,12.9%,,,,,,,,
Lycanroc Dusk Form,88,move,6,Sucker Punch,6.9%,,,,,,,,
Lycanroc Dusk Form,88,move,7,Iron Head,5.9%,,,,,,,,
Lycanroc Dusk Form,88,move,8,Drill Run,5.4%,,,,,,,,
Lycanroc Dusk Form,88,move,9,Play Rough,3.5%,,,,,,,,
Lycanroc Dusk Form,88,move,10,Crunch,3.1%,,,,,,,,
Lycanroc Dusk Form,88,held_item,1,Focus Sash,74.7%,,,,,,,,
Lycanroc Dusk Form,88,held_item,2,Life Orb,11.5%,,,,,,,,
Lycanroc Dusk Form,88,held_item,3,Hard Stone,4.2%,,,,,,,,
Lycanroc Dusk Form,88,held_item,4,Expert Belt,2.3%,,,,,,,,
Lycanroc Dusk Form,88,held_item,5,Choice Scarf,1.9%,,,,,,,,
Lycanroc Dusk Form,88,held_item,6,White Herb,1.4%,,,,,,,,
Lycanroc Dusk Form,88,held_item,7,Muscle Band,0.7%,,,,,,,,
Lycanroc Dusk Form,88,held_item,8,King's Rock,0.4%,,,,,,,,
Lycanroc Dusk Form,88,held_item,9,Quick Claw,0.3%,,,,,,,,
Lycanroc Dusk Form,88,held_item,10,Chople Berry,0.3%,,,,,,,,
Lycanroc Dusk Form,88,teammate,1,Froslass,,,,,,,,,
Lycanroc Dusk Form,88,teammate,2,Sneasler,,,,,,,,,
Lycanroc Dusk Form,88,teammate,3,Kingambit,,,,,,,,,
Lycanroc Dusk Form,88,teammate,4,Basculegion Male,,,,,,,,,
Lycanroc Dusk Form,88,teammate,5,Scovillain,,,,,,,,,
Lycanroc Dusk Form,88,teammate,6,Whimsicott,,,,,,,,,
Lycanroc Dusk Form,88,teammate,7,Incineroar,,,,,,,,,
Lycanroc Dusk Form,88,teammate,8,Sinistcha,,,,,,,,,
Lycanroc Dusk Form,88,teammate,9,Metagross,,,,,,,,,
Lycanroc Dusk Form,88,teammate,10,Garchomp,,,,,,,,,
Lycanroc Dusk Form,88,stat_alignment,1,Adamant,68.8%,Attack,Sp. Atk,,,,,,
Lycanroc Dusk Form,88,stat_alignment,2,Jolly,27.2%,Speed,Sp. Atk,,,,,,
Lycanroc Dusk Form,88,stat_alignment,3,Lonely,1.1%,Attack,Defense,,,,,,
Lycanroc Dusk Form,88,stat_alignment,4,Naughty,0.9%,Attack,Sp. Def,,,,,,
Lycanroc Dusk Form,88,stat_alignment,5,Naive,0.9%,Speed,Sp. Def,,,,,,
Lycanroc Dusk Form,88,stat_alignment,6,Brave,0.3%,Attack,Speed,,,,,,
Lycanroc Dusk Form,88,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Lycanroc Dusk Form,88,stat_alignment,8,Serious,0.2%,,,,,,,,
Lycanroc Dusk Form,88,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Lycanroc Dusk Form,88,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Lycanroc Dusk Form,88,stat_points,1,,57.6%,,,2,32,0,0,0,32
Lycanroc Dusk Form,88,stat_points,2,,11.1%,,,0,32,2,0,0,32
Lycanroc Dusk Form,88,stat_points,3,,10.5%,,,0,32,0,0,2,32
Lycanroc Dusk Form,88,stat_points,4,,4.9%,,,1,32,1,0,0,32
Lycanroc Dusk Form,88,stat_points,5,,2.9%,,,0,32,0,0,0,32
Lycanroc Dusk Form,88,stat_points,6,,1.6%,,,1,32,0,0,1,32
Lycanroc Dusk Form,88,stat_points,7,,1.5%,,,0,32,1,0,1,32
Lycanroc Dusk Form,88,stat_points,8,,1.1%,,,32,32,0,0,0,2
Lycanroc Dusk Form,88,stat_points,9,,0.8%,,,32,32,2,0,0,0
Lycanroc Dusk Form,88,stat_points,10,,0.6%,,,32,32,0,0,2,0
Lycanroc Dusk Form,88,stat_points,11,,0.6%,,,1,32,0,0,0,32
Lycanroc Dusk Form,88,ability,1,Tough Claws,100.0%,,,,,,,,
