pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc Midnight Form,218,move,1,Rock Slide,71.4%,,,,,,,,
Lycanroc Midnight Form,218,move,2,Stone Edge,56.4%,,,,,,,,
Lycanroc Midnight Form,218,move,3,Protect,43.2%,,,,,,,,
Lycanroc Midnight Form,218,move,4,Close Combat,39.8%,,,,,,,,
Lycanroc Midnight Form,218,move,5,Iron Tail,28.2%,,,,,,,,
Lycanroc Midnight Form,218,move,6,Play Rough,20.8%,,,,,,,,
Lycanroc Midnight Form,218,move,7,Sucker Punch,20.3%,,,,,,,,
Lycanroc Midnight Form,218,move,8,Psychic Fangs,15.4%,,,,,,,,
Lycanroc Midnight Form,218,move,9,Crunch,7.5%,,,,,,,,
Lycanroc Midnight Form,218,move,10,Knock Off,,,,,,,,,
Lycanroc Midnight Form,218,held_item,1,Choice Scarf,40.4%,,,,,,,,
Lycanroc Midnight Form,218,held_item,2,Focus Sash,23.9%,,,,,,,,
Lycanroc Midnight Form,218,held_item,3,Life Orb,12.5%,,,,,,,,
Lycanroc Midnight Form,218,held_item,4,Hard Stone,8.0%,,,,,,,,
Lycanroc Midnight Form,218,held_item,5,Muscle Band,3.5%,,,,,,,,
Lycanroc Midnight Form,218,held_item,6,Quick Claw,2.9%,,,,,,,,
Lycanroc Midnight Form,218,held_item,7,Sitrus Berry,2.3%,,,,,,,,
Lycanroc Midnight Form,218,held_item,8,Focus Band,1.4%,,,,,,,,
Lycanroc Midnight Form,218,held_item,9,Lum Berry,1.2%,,,,,,,,
Lycanroc Midnight Form,218,held_item,10,King's Rock,1.0%,,,,,,,,
Lycanroc Midnight Form,218,teammate,1,Whimsicott,,,,,,,,,
Lycanroc Midnight Form,218,teammate,2,Incineroar,,,,,,,,,
Lycanroc Midnight Form,218,teammate,3,Farigiraf,,,,,,,,,
Lycanroc Midnight Form,218,teammate,4,Sneasler,,,,,,,,,
Lycanroc Midnight Form,218,teammate,5,Sinistcha,,,,,,,,,
Lycanroc Midnight Form,218,teammate,6,Charizard,,,,,,,,,
Lycanroc Midnight Form,218,teammate,7,Garchomp,,,,,,,,,
Lycanroc Midnight Form,218,teammate,8,Staraptor,,,,,,,,,
Lycanroc Midnight Form,218,teammate,9,Sableye,,,,,,,,,
Lycanroc Midnight Form,218,teammate,10,Sylveon,,,,,,,,,
Lycanroc Midnight Form,218,stat_alignment,1,Adamant,44.8%,Attack,Sp. Atk,,,,,,
Lycanroc Midnight Form,218,stat_alignment,2,Jolly,37.3%,Speed,Sp. Atk,,,,,,
Lycanroc Midnight Form,218,stat_alignment,3,Brave,7.1%,Attack,Speed,,,,,,
Lycanroc Midnight Form,218,stat_alignment,4,Mild,3.1%,Sp. Atk,Defense,,,,,,
Lycanroc Midnight Form,218,stat_alignment,5,Naughty,3.1%,Attack,Sp. Def,,,,,,
Lycanroc Midnight Form,218,stat_alignment,6,Lonely,1.8%,Attack,Defense,,,,,,
Lycanroc Midnight Form,218,stat_alignment,7,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Lycanroc Midnight Form,218,stat_alignment,8,Hasty,0.4%,Speed,Defense,,,,,,
Lycanroc Midnight Form,218,stat_alignment,9,Lax,0.4%,Defense,Sp. Def,,,,,,
Lycanroc Midnight Form,218,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Lycanroc Midnight Form,218,stat_points,1,,28.1%,,,2,32,0,0,0,32
Lycanroc Midnight Form,218,stat_points,2,,15.8%,,,0,32,2,0,0,32
Lycanroc Midnight Form,218,stat_points,3,,7.9%,,,0,32,0,0,2,32
Lycanroc Midnight Form,218,stat_points,4,,4.8%,,,32,32,2,0,0,0
Lycanroc Midnight Form,218,stat_points,5,,4.2%,,,14,32,0,0,10,10
Lycanroc Midnight Form,218,stat_points,6,,3.8%,,,0,32,0,0,0,32
Lycanroc Midnight Form,218,stat_points,7,,3.8%,,,30,32,0,0,0,4
Lycanroc Midnight Form,218,stat_points,8,,3.1%,,,8,32,0,0,14,11
Lycanroc Midnight Form,218,stat_points,9,,2.8%,,,32,32,0,0,2,0
Lycanroc Midnight Form,218,stat_points,10,,2.3%,,,1,32,1,0,0,32
Lycanroc Midnight Form,218,stat_points,11,,2.3%,,,2,32,16,0,16,0
Lycanroc Midnight Form,218,stat_points,12,,2.1%,,,2,32,0,0,32,0
Lycanroc Midnight Form,218,ability,1,No Guard,86.1%,,,,,,,,
Lycanroc Midnight Form,218,ability,2,Keen Eye,7.2%,,,,,,,,
Lycanroc Midnight Form,218,ability,3,Vital Spirit,6.7%,,,,,,,,
