pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Lycanroc,175,move,1,Rock Slide,91.0%,,,,,,,,
Lycanroc,175,move,2,Close Combat,65.3%,,,,,,,,
Lycanroc,175,move,3,Protect,64.2%,,,,,,,,
Lycanroc,175,move,4,Accelerock,58.0%,,,,,,,,
Lycanroc,175,move,5,Psychic Fangs,29.3%,,,,,,,,
Lycanroc,175,move,6,Endeavor,24.5%,,,,,,,,
Lycanroc,175,move,7,Play Rough,6.5%,,,,,,,,
Lycanroc,175,move,8,Drill Run,6.1%,,,,,,,,
Lycanroc,175,move,9,Iron Head,5.8%,,,,,,,,
Lycanroc,175,move,10,Stomping Tantrum,4.7%,,,,,,,,
Lycanroc,175,held_item,1,Focus Sash,71.2%,,,,,,,,
Lycanroc,175,held_item,2,Life Orb,8.6%,,,,,,,,
Lycanroc,175,held_item,3,Hard Stone,3.7%,,,,,,,,
Lycanroc,175,held_item,4,King's Rock,3.3%,,,,,,,,
Lycanroc,175,held_item,5,White Herb,2.2%,,,,,,,,
Lycanroc,175,held_item,6,Choice Scarf,1.9%,,,,,,,,
Lycanroc,175,held_item,7,Expert Belt,1.7%,,,,,,,,
Lycanroc,175,held_item,8,Muscle Band,0.9%,,,,,,,,
Lycanroc,175,held_item,9,Bright Powder,0.7%,,,,,,,,
Lycanroc,175,held_item,10,Scope Lens,0.6%,,,,,,,,
Lycanroc,175,teammate,1,Tyranitar,,,,,,,,,
Lycanroc,175,teammate,2,Sinistcha,,,,,,,,,
Lycanroc,175,teammate,3,Incineroar,,,,,,,,,
Lycanroc,175,teammate,4,Garchomp,,,,,,,,,
Lycanroc,175,teammate,5,Whimsicott,,,,,,,,,
Lycanroc,175,teammate,6,Sneasler,,,,,,,,,
Lycanroc,175,teammate,7,Basculegion Male,,,,,,,,,
Lycanroc,175,teammate,8,Sylveon,,,,,,,,,
Lycanroc,175,teammate,9,Kingambit,,,,,,,,,
Lycanroc,175,teammate,10,Corviknight,,,,,,,,,
Lycanroc,175,stat_alignment,1,Adamant,56.1%,Attack,Sp. Atk,,,,,,
Lycanroc,175,stat_alignment,2,Jolly,36.8%,Speed,Sp. Atk,,,,,,
Lycanroc,175,stat_alignment,3,Naughty,2.1%,Attack,Sp. Def,,,,,,
Lycanroc,175,stat_alignment,4,Hasty,1.7%,Speed,Defense,,,,,,
Lycanroc,175,stat_alignment,5,Lonely,1.2%,Attack,Defense,,,,,,
Lycanroc,175,stat_alignment,6,Naive,1.0%,Speed,Sp. Def,,,,,,
Lycanroc,175,stat_alignment,7,Careful,0.5%,Sp. Def,Sp. Atk,,,,,,
Lycanroc,175,stat_alignment,8,Timid,0.2%,Speed,Attack,,,,,,
Lycanroc,175,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Lycanroc,175,stat_alignment,10,Serious,0.1%,,,,,,,,
Lycanroc,175,stat_points,1,,52.0%,,,2,32,0,0,0,32
Lycanroc,175,stat_points,2,,12.8%,,,0,32,0,0,2,32
Lycanroc,175,stat_points,3,,8.8%,,,0,32,2,0,0,32
Lycanroc,175,stat_points,4,,5.8%,,,0,32,0,0,0,32
Lycanroc,175,stat_points,5,,4.8%,,,1,32,0,0,1,32
Lycanroc,175,stat_points,6,,1.4%,,,32,32,0,0,0,2
Lycanroc,175,stat_points,7,,1.2%,,,0,32,1,0,1,32
Lycanroc,175,stat_points,8,,1.2%,,,2,32,16,0,16,0
Lycanroc,175,stat_points,9,,1.1%,,,1,32,0,0,0,32
Lycanroc,175,stat_points,10,,1.1%,,,1,32,1,0,0,32
Lycanroc,175,stat_points,11,,0.8%,,,0,32,2,0,32,0
Lycanroc,175,stat_points,12,,0.7%,,,20,32,0,0,0,14
Lycanroc,175,ability,1,Sand Rush,75.0%,,,,,,,,
Lycanroc,175,ability,2,Steadfast,18.1%,,,,,,,,
Lycanroc,175,ability,3,Keen Eye,6.9%,,,,,,,,
