pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Malamar,82,move,1,Superpower,94.8%,,,,,,,,
Malamar,82,move,2,Protect,73.1%,,,,,,,,
Malamar,82,move,3,Knock Off,67.6%,,,,,,,,
Malamar,82,move,4,Psycho Cut,54.3%,,,,,,,,
Malamar,82,move,5,Trick Room,22.6%,,,,,,,,
Malamar,82,move,6,Throat Chop,12.8%,,,,,,,,
Malamar,82,move,7,Topsy-Turvy,12.3%,,,,,,,,
Malamar,82,move,8,Skill Swap,9.1%,,,,,,,,
Malamar,82,move,9,Stored Power,8.1%,,,,,,,,
Malamar,82,move,10,Zen Headbutt,7.1%,,,,,,,,
Malamar,82,held_item,1,Malamarite,73.4%,,,,,,,,
Malamar,82,held_item,2,Leftovers,6.1%,,,,,,,,
Malamar,82,held_item,3,Sitrus Berry,5.9%,,,,,,,,
Malamar,82,held_item,4,Roseli Berry,3.2%,,,,,,,,
Malamar,82,held_item,5,Focus Sash,2.1%,,,,,,,,
Malamar,82,held_item,6,Choice Scarf,1.4%,,,,,,,,
Malamar,82,held_item,7,Iron Ball,1.0%,,,,,,,,
Malamar,82,held_item,8,Quick Claw,0.9%,,,,,,,,
Malamar,82,held_item,9,Muscle Band,0.9%,,,,,,,,
Malamar,82,held_item,10,Life Orb,0.8%,,,,,,,,
Malamar,82,teammate,1,Sinistcha,,,,,,,,,
Malamar,82,teammate,2,Grimmsnarl,,,,,,,,,
Malamar,82,teammate,3,Whimsicott,,,,,,,,,
Malamar,82,teammate,4,Incineroar,,,,,,,,,
Malamar,82,teammate,5,Basculegion Male,,,,,,,,,
Malamar,82,teammate,6,Sylveon,,,,,,,,,
Malamar,82,teammate,7,Sneasler,,,,,,,,,
Malamar,82,teammate,8,Staraptor,,,,,,,,,
Malamar,82,teammate,9,Garchomp,,,,,,,,,
Malamar,82,teammate,10,Gholdengo,,,,,,,,,
Malamar,82,stat_alignment,1,Adamant,45.6%,Attack,Sp. Atk,,,,,,
Malamar,82,stat_alignment,2,Careful,13.6%,Sp. Def,Sp. Atk,,,,,,
Malamar,82,stat_alignment,3,Brave,13.1%,Attack,Speed,,,,,,
Malamar,82,stat_alignment,4,Jolly,7.3%,Speed,Sp. Atk,,,,,,
Malamar,82,stat_alignment,5,Sassy,6.1%,Sp. Def,Speed,,,,,,
Malamar,82,stat_alignment,6,Relaxed,5.2%,Defense,Speed,,,,,,
Malamar,82,stat_alignment,7,Impish,4.8%,Defense,Sp. Atk,,,,,,
Malamar,82,stat_alignment,8,Bold,1.1%,Defense,Attack,,,,,,
Malamar,82,stat_alignment,9,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Malamar,82,stat_alignment,10,Calm,0.6%,Sp. Def,Attack,,,,,,
Malamar,82,stat_points,1,,14.8%,,,32,32,2,0,0,0
Malamar,82,stat_points,2,,10.3%,,,32,32,0,0,2,0
Malamar,82,stat_points,3,,5.1%,,,32,0,2,0,32,0
Malamar,82,stat_points,4,,3.5%,,,2,32,0,0,0,32
Malamar,82,stat_points,5,,3.0%,,,32,32,0,0,0,2
Malamar,82,stat_points,6,,1.7%,,,32,0,32,0,2,0
Malamar,82,stat_points,7,,1.3%,,,0,32,2,0,0,32
Malamar,82,stat_points,8,,1.3%,,,32,0,9,0,25,0
Malamar,82,stat_points,9,,1.2%,,,32,18,12,0,0,4
Malamar,82,stat_points,10,,1.2%,,,32,0,17,0,17,0
Malamar,82,stat_points,11,,1.2%,,,32,2,0,0,32,0
Malamar,82,ability,1,Contrary,98.5%,,,,,,,,
Malamar,82,ability,2,Infiltrator,0.9%,,,,,,,,
Malamar,82,ability,3,Suction Cups,0.6%,,,,,,,,
