pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mamoswine,62,move,1,Ice Shard,86.3%,,,,,,,,
Mamoswine,62,move,2,Protect,78.8%,,,,,,,,
Mamoswine,62,move,3,High Horsepower,54.0%,,,,,,,,
Mamoswine,62,move,4,Icicle Crash,52.8%,,,,,,,,
Mamoswine,62,move,5,Earthquake,47.5%,,,,,,,,
Mamoswine,62,move,6,Rock Slide,45.5%,,,,,,,,
Mamoswine,62,move,7,Icicle Spear,10.4%,,,,,,,,
Mamoswine,62,move,8,Knock Off,3.0%,,,,,,,,
Mamoswine,62,move,9,Stomping Tantrum,2.6%,,,,,,,,
Mamoswine,62,move,10,Superpower,2.2%,,,,,,,,
Mamoswine,62,held_item,1,Focus Sash,51.6%,,,,,,,,
Mamoswine,62,held_item,2,Life Orb,15.5%,,,,,,,,
Mamoswine,62,held_item,3,Choice Scarf,10.0%,,,,,,,,
Mamoswine,62,held_item,4,Sitrus Berry,7.8%,,,,,,,,
Mamoswine,62,held_item,5,Never-Melt Ice,5.4%,,,,,,,,
Mamoswine,62,held_item,6,Leftovers,2.0%,,,,,,,,
Mamoswine,62,held_item,7,Expert Belt,1.8%,,,,,,,,
Mamoswine,62,held_item,8,Chople Berry,1.3%,,,,,,,,
Mamoswine,62,held_item,9,Bright Powder,0.6%,,,,,,,,
Mamoswine,62,held_item,10,Quick Claw,0.5%,,,,,,,,
Mamoswine,62,teammate,1,Farigiraf,,,,,,,,,
Mamoswine,62,teammate,2,Torkoal,,,,,,,,,
Mamoswine,62,teammate,3,Pyroar,,,,,,,,,
Mamoswine,62,teammate,4,Venusaur,,,,,,,,,
Mamoswine,62,teammate,5,Scrafty,,,,,,,,,
Mamoswine,62,teammate,6,Whimsicott,,,,,,,,,
Mamoswine,62,teammate,7,Incineroar,,,,,,,,,
Mamoswine,62,teammate,8,Charizard,,,,,,,,,
Mamoswine,62,teammate,9,Sceptile,,,,,,,,,
Mamoswine,62,teammate,10,Sneasler,,,,,,,,,
Mamoswine,62,stat_alignment,1,Adamant,59.0%,Attack,Sp. Atk,,,,,,
Mamoswine,62,stat_alignment,2,Jolly,33.9%,Speed,Sp. Atk,,,,,,
Mamoswine,62,stat_alignment,3,Brave,3.2%,Attack,Speed,,,,,,
Mamoswine,62,stat_alignment,4,Lonely,0.7%,Attack,Defense,,,,,,
Mamoswine,62,stat_alignment,5,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Mamoswine,62,stat_alignment,6,Naughty,0.5%,Attack,Sp. Def,,,,,,
Mamoswine,62,stat_alignment,7,Impish,0.4%,Defense,Sp. Atk,,,,,,
Mamoswine,62,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Mamoswine,62,stat_alignment,9,Relaxed,0.3%,Defense,Speed,,,,,,
Mamoswine,62,stat_alignment,10,Hasty,0.2%,Speed,Defense,,,,,,
Mamoswine,62,stat_points,1,,31.0%,,,2,32,0,0,0,32
Mamoswine,62,stat_points,2,,25.1%,,,0,32,0,0,2,32
Mamoswine,62,stat_points,3,,5.9%,,,0,32,2,0,0,32
Mamoswine,62,stat_points,4,,4.5%,,,1,32,0,0,30,3
Mamoswine,62,stat_points,5,,2.9%,,,32,32,0,0,2,0
Mamoswine,62,stat_points,6,,2.7%,,,32,32,2,0,0,0
Mamoswine,62,stat_points,7,,2.6%,,,32,32,0,0,0,2
Mamoswine,62,stat_points,8,,1.7%,,,2,32,32,0,0,0
Mamoswine,62,stat_points,9,,1.3%,,,0,32,0,0,0,32
Mamoswine,62,stat_points,10,,1.1%,,,2,32,0,0,32,0
Mamoswine,62,stat_points,11,,0.8%,,,0,32,1,0,1,32
Mamoswine,62,stat_points,12,,0.6%,,,1,32,0,0,20,0
Mamoswine,62,ability,1,Oblivious,78.9%,,,,,,,,
Mamoswine,62,ability,2,Thick Fat,18.6%,,,,,,,,
Mamoswine,62,ability,3,Snow Cloak,2.5%,,,,,,,,
