pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Manectric,155,move,1,Volt Switch,69.0%,,,,,,,,
Manectric,155,move,2,Protect,66.5%,,,,,,,,
Manectric,155,move,3,Snarl,60.7%,,,,,,,,
Manectric,155,move,4,Thunderbolt,51.6%,,,,,,,,
Manectric,155,move,5,Overheat,42.3%,,,,,,,,
Manectric,155,move,6,Flamethrower,29.0%,,,,,,,,
Manectric,155,move,7,Thunder,23.6%,,,,,,,,
Manectric,155,move,8,Discharge,15.4%,,,,,,,,
Manectric,155,move,9,Rising Voltage,4.9%,,,,,,,,
Manectric,155,move,10,Switcheroo,1.3%,,,,,,,,
Manectric,155,held_item,1,Manectite,59.7%,,,,,,,,
Manectric,155,held_item,2,Choice Scarf,11.4%,,,,,,,,
Manectric,155,held_item,3,Focus Sash,7.0%,,,,,,,,
Manectric,155,held_item,4,Life Orb,5.0%,,,,,,,,
Manectric,155,held_item,5,Magnet,4.4%,,,,,,,,
Manectric,155,held_item,6,Wise Glasses,2.4%,,,,,,,,
Manectric,155,held_item,7,Shuca Berry,2.3%,,,,,,,,
Manectric,155,held_item,8,Sitrus Berry,2.3%,,,,,,,,
Manectric,155,held_item,9,Expert Belt,1.6%,,,,,,,,
Manectric,155,held_item,10,Quick Claw,1.1%,,,,,,,,
Manectric,155,teammate,1,Pelipper,,,,,,,,,
Manectric,155,teammate,2,Sinistcha,,,,,,,,,
Manectric,155,teammate,3,Incineroar,,,,,,,,,
Manectric,155,teammate,4,Sneasler,,,,,,,,,
Manectric,155,teammate,5,Whimsicott,,,,,,,,,
Manectric,155,teammate,6,Staraptor,,,,,,,,,
Manectric,155,teammate,7,Basculegion Male,,,,,,,,,
Manectric,155,teammate,8,Archaludon,,,,,,,,,
Manectric,155,teammate,9,Sableye,,,,,,,,,
Manectric,155,teammate,10,Garchomp,,,,,,,,,
Manectric,155,stat_alignment,1,Timid,75.4%,Speed,Attack,,,,,,
Manectric,155,stat_alignment,2,Modest,22.2%,Sp. Atk,Attack,,,,,,
Manectric,155,stat_alignment,3,Mild,0.5%,Sp. Atk,Defense,,,,,,
Manectric,155,stat_alignment,4,Calm,0.4%,Sp. Def,Attack,,,,,,
Manectric,155,stat_alignment,5,Quirky,0.2%,,,,,,,,
Manectric,155,stat_alignment,6,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Manectric,155,stat_alignment,7,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Manectric,155,stat_alignment,8,Naive,0.2%,Speed,Sp. Def,,,,,,
Manectric,155,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Manectric,155,stat_alignment,10,Lonely,0.2%,Attack,Defense,,,,,,
Manectric,155,stat_points,1,,35.3%,,,2,0,0,32,0,32
Manectric,155,stat_points,2,,6.2%,,,0,0,0,32,2,32
Manectric,155,stat_points,3,,5.3%,,,0,0,2,32,0,32
Manectric,155,stat_points,4,,2.1%,,,0,0,0,32,0,32
Manectric,155,stat_points,5,,1.7%,,,32,0,0,2,0,32
Manectric,155,stat_points,6,,1.6%,,,0,0,32,0,32,2
Manectric,155,stat_points,7,,1.4%,,,0,0,0,32,1,32
Manectric,155,stat_points,8,,1.1%,,,0,0,1,32,1,32
Manectric,155,stat_points,9,,1.0%,,,22,0,1,9,2,32
Manectric,155,stat_points,10,,0.9%,,,0,0,32,0,2,32
Manectric,155,stat_points,11,,0.9%,,,32,0,0,32,0,2
Manectric,155,stat_points,12,,0.8%,,,28,0,3,3,0,32
Manectric,155,ability,1,Lightning Rod,95.1%,,,,,,,,
Manectric,155,ability,2,Static,3.0%,,,,,,,,
Manectric,155,ability,3,Minus,1.9%,,,,,,,,
