pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mawile,23,move,1,Play Rough,98.1%,,,,,,,,
Mawile,23,move,2,Sucker Punch,89.1%,,,,,,,,
Mawile,23,move,3,Protect,88.3%,,,,,,,,
Mawile,23,move,4,Iron Head,71.9%,,,,,,,,
Mawile,23,move,5,Rock Slide,21.0%,,,,,,,,
Mawile,23,move,6,Swords Dance,13.1%,,,,,,,,
Mawile,23,move,7,Brick Break,7.0%,,,,,,,,
Mawile,23,move,8,Knock Off,5.1%,,,,,,,,
Mawile,23,move,9,Thunder Punch,1.2%,,,,,,,,
Mawile,23,move,10,Psychic Fangs,1.2%,,,,,,,,
Mawile,23,held_item,1,Mawilite,99.6%,,,,,,,,
Mawile,23,held_item,2,Life Orb,0.1%,,,,,,,,
Mawile,23,held_item,3,Focus Sash,0.0%,,,,,,,,
Mawile,23,held_item,4,Sitrus Berry,0.0%,,,,,,,,
Mawile,23,held_item,5,Quick Claw,0.0%,,,,,,,,
Mawile,23,held_item,6,Leftovers,0.0%,,,,,,,,
Mawile,23,held_item,7,Occa Berry,0.0%,,,,,,,,
Mawile,23,held_item,8,Fairy Feather,0.0%,,,,,,,,
Mawile,23,held_item,9,Muscle Band,0.0%,,,,,,,,
Mawile,23,held_item,10,Expert Belt,0.0%,,,,,,,,
Mawile,23,teammate,1,Farigiraf,,,,,,,,,
Mawile,23,teammate,2,Torkoal,,,,,,,,,
Mawile,23,teammate,3,Sinistcha,,,,,,,,,
Mawile,23,teammate,4,Incineroar,,,,,,,,,
Mawile,23,teammate,5,Staraptor,,,,,,,,,
Mawile,23,teammate,6,Basculegion Male,,,,,,,,,
Mawile,23,teammate,7,Pelipper,,,,,,,,,
Mawile,23,teammate,8,Swampert,,,,,,,,,
Mawile,23,teammate,9,Archaludon,,,,,,,,,
Mawile,23,teammate,10,Garchomp,,,,,,,,,
Mawile,23,stat_alignment,1,Brave,58.7%,Attack,Speed,,,,,,
Mawile,23,stat_alignment,2,Adamant,38.6%,Attack,Sp. Atk,,,,,,
Mawile,23,stat_alignment,3,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Mawile,23,stat_alignment,4,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Mawile,23,stat_alignment,5,Sassy,0.4%,Sp. Def,Speed,,,,,,
Mawile,23,stat_alignment,6,Impish,0.3%,Defense,Sp. Atk,,,,,,
Mawile,23,stat_alignment,7,Relaxed,0.2%,Defense,Speed,,,,,,
Mawile,23,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Mawile,23,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Mawile,23,stat_alignment,10,Serious,0.0%,,,,,,,,
Mawile,23,stat_points,1,,49.8%,,,32,32,0,0,2,0
Mawile,23,stat_points,2,,13.6%,,,32,32,2,0,0,0
Mawile,23,stat_points,3,,3.6%,,,32,19,0,0,0,15
Mawile,23,stat_points,4,,2.8%,,,26,32,0,0,0,8
Mawile,23,stat_points,5,,2.7%,,,32,32,1,0,1,0
Mawile,23,stat_points,6,,1.6%,,,32,32,0,0,0,2
Mawile,23,stat_points,7,,1.3%,,,32,32,0,0,0,0
Mawile,23,stat_points,8,,1.1%,,,32,25,0,0,9,0
Mawile,23,stat_points,9,,1.0%,,,32,6,4,0,23,1
Mawile,23,stat_points,10,,0.9%,,,2,32,32,0,0,0
Mawile,23,stat_points,11,,0.9%,,,2,32,0,0,32,0
Mawile,23,stat_points,12,,0.8%,,,32,15,0,0,19,0
Mawile,23,ability,1,Intimidate,60.8%,,,,,,,,
Mawile,23,ability,2,Hyper Cutter,38.3%,,,,,,,,
Mawile,23,ability,3,Sheer Force,1.0%,,,,,,,,
