pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Medicham,163,move,1,Fake Out,75.2%,,,,,,,,
Medicham,163,move,2,Close Combat,61.7%,,,,,,,,
Medicham,163,move,3,Rock Slide,29.1%,,,,,,,,
Medicham,163,move,4,Zen Headbutt,24.6%,,,,,,,,
Medicham,163,move,5,Psycho Cut,23.9%,,,,,,,,
Medicham,163,move,6,Poison Jab,20.7%,,,,,,,,
Medicham,163,move,7,Ice Punch,16.6%,,,,,,,,
Medicham,163,move,8,Protect,16.0%,,,,,,,,
Medicham,163,move,9,Bullet Punch,16.0%,,,,,,,,
Medicham,163,move,10,Trick Room,12.8%,,,,,,,,
Medicham,163,held_item,1,Medichamite,42.0%,,,,,,,,
Medicham,163,held_item,2,Focus Sash,30.9%,,,,,,,,
Medicham,163,held_item,3,Life Orb,4.9%,,,,,,,,
Medicham,163,held_item,4,Iron Ball,4.8%,,,,,,,,
Medicham,163,held_item,5,Choice Scarf,4.0%,,,,,,,,
Medicham,163,held_item,6,White Herb,2.4%,,,,,,,,
Medicham,163,held_item,7,Sitrus Berry,2.0%,,,,,,,,
Medicham,163,held_item,8,Muscle Band,1.9%,,,,,,,,
Medicham,163,held_item,9,Bright Powder,1.5%,,,,,,,,
Medicham,163,held_item,10,Quick Claw,0.9%,,,,,,,,
Medicham,163,teammate,1,Farigiraf,,,,,,,,,
Medicham,163,teammate,2,Torkoal,,,,,,,,,
Medicham,163,teammate,3,Kingambit,,,,,,,,,
Medicham,163,teammate,4,Sylveon,,,,,,,,,
Medicham,163,teammate,5,Mawile,,,,,,,,,
Medicham,163,teammate,6,Incineroar,,,,,,,,,
Medicham,163,teammate,7,Basculegion Male,,,,,,,,,
Medicham,163,teammate,8,Sinistcha,,,,,,,,,
Medicham,163,teammate,9,Whimsicott,,,,,,,,,
Medicham,163,teammate,10,Oranguru,,,,,,,,,
Medicham,163,stat_alignment,1,Adamant,37.4%,Attack,Sp. Atk,,,,,,
Medicham,163,stat_alignment,2,Jolly,32.9%,Speed,Sp. Atk,,,,,,
Medicham,163,stat_alignment,3,Brave,23.2%,Attack,Speed,,,,,,
Medicham,163,stat_alignment,4,Careful,2.3%,Sp. Def,Sp. Atk,,,,,,
Medicham,163,stat_alignment,5,Impish,1.3%,Defense,Sp. Atk,,,,,,
Medicham,163,stat_alignment,6,Relaxed,0.7%,Defense,Speed,,,,,,
Medicham,163,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Medicham,163,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Medicham,163,stat_alignment,9,Calm,0.3%,Sp. Def,Attack,,,,,,
Medicham,163,stat_alignment,10,Hasty,0.2%,Speed,Defense,,,,,,
Medicham,163,stat_points,1,,32.2%,,,2,32,0,0,0,32
Medicham,163,stat_points,2,,9.0%,,,32,32,2,0,0,0
Medicham,163,stat_points,3,,6.3%,,,32,32,1,0,1,0
Medicham,163,stat_points,4,,5.9%,,,32,32,0,0,2,0
Medicham,163,stat_points,5,,4.1%,,,0,32,2,0,0,32
Medicham,163,stat_points,6,,3.7%,,,32,0,2,0,0,32
Medicham,163,stat_points,7,,2.7%,,,0,32,0,0,2,32
Medicham,163,stat_points,8,,2.1%,,,0,32,0,0,0,32
Medicham,163,stat_points,9,,1.9%,,,22,32,0,0,0,12
Medicham,163,stat_points,10,,1.5%,,,32,32,0,0,0,0
Medicham,163,stat_points,11,,1.4%,,,2,0,32,0,32,0
Medicham,163,stat_points,12,,1.3%,,,20,32,14,0,0,0
Medicham,163,ability,1,Pure Power,91.8%,,,,,,,,
Medicham,163,ability,2,Telepathy,8.2%,,,,,,,,
