pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Meowscarada,49,move,1,Flower Trick,97.6%,,,,,,,,
Meowscarada,49,move,2,Triple Axel,78.1%,,,,,,,,
Meowscarada,49,move,3,Knock Off,63.8%,,,,,,,,
Meowscarada,49,move,4,U-turn,47.0%,,,,,,,,
Meowscarada,49,move,5,Protect,21.1%,,,,,,,,
Meowscarada,49,move,6,Sucker Punch,17.0%,,,,,,,,
Meowscarada,49,move,7,Play Rough,13.5%,,,,,,,,
Meowscarada,49,move,8,Low Kick,13.0%,,,,,,,,
Meowscarada,49,move,9,Thunder Punch,10.4%,,,,,,,,
Meowscarada,49,move,10,Brick Break,10.2%,,,,,,,,
Meowscarada,49,held_item,1,Choice Scarf,47.8%,,,,,,,,
Meowscarada,49,held_item,2,Focus Sash,20.2%,,,,,,,,
Meowscarada,49,held_item,3,Life Orb,13.2%,,,,,,,,
Meowscarada,49,held_item,4,Expert Belt,4.6%,,,,,,,,
Meowscarada,49,held_item,5,Wide Lens,3.4%,,,,,,,,
Meowscarada,49,held_item,6,Muscle Band,1.8%,,,,,,,,
Meowscarada,49,held_item,7,Sitrus Berry,1.5%,,,,,,,,
Meowscarada,49,held_item,8,Miracle Seed,1.2%,,,,,,,,
Meowscarada,49,held_item,9,Quick Claw,1.1%,,,,,,,,
Meowscarada,49,held_item,10,White Herb,0.8%,,,,,,,,
Meowscarada,49,teammate,1,Whimsicott,,,,,,,,,
Meowscarada,49,teammate,2,Garchomp,,,,,,,,,
Meowscarada,49,teammate,3,Raichu,,,,,,,,,
Meowscarada,49,teammate,4,Sneasler,,,,,,,,,
Meowscarada,49,teammate,5,Incineroar,,,,,,,,,
Meowscarada,49,teammate,6,Charizard,,,,,,,,,
Meowscarada,49,teammate,7,Basculegion Male,,,,,,,,,
Meowscarada,49,teammate,8,Pelipper,,,,,,,,,
Meowscarada,49,teammate,9,Metagross,,,,,,,,,
Meowscarada,49,teammate,10,Sylveon,,,,,,,,,
Meowscarada,49,stat_alignment,1,Jolly,49.9%,Speed,Sp. Atk,,,,,,
Meowscarada,49,stat_alignment,2,Adamant,43.0%,Attack,Sp. Atk,,,,,,
Meowscarada,49,stat_alignment,3,Naughty,1.4%,Attack,Sp. Def,,,,,,
Meowscarada,49,stat_alignment,4,Hasty,1.4%,Speed,Defense,,,,,,
Meowscarada,49,stat_alignment,5,Naive,1.3%,Speed,Sp. Def,,,,,,
Meowscarada,49,stat_alignment,6,Lonely,0.9%,Attack,Defense,,,,,,
Meowscarada,49,stat_alignment,7,Modest,0.4%,Sp. Atk,Attack,,,,,,
Meowscarada,49,stat_alignment,8,Brave,0.3%,Attack,Speed,,,,,,
Meowscarada,49,stat_alignment,9,Impish,0.3%,Defense,Sp. Atk,,,,,,
Meowscarada,49,stat_alignment,10,Timid,0.3%,Speed,Attack,,,,,,
Meowscarada,49,stat_points,1,,56.7%,,,2,32,0,0,0,32
Meowscarada,49,stat_points,2,,10.7%,,,0,32,2,0,0,32
Meowscarada,49,stat_points,3,,6.8%,,,0,32,0,0,2,32
Meowscarada,49,stat_points,4,,3.1%,,,0,32,0,0,0,32
Meowscarada,49,stat_points,5,,1.7%,,,7,32,0,0,0,27
Meowscarada,49,stat_points,6,,1.5%,,,0,32,1,0,1,32
Meowscarada,49,stat_points,7,,1.1%,,,1,32,0,0,0,32
Meowscarada,49,stat_points,8,,1.0%,,,13,32,0,0,0,21
Meowscarada,49,stat_points,9,,0.8%,,,4,32,0,0,0,30
Meowscarada,49,stat_points,10,,0.8%,,,32,32,0,0,0,2
Meowscarada,49,stat_points,11,,0.6%,,,1,32,1,0,0,32
Meowscarada,49,stat_points,12,,0.5%,,,32,32,2,0,0,0
Meowscarada,49,ability,1,Protean,91.8%,,,,,,,,
Meowscarada,49,ability,2,Overgrow,8.2%,,,,,,,,
