pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Metagross,16,move,1,Psychic Fangs,91.4%,,,,,,,,
Metagross,16,move,2,Protect,85.3%,,,,,,,,
Metagross,16,move,3,Iron Head,60.7%,,,,,,,,
Metagross,16,move,4,Bullet Punch,38.5%,,,,,,,,
Metagross,16,move,5,Ice Punch,26.4%,,,,,,,,
Metagross,16,move,6,Stomping Tantrum,26.2%,,,,,,,,
Metagross,16,move,7,Meteor Mash,23.4%,,,,,,,,
Metagross,16,move,8,Body Press,14.2%,,,,,,,,
Metagross,16,move,9,Rock Slide,6.4%,,,,,,,,
Metagross,16,move,10,Thunder Punch,5.6%,,,,,,,,
Metagross,16,held_item,1,Metagrossite,92.3%,,,,,,,,
Metagross,16,held_item,2,Life Orb,2.5%,,,,,,,,
Metagross,16,held_item,3,Leftovers,0.9%,,,,,,,,
Metagross,16,held_item,4,Sitrus Berry,0.8%,,,,,,,,
Metagross,16,held_item,5,Metal Coat,0.6%,,,,,,,,
Metagross,16,held_item,6,Choice Scarf,0.5%,,,,,,,,
Metagross,16,held_item,7,Expert Belt,0.4%,,,,,,,,
Metagross,16,held_item,8,Muscle Band,0.3%,,,,,,,,
Metagross,16,held_item,9,Quick Claw,0.2%,,,,,,,,
Metagross,16,held_item,10,Lum Berry,0.2%,,,,,,,,
Metagross,16,teammate,1,Garchomp,,,,,,,,,
Metagross,16,teammate,2,Sinistcha,,,,,,,,,
Metagross,16,teammate,3,Whimsicott,,,,,,,,,
Metagross,16,teammate,4,Basculegion Male,,,,,,,,,
Metagross,16,teammate,5,Incineroar,,,,,,,,,
Metagross,16,teammate,6,Sneasler,,,,,,,,,
Metagross,16,teammate,7,Pelipper,,,,,,,,,
Metagross,16,teammate,8,Grimmsnarl,,,,,,,,,
Metagross,16,teammate,9,Archaludon,,,,,,,,,
Metagross,16,teammate,10,Swampert,,,,,,,,,
Metagross,16,stat_alignment,1,Jolly,55.5%,Speed,Sp. Atk,,,,,,
Metagross,16,stat_alignment,2,Adamant,39.2%,Attack,Sp. Atk,,,,,,
Metagross,16,stat_alignment,3,Brave,2.0%,Attack,Speed,,,,,,
Metagross,16,stat_alignment,4,Impish,1.0%,Defense,Sp. Atk,,,,,,
Metagross,16,stat_alignment,5,Careful,0.9%,Sp. Def,Sp. Atk,,,,,,
Metagross,16,stat_alignment,6,Naughty,0.2%,Attack,Sp. Def,,,,,,
Metagross,16,stat_alignment,7,Sassy,0.2%,Sp. Def,Speed,,,,,,
Metagross,16,stat_alignment,8,Relaxed,0.2%,Defense,Speed,,,,,,
Metagross,16,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Metagross,16,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Metagross,16,stat_points,1,,30.0%,,,2,32,0,0,0,32
Metagross,16,stat_points,2,,5.2%,,,8,27,3,0,0,28
Metagross,16,stat_points,3,,4.2%,,,0,32,0,0,2,32
Metagross,16,stat_points,4,,3.7%,,,32,32,0,0,2,0
Metagross,16,stat_points,5,,3.4%,,,9,32,0,0,0,25
Metagross,16,stat_points,6,,3.1%,,,10,23,1,0,0,32
Metagross,16,stat_points,7,,2.7%,,,0,32,2,0,0,32
Metagross,16,stat_points,8,,2.4%,,,32,32,0,0,0,2
Metagross,16,stat_points,9,,2.0%,,,32,32,2,0,0,0
Metagross,16,stat_points,10,,1.8%,,,14,27,0,0,0,25
Metagross,16,stat_points,11,,1.1%,,,15,24,1,0,1,25
Metagross,16,stat_points,12,,1.1%,,,30,32,1,0,1,2
Metagross,16,ability,1,Clear Body,99.5%,,,,,,,,
Metagross,16,ability,2,Light Metal,0.5%,,,,,,,,
