pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Milotic,29,move,1,Scald,66.1%,,,,,,,,
Milotic,29,move,2,Protect,64.5%,,,,,,,,
Milotic,29,move,3,Ice Beam,41.6%,,,,,,,,
Milotic,29,move,4,Recover,37.4%,,,,,,,,
Milotic,29,move,5,Icy Wind,34.2%,,,,,,,,
Milotic,29,move,6,Muddy Water,33.8%,,,,,,,,
Milotic,29,move,7,Life Dew,30.3%,,,,,,,,
Milotic,29,move,8,Coil,26.3%,,,,,,,,
Milotic,29,move,9,Hypnosis,25.9%,,,,,,,,
Milotic,29,move,10,Blizzard,5.2%,,,,,,,,
Milotic,29,held_item,1,Leftovers,76.8%,,,,,,,,
Milotic,29,held_item,2,Sitrus Berry,12.6%,,,,,,,,
Milotic,29,held_item,3,Mystic Water,2.4%,,,,,,,,
Milotic,29,held_item,4,Quick Claw,1.0%,,,,,,,,
Milotic,29,held_item,5,Life Orb,1.0%,,,,,,,,
Milotic,29,held_item,6,Wide Lens,0.9%,,,,,,,,
Milotic,29,held_item,7,Wacan Berry,0.5%,,,,,,,,
Milotic,29,held_item,8,Bright Powder,0.5%,,,,,,,,
Milotic,29,held_item,9,Shell Bell,0.5%,,,,,,,,
Milotic,29,held_item,10,Zoom Lens,0.5%,,,,,,,,
Milotic,29,teammate,1,Garchomp,,,,,,,,,
Milotic,29,teammate,2,Incineroar,,,,,,,,,
Milotic,29,teammate,3,Whimsicott,,,,,,,,,
Milotic,29,teammate,4,Sinistcha,,,,,,,,,
Milotic,29,teammate,5,Sneasler,,,,,,,,,
Milotic,29,teammate,6,Raichu,,,,,,,,,
Milotic,29,teammate,7,Charizard,,,,,,,,,
Milotic,29,teammate,8,Metagross,,,,,,,,,
Milotic,29,teammate,9,Staraptor,,,,,,,,,
Milotic,29,teammate,10,Kingambit,,,,,,,,,
Milotic,29,stat_alignment,1,Bold,35.7%,Defense,Attack,,,,,,
Milotic,29,stat_alignment,2,Modest,34.0%,Sp. Atk,Attack,,,,,,
Milotic,29,stat_alignment,3,Calm,19.2%,Sp. Def,Attack,,,,,,
Milotic,29,stat_alignment,4,Quiet,4.1%,Sp. Atk,Speed,,,,,,
Milotic,29,stat_alignment,5,Timid,2.4%,Speed,Attack,,,,,,
Milotic,29,stat_alignment,6,Sassy,1.9%,Sp. Def,Speed,,,,,,
Milotic,29,stat_alignment,7,Relaxed,1.6%,Defense,Speed,,,,,,
Milotic,29,stat_alignment,8,Mild,0.6%,Sp. Atk,Defense,,,,,,
Milotic,29,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Milotic,29,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Milotic,29,stat_points,1,,9.3%,,,32,0,32,0,2,0
Milotic,29,stat_points,2,,6.6%,,,32,0,2,32,0,0
Milotic,29,stat_points,3,,3.3%,,,32,0,32,2,0,0
Milotic,29,stat_points,4,,3.0%,,,32,0,0,32,2,0
Milotic,29,stat_points,5,,2.3%,,,32,0,27,0,5,2
Milotic,29,stat_points,6,,2.3%,,,31,0,21,1,12,1
Milotic,29,stat_points,7,,2.1%,,,32,0,0,32,0,2
Milotic,29,stat_points,8,,2.0%,,,2,0,32,32,0,0
Milotic,29,stat_points,9,,1.8%,,,32,0,21,10,1,2
Milotic,29,stat_points,10,,1.7%,,,32,0,2,0,32,0
Milotic,29,ability,1,Competitive,97.7%,,,,,,,,
Milotic,29,ability,2,Marvel Scale,1.6%,,,,,,,,
Milotic,29,ability,3,Cute Charm,0.6%,,,,,,,,
