pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Morpeko,187,move,1,Aura Wheel,99.6%,,,,,,,,
Morpeko,187,move,2,Fake Out,80.1%,,,,,,,,
Morpeko,187,move,3,Protect,64.5%,,,,,,,,
Morpeko,187,move,4,Parting Shot,34.6%,,,,,,,,
Morpeko,187,move,5,Knock Off,17.9%,,,,,,,,
Morpeko,187,move,6,Endeavor,17.3%,,,,,,,,
Morpeko,187,move,7,Psychic Fangs,15.0%,,,,,,,,
Morpeko,187,move,8,Seed Bomb,10.5%,,,,,,,,
Morpeko,187,move,9,Swagger,9.0%,,,,,,,,
Morpeko,187,move,10,Foul Play,6.3%,,,,,,,,
Morpeko,187,held_item,1,Focus Sash,82.9%,,,,,,,,
Morpeko,187,held_item,2,Life Orb,4.1%,,,,,,,,
Morpeko,187,held_item,3,Choice Scarf,2.1%,,,,,,,,
Morpeko,187,held_item,4,Muscle Band,1.5%,,,,,,,,
Morpeko,187,held_item,5,Metronome,1.5%,,,,,,,,
Morpeko,187,held_item,6,Expert Belt,1.4%,,,,,,,,
Morpeko,187,held_item,7,Magnet,1.1%,,,,,,,,
Morpeko,187,held_item,8,Sitrus Berry,0.7%,,,,,,,,
Morpeko,187,held_item,9,Quick Claw,0.7%,,,,,,,,
Morpeko,187,held_item,10,Wise Glasses,0.6%,,,,,,,,
Morpeko,187,teammate,1,Sinistcha,,,,,,,,,
Morpeko,187,teammate,2,Basculegion Male,,,,,,,,,
Morpeko,187,teammate,3,Sneasler,,,,,,,,,
Morpeko,187,teammate,4,Kingambit,,,,,,,,,
Morpeko,187,teammate,5,Alolan Ninetales,,,,,,,,,
Morpeko,187,teammate,6,Charizard,,,,,,,,,
Morpeko,187,teammate,7,Staraptor,,,,,,,,,
Morpeko,187,teammate,8,Sylveon,,,,,,,,,
Morpeko,187,teammate,9,Whimsicott,,,,,,,,,
Morpeko,187,teammate,10,Garchomp,,,,,,,,,
Morpeko,187,stat_alignment,1,Jolly,55.8%,Speed,Sp. Atk,,,,,,
Morpeko,187,stat_alignment,2,Adamant,39.3%,Attack,Sp. Atk,,,,,,
Morpeko,187,stat_alignment,3,Naive,3.0%,Speed,Sp. Def,,,,,,
Morpeko,187,stat_alignment,4,Lonely,0.9%,Attack,Defense,,,,,,
Morpeko,187,stat_alignment,5,Hasty,0.6%,Speed,Defense,,,,,,
Morpeko,187,stat_alignment,6,Naughty,0.3%,Attack,Sp. Def,,,,,,
Morpeko,187,stat_alignment,7,Brave,0.1%,Attack,Speed,,,,,,
Morpeko,187,stat_alignment,8,Serious,0.0%,,,,,,,,
Morpeko,187,stat_alignment,9,Impish,0.0%,Defense,Sp. Atk,,,,,,
Morpeko,187,stat_points,1,,55.6%,,,2,32,0,0,0,32
Morpeko,187,stat_points,2,,14.4%,,,0,32,2,0,0,32
Morpeko,187,stat_points,3,,9.7%,,,0,32,0,0,0,32
Morpeko,187,stat_points,4,,5.9%,,,0,32,0,0,2,32
Morpeko,187,stat_points,5,,4.7%,,,0,32,1,0,1,32
Morpeko,187,stat_points,6,,2.0%,,,10,32,0,0,0,24
Morpeko,187,stat_points,7,,1.2%,,,0,32,0,2,0,32
Morpeko,187,stat_points,8,,1.2%,,,32,32,2,0,0,0
Morpeko,187,stat_points,9,,1.0%,,,32,32,1,0,0,0
Morpeko,187,stat_points,10,,0.7%,,,19,29,0,0,0,18
Morpeko,187,stat_points,11,,0.6%,,,0,32,22,0,0,12
Morpeko,187,stat_points,12,,0.6%,,,1,32,0,0,0,32
Morpeko,187,ability,1,Hunger Switch,100.0%,,,,,,,,
