pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mr. Rime,130,move,1,Fake Out,61.5%,,,,,,,,
Mr. Rime,130,move,2,Freeze-Dry,58.9%,,,,,,,,
Mr. Rime,130,move,3,Protect,40.0%,,,,,,,,
Mr. Rime,130,move,4,Psychic,32.6%,,,,,,,,
Mr. Rime,130,move,5,Trick Room,30.4%,,,,,,,,
Mr. Rime,130,move,6,Sheer Cold,27.0%,,,,,,,,
Mr. Rime,130,move,7,Role Play,23.0%,,,,,,,,
Mr. Rime,130,move,8,Frost Breath,18.3%,,,,,,,,
Mr. Rime,130,move,9,Blizzard,10.5%,,,,,,,,
Mr. Rime,130,move,10,Ally Switch,0.3%,,,,,,,,
Mr. Rime,130,held_item,1,Focus Sash,32.3%,,,,,,,,
Mr. Rime,130,held_item,2,Sitrus Berry,17.8%,,,,,,,,
Mr. Rime,130,held_item,3,Leftovers,9.3%,,,,,,,,
Mr. Rime,130,held_item,4,Mental Herb,4.5%,,,,,,,,
Mr. Rime,130,held_item,5,Quick Claw,4.2%,,,,,,,,
Mr. Rime,130,held_item,6,Never-Melt Ice,4.0%,,,,,,,,
Mr. Rime,130,held_item,7,Life Orb,3.7%,,,,,,,,
Mr. Rime,130,held_item,8,Occa Berry,3.7%,,,,,,,,
Mr. Rime,130,held_item,9,Bright Powder,3.1%,,,,,,,,
Mr. Rime,130,held_item,10,Colbur Berry,2.8%,,,,,,,,
Mr. Rime,130,teammate,1,Raichu,,,,,,,,,
Mr. Rime,130,teammate,2,Pelipper,,,,,,,,,
Mr. Rime,130,teammate,3,Garchomp,,,,,,,,,
Mr. Rime,130,teammate,4,Farigiraf,,,,,,,,,
Mr. Rime,130,teammate,5,Sinistcha,,,,,,,,,
Mr. Rime,130,teammate,6,Whimsicott,,,,,,,,,
Mr. Rime,130,teammate,7,Metagross,,,,,,,,,
Mr. Rime,130,teammate,8,Clefable,,,,,,,,,
Mr. Rime,130,teammate,9,Froslass,,,,,,,,,
Mr. Rime,130,teammate,10,Incineroar,,,,,,,,,
Mr. Rime,130,stat_alignment,1,Timid,26.4%,Speed,Attack,,,,,,
Mr. Rime,130,stat_alignment,2,Modest,20.4%,Sp. Atk,Attack,,,,,,
Mr. Rime,130,stat_alignment,3,Quiet,18.1%,Sp. Atk,Speed,,,,,,
Mr. Rime,130,stat_alignment,4,Bold,14.4%,Defense,Attack,,,,,,
Mr. Rime,130,stat_alignment,5,Calm,7.6%,Sp. Def,Attack,,,,,,
Mr. Rime,130,stat_alignment,6,Relaxed,5.1%,Defense,Speed,,,,,,
Mr. Rime,130,stat_alignment,7,Sassy,3.1%,Sp. Def,Speed,,,,,,
Mr. Rime,130,stat_alignment,8,Mild,1.0%,Sp. Atk,Defense,,,,,,
Mr. Rime,130,stat_alignment,9,Hasty,0.8%,Speed,Defense,,,,,,
Mr. Rime,130,stat_alignment,10,Impish,0.7%,Defense,Sp. Atk,,,,,,
Mr. Rime,130,stat_points,1,,15.0%,,,2,0,0,32,0,32
Mr. Rime,130,stat_points,2,,11.3%,,,32,0,2,32,0,0
Mr. Rime,130,stat_points,3,,6.0%,,,32,0,32,0,2,0
Mr. Rime,130,stat_points,4,,3.1%,,,32,0,0,32,2,0
Mr. Rime,130,stat_points,5,,2.4%,,,32,0,2,0,0,32
Mr. Rime,130,stat_points,6,,2.4%,,,2,0,0,32,32,0
Mr. Rime,130,stat_points,7,,2.1%,,,0,0,32,32,2,0
Mr. Rime,130,stat_points,8,,2.1%,,,0,0,2,32,0,32
Mr. Rime,130,stat_points,9,,2.1%,,,2,0,32,32,0,0
Mr. Rime,130,stat_points,10,,1.9%,,,32,0,0,32,0,2
Mr. Rime,130,stat_points,11,,1.6%,,,32,0,25,0,9,0
Mr. Rime,130,stat_points,12,,1.6%,,,0,0,0,32,2,32
Mr. Rime,130,ability,1,Screen Cleaner,80.9%,,,,,,,,
Mr. Rime,130,ability,2,Ice Body,15.6%,,,,,,,,
Mr. Rime,130,ability,3,Tangled Feet,3.5%,,,,,,,,
