pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Mudsdale,119,move,1,Rock Slide,76.5%,,,,,,,,
Mudsdale,119,move,2,High Horsepower,70.9%,,,,,,,,
Mudsdale,119,move,3,Protect,69.4%,,,,,,,,
Mudsdale,119,move,4,Earthquake,59.4%,,,,,,,,
Mudsdale,119,move,5,Heavy Slam,44.7%,,,,,,,,
Mudsdale,119,move,6,Body Press,33.3%,,,,,,,,
Mudsdale,119,move,7,Close Combat,9.7%,,,,,,,,
Mudsdale,119,move,8,Iron Defense,4.4%,,,,,,,,
Mudsdale,119,move,9,Iron Head,4.3%,,,,,,,,
Mudsdale,119,move,10,Stone Edge,3.9%,,,,,,,,
Mudsdale,119,held_item,1,Life Orb,28.8%,,,,,,,,
Mudsdale,119,held_item,2,Leftovers,27.6%,,,,,,,,
Mudsdale,119,held_item,3,Soft Sand,18.7%,,,,,,,,
Mudsdale,119,held_item,4,Sitrus Berry,3.7%,,,,,,,,
Mudsdale,119,held_item,5,Expert Belt,3.0%,,,,,,,,
Mudsdale,119,held_item,6,Quick Claw,2.5%,,,,,,,,
Mudsdale,119,held_item,7,Muscle Band,2.4%,,,,,,,,
Mudsdale,119,held_item,8,Rindo Berry,2.0%,,,,,,,,
Mudsdale,119,held_item,9,Chesto Berry,1.4%,,,,,,,,
Mudsdale,119,held_item,10,Shell Bell,1.3%,,,,,,,,
Mudsdale,119,teammate,1,Torkoal,,,,,,,,,
Mudsdale,119,teammate,2,Farigiraf,,,,,,,,,
Mudsdale,119,teammate,3,Sylveon,,,,,,,,,
Mudsdale,119,teammate,4,Oranguru,,,,,,,,,
Mudsdale,119,teammate,5,Sinistcha,,,,,,,,,
Mudsdale,119,teammate,6,Glalie,,,,,,,,,
Mudsdale,119,teammate,7,Incineroar,,,,,,,,,
Mudsdale,119,teammate,8,Clefable,,,,,,,,,
Mudsdale,119,teammate,9,Mawile,,,,,,,,,
Mudsdale,119,teammate,10,Staraptor,,,,,,,,,
Mudsdale,119,stat_alignment,1,Brave,60.4%,Attack,Speed,,,,,,
Mudsdale,119,stat_alignment,2,Adamant,15.2%,Attack,Sp. Atk,,,,,,
Mudsdale,119,stat_alignment,3,Impish,7.0%,Defense,Sp. Atk,,,,,,
Mudsdale,119,stat_alignment,4,Sassy,5.9%,Sp. Def,Speed,,,,,,
Mudsdale,119,stat_alignment,5,Relaxed,5.3%,Defense,Speed,,,,,,
Mudsdale,119,stat_alignment,6,Careful,4.4%,Sp. Def,Sp. Atk,,,,,,
Mudsdale,119,stat_alignment,7,Serious,1.4%,,,,,,,,
Mudsdale,119,stat_alignment,8,Naughty,0.4%,Attack,Sp. Def,,,,,,
Mudsdale,119,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Mudsdale,119,stat_alignment,10,Lonely,0.1%,Attack,Defense,,,,,,
Mudsdale,119,stat_points,1,,38.0%,,,32,32,0,0,2,0
Mudsdale,119,stat_points,2,,10.6%,,,32,32,2,0,0,0
Mudsdale,119,stat_points,3,,3.3%,,,2,32,32,0,0,0
Mudsdale,119,stat_points,4,,3.0%,,,0,32,32,0,2,0
Mudsdale,119,stat_points,5,,2.8%,,,2,32,0,0,32,0
Mudsdale,119,stat_points,6,,2.6%,,,32,0,32,0,2,0
Mudsdale,119,stat_points,7,,2.4%,,,32,0,2,0,32,0
Mudsdale,119,stat_points,8,,1.8%,,,2,0,32,0,32,0
Mudsdale,119,stat_points,9,,1.6%,,,32,2,32,0,0,0
Mudsdale,119,stat_points,10,,1.4%,,,0,32,2,0,32,0
Mudsdale,119,stat_points,11,,1.4%,,,8,16,27,0,15,0
Mudsdale,119,stat_points,12,,1.3%,,,32,32,0,0,1,0
