pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Noivern,143,move,1,Tailwind,82.1%,,,,,,,,
Noivern,143,move,2,Draco Meteor,76.7%,,,,,,,,
Noivern,143,move,3,Air Slash,43.2%,,,,,,,,
Noivern,143,move,4,Protect,39.5%,,,,,,,,
Noivern,143,move,5,Super Fang,30.1%,,,,,,,,
Noivern,143,move,6,Hurricane,21.8%,,,,,,,,
Noivern,143,move,7,Taunt,18.2%,,,,,,,,
Noivern,143,move,8,Heat Wave,13.1%,,,,,,,,
Noivern,143,move,9,Boomburst,11.0%,,,,,,,,
Noivern,143,move,10,Dragon Pulse,10.3%,,,,,,,,
Noivern,143,held_item,1,Focus Sash,56.7%,,,,,,,,
Noivern,143,held_item,2,Life Orb,10.4%,,,,,,,,
Noivern,143,held_item,3,White Herb,4.7%,,,,,,,,
Noivern,143,held_item,4,Sharp Beak,4.5%,,,,,,,,
Noivern,143,held_item,5,Choice Scarf,2.9%,,,,,,,,
Noivern,143,held_item,6,Sitrus Berry,2.4%,,,,,,,,
Noivern,143,held_item,7,Wide Lens,1.9%,,,,,,,,
Noivern,143,held_item,8,Yache Berry,1.8%,,,,,,,,
Noivern,143,held_item,9,Dragon Fang,1.7%,,,,,,,,
Noivern,143,held_item,10,Wise Glasses,1.5%,,,,,,,,
Noivern,143,teammate,1,Garchomp,,,,,,,,,
Noivern,143,teammate,2,Eelektross,,,,,,,,,
Noivern,143,teammate,3,Metagross,,,,,,,,,
Noivern,143,teammate,4,Sneasler,,,,,,,,,
Noivern,143,teammate,5,Raichu,,,,,,,,,
Noivern,143,teammate,6,Sinistcha,,,,,,,,,
Noivern,143,teammate,7,Charizard,,,,,,,,,
Noivern,143,teammate,8,Incineroar,,,,,,,,,
Noivern,143,teammate,9,Grimmsnarl,,,,,,,,,
Noivern,143,teammate,10,Sableye,,,,,,,,,
Noivern,143,stat_alignment,1,Timid,76.6%,Speed,Attack,,,,,,
Noivern,143,stat_alignment,2,Modest,18.3%,Sp. Atk,Attack,,,,,,
Noivern,143,stat_alignment,3,Mild,1.9%,Sp. Atk,Defense,,,,,,
Noivern,143,stat_alignment,4,Hasty,1.1%,Speed,Defense,,,,,,
Noivern,143,stat_alignment,5,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Noivern,143,stat_alignment,6,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Noivern,143,stat_alignment,7,Naive,0.3%,Speed,Sp. Def,,,,,,
Noivern,143,stat_alignment,8,Calm,0.3%,Sp. Def,Attack,,,,,,
Noivern,143,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Noivern,143,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Noivern,143,stat_points,1,,55.0%,,,2,0,0,32,0,32
Noivern,143,stat_points,2,,7.7%,,,0,0,0,32,2,32
Noivern,143,stat_points,3,,7.0%,,,0,0,2,32,0,32
Noivern,143,stat_points,4,,5.0%,,,0,0,0,32,0,32
Noivern,143,stat_points,5,,4.1%,,,1,0,1,32,0,32
Noivern,143,stat_points,6,,1.4%,,,7,0,0,32,0,27
Noivern,143,stat_points,7,,1.4%,,,32,0,0,32,0,2
Noivern,143,stat_points,8,,1.3%,,,32,0,0,2,0,32
Noivern,143,stat_points,9,,1.1%,,,0,0,1,32,1,32
Noivern,143,stat_points,10,,1.1%,,,1,0,0,32,1,32
Noivern,143,stat_points,11,,1.0%,,,4,0,0,32,0,30
Noivern,143,ability,1,Telepathy,38.3%,,,,,,,,
Noivern,143,ability,2,Infiltrator,37.5%,,,,,,,,
Noivern,143,ability,3,Frisk,24.1%,,,,,,,,
