pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Oranguru,53,move,1,Instruct,96.6%,,,,,,,,
Oranguru,53,move,2,Trick Room,96.4%,,,,,,,,
Oranguru,53,move,3,Protect,54.0%,,,,,,,,
Oranguru,53,move,4,Psychic,47.6%,,,,,,,,
Oranguru,53,move,5,Encore,29.6%,,,,,,,,
Oranguru,53,move,6,Foul Play,12.2%,,,,,,,,
Oranguru,53,move,7,Psychic Terrain,5.8%,,,,,,,,
Oranguru,53,move,8,Yawn,4.3%,,,,,,,,
Oranguru,53,move,9,Taunt,4.3%,,,,,,,,
Oranguru,53,move,10,Psyshock,4.0%,,,,,,,,
Oranguru,53,held_item,1,Mental Herb,39.4%,,,,,,,,
Oranguru,53,held_item,2,Sitrus Berry,23.0%,,,,,,,,
Oranguru,53,held_item,3,Colbur Berry,19.4%,,,,,,,,
Oranguru,53,held_item,4,Leftovers,8.3%,,,,,,,,
Oranguru,53,held_item,5,Focus Sash,4.5%,,,,,,,,
Oranguru,53,held_item,6,White Herb,0.9%,,,,,,,,
Oranguru,53,held_item,7,Bright Powder,0.7%,,,,,,,,
Oranguru,53,held_item,8,Lum Berry,0.6%,,,,,,,,
Oranguru,53,held_item,9,Light Clay,0.6%,,,,,,,,
Oranguru,53,held_item,10,Iron Ball,0.6%,,,,,,,,
Oranguru,53,teammate,1,Torkoal,,,,,,,,,
Oranguru,53,teammate,2,Sylveon,,,,,,,,,
Oranguru,53,teammate,3,Sinistcha,,,,,,,,,
Oranguru,53,teammate,4,Kingambit,,,,,,,,,
Oranguru,53,teammate,5,Incineroar,,,,,,,,,
Oranguru,53,teammate,6,Mawile,,,,,,,,,
Oranguru,53,teammate,7,Farigiraf,,,,,,,,,
Oranguru,53,teammate,8,Staraptor,,,,,,,,,
Oranguru,53,teammate,9,Drampa,,,,,,,,,
Oranguru,53,teammate,10,Hatterene,,,,,,,,,
Oranguru,53,stat_alignment,1,Relaxed,41.3%,Defense,Speed,,,,,,
Oranguru,53,stat_alignment,2,Bold,24.4%,Defense,Attack,,,,,,
Oranguru,53,stat_alignment,3,Sassy,14.9%,Sp. Def,Speed,,,,,,
Oranguru,53,stat_alignment,4,Calm,7.1%,Sp. Def,Attack,,,,,,
Oranguru,53,stat_alignment,5,Quiet,5.2%,Sp. Atk,Speed,,,,,,
Oranguru,53,stat_alignment,6,Modest,3.5%,Sp. Atk,Attack,,,,,,
Oranguru,53,stat_alignment,7,Timid,1.6%,Speed,Attack,,,,,,
Oranguru,53,stat_alignment,8,Impish,0.8%,Defense,Sp. Atk,,,,,,
Oranguru,53,stat_alignment,9,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Oranguru,53,stat_alignment,10,Mild,0.2%,Sp. Atk,Defense,,,,,,
Oranguru,53,stat_points,1,,25.0%,,,32,0,32,0,2,0
Oranguru,53,stat_points,2,,9.0%,,,32,0,20,0,14,0
Oranguru,53,stat_points,3,,6.5%,,,32,0,32,0,0,2
Oranguru,53,stat_points,4,,3.0%,,,2,0,32,0,32,0
Oranguru,53,stat_points,5,,2.9%,,,32,0,30,0,4,0
Oranguru,53,stat_points,6,,2.6%,,,32,0,32,0,0,0
Oranguru,53,stat_points,7,,2.2%,,,32,0,2,0,32,0
Oranguru,53,stat_points,8,,2.0%,,,32,0,26,0,8,0
Oranguru,53,stat_points,9,,1.7%,,,32,0,24,0,10,0
Oranguru,53,stat_points,10,,1.5%,,,31,0,23,0,10,2
Oranguru,53,stat_points,11,,1.5%,,,32,0,32,2,0,0
Oranguru,53,stat_points,12,,1.4%,,,32,0,21,0,13,0
Oranguru,53,ability,1,Inner Focus,72.9%,,,,,,,,
Oranguru,53,ability,2,Telepathy,25.3%,,,,,,,,
Oranguru,53,ability,3,Symbiosis,1.8%,,,,,,,,
