pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Overqwil,91,move,1,Protect,75.8%,,,,,,,,
Overqwil,91,move,2,Throat Chop,66.3%,,,,,,,,
Overqwil,91,move,3,Poison Jab,48.2%,,,,,,,,
Overqwil,91,move,4,Barb Barrage,37.5%,,,,,,,,
Overqwil,91,move,5,Aqua Jet,27.5%,,,,,,,,
Overqwil,91,move,6,Crunch,21.2%,,,,,,,,
Overqwil,91,move,7,Liquidation,16.2%,,,,,,,,
Overqwil,91,move,8,Taunt,13.4%,,,,,,,,
Overqwil,91,move,9,Gunk Shot,12.4%,,,,,,,,
Overqwil,91,move,10,Fell Stinger,8.8%,,,,,,,,
Overqwil,91,held_item,1,Life Orb,48.8%,,,,,,,,
Overqwil,91,held_item,2,Leftovers,12.0%,,,,,,,,
Overqwil,91,held_item,3,Sitrus Berry,7.5%,,,,,,,,
Overqwil,91,held_item,4,Shuca Berry,7.0%,,,,,,,,
Overqwil,91,held_item,5,Focus Sash,5.4%,,,,,,,,
Overqwil,91,held_item,6,Expert Belt,3.1%,,,,,,,,
Overqwil,91,held_item,7,Black Glasses,3.1%,,,,,,,,
Overqwil,91,held_item,8,Poison Barb,3.0%,,,,,,,,
Overqwil,91,held_item,9,White Herb,1.5%,,,,,,,,
Overqwil,91,held_item,10,Choice Scarf,1.4%,,,,,,,,
Overqwil,91,teammate,1,Pelipper,,,,,,,,,
Overqwil,91,teammate,2,Swampert,,,,,,,,,
Overqwil,91,teammate,3,Archaludon,,,,,,,,,
Overqwil,91,teammate,4,Sinistcha,,,,,,,,,
Overqwil,91,teammate,5,Sableye,,,,,,,,,
Overqwil,91,teammate,6,Basculegion Male,,,,,,,,,
Overqwil,91,teammate,7,Raichu,,,,,,,,,
Overqwil,91,teammate,8,Grimmsnarl,,,,,,,,,
Overqwil,91,teammate,9,Glimmora,,,,,,,,,
Overqwil,91,teammate,10,Metagross,,,,,,,,,
Overqwil,91,stat_alignment,1,Adamant,68.5%,Attack,Sp. Atk,,,,,,
Overqwil,91,stat_alignment,2,Jolly,13.6%,Speed,Sp. Atk,,,,,,
Overqwil,91,stat_alignment,3,Careful,6.7%,Sp. Def,Sp. Atk,,,,,,
Overqwil,91,stat_alignment,4,Impish,5.6%,Defense,Sp. Atk,,,,,,
Overqwil,91,stat_alignment,5,Brave,2.0%,Attack,Speed,,,,,,
Overqwil,91,stat_alignment,6,Sassy,1.0%,Sp. Def,Speed,,,,,,
Overqwil,91,stat_alignment,7,Relaxed,0.5%,Defense,Speed,,,,,,
Overqwil,91,stat_alignment,8,Naughty,0.4%,Attack,Sp. Def,,,,,,
Overqwil,91,stat_alignment,9,Bold,0.4%,Defense,Attack,,,,,,
Overqwil,91,stat_alignment,10,Calm,0.3%,Sp. Def,Attack,,,,,,
Overqwil,91,stat_points,1,,22.9%,,,2,32,0,0,0,32
Overqwil,91,stat_points,2,,10.5%,,,9,32,1,0,1,23
Overqwil,91,stat_points,3,,3.6%,,,32,32,0,0,0,2
Overqwil,91,stat_points,4,,3.6%,,,0,32,0,0,2,32
Overqwil,91,stat_points,5,,2.7%,,,0,32,2,0,0,32
Overqwil,91,stat_points,6,,2.5%,,,32,32,0,0,2,0
Overqwil,91,stat_points,7,,2.4%,,,32,0,2,0,32,0
Overqwil,91,stat_points,8,,2.3%,,,32,32,2,0,0,0
Overqwil,91,stat_points,9,,1.7%,,,1,32,0,0,1,32
Overqwil,91,stat_points,10,,1.2%,,,2,32,32,0,0,0
Overqwil,91,stat_points,11,,1.1%,,,17,32,0,0,0,17
Overqwil,91,stat_points,12,,1.0%,,,10,32,0,0,24,0
Overqwil,91,ability,1,Swift Swim,66.9%,,,,,,,,
Overqwil,91,ability,2,Intimidate,29.4%,,,,,,,,
Overqwil,91,ability,3,Poison Point,3.7%,,,,,,,,
