pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Palafin Zero Form,108,move,1,Jet Punch,90.9%,,,,,,,,
Palafin Zero Form,108,move,2,Wave Crash,77.3%,,,,,,,,
Palafin Zero Form,108,move,3,Flip Turn,65.2%,,,,,,,,
Palafin Zero Form,108,move,4,Protect,48.2%,,,,,,,,
Palafin Zero Form,108,move,5,Close Combat,46.9%,,,,,,,,
Palafin Zero Form,108,move,6,Ice Punch,25.5%,,,,,,,,
Palafin Zero Form,108,move,7,Drain Punch,14.3%,,,,,,,,
Palafin Zero Form,108,move,8,Bulk Up,9.5%,,,,,,,,
Palafin Zero Form,108,move,9,Throat Chop,4.3%,,,,,,,,
Palafin Zero Form,108,move,10,Liquidation,3.1%,,,,,,,,
Palafin Zero Form,108,held_item,1,Mystic Water,49.5%,,,,,,,,
Palafin Zero Form,108,held_item,2,Choice Scarf,17.8%,,,,,,,,
Palafin Zero Form,108,held_item,3,Life Orb,12.8%,,,,,,,,
Palafin Zero Form,108,held_item,4,Leftovers,7.0%,,,,,,,,
Palafin Zero Form,108,held_item,5,Sitrus Berry,4.7%,,,,,,,,
Palafin Zero Form,108,held_item,6,Muscle Band,1.6%,,,,,,,,
Palafin Zero Form,108,held_item,7,Lum Berry,1.3%,,,,,,,,
Palafin Zero Form,108,held_item,8,White Herb,1.2%,,,,,,,,
Palafin Zero Form,108,held_item,9,Quick Claw,1.0%,,,,,,,,
Palafin Zero Form,108,held_item,10,Focus Sash,0.5%,,,,,,,,
Palafin Zero Form,108,teammate,1,Incineroar,,,,,,,,,
Palafin Zero Form,108,teammate,2,Pelipper,,,,,,,,,
Palafin Zero Form,108,teammate,3,Sinistcha,,,,,,,,,
Palafin Zero Form,108,teammate,4,Raichu,,,,,,,,,
Palafin Zero Form,108,teammate,5,Archaludon,,,,,,,,,
Palafin Zero Form,108,teammate,6,Sneasler,,,,,,,,,
Palafin Zero Form,108,teammate,7,Whimsicott,,,,,,,,,
Palafin Zero Form,108,teammate,8,Garchomp,,,,,,,,,
Palafin Zero Form,108,teammate,9,Kingambit,,,,,,,,,
Palafin Zero Form,108,teammate,10,Sylveon,,,,,,,,,
Palafin Zero Form,108,stat_alignment,1,Adamant,78.5%,Attack,Sp. Atk,,,,,,
Palafin Zero Form,108,stat_alignment,2,Jolly,15.6%,Speed,Sp. Atk,,,,,,
Palafin Zero Form,108,stat_alignment,3,Naughty,1.4%,Attack,Sp. Def,,,,,,
Palafin Zero Form,108,stat_alignment,4,Lonely,0.9%,Attack,Defense,,,,,,
Palafin Zero Form,108,stat_alignment,5,Brave,0.9%,Attack,Speed,,,,,,
Palafin Zero Form,108,stat_alignment,6,Careful,0.8%,Sp. Def,Sp. Atk,,,,,,
Palafin Zero Form,108,stat_alignment,7,Naive,0.6%,Speed,Sp. Def,,,,,,
Palafin Zero Form,108,stat_alignment,8,Impish,0.5%,Defense,Sp. Atk,,,,,,
Palafin Zero Form,108,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Palafin Zero Form,108,stat_alignment,10,Hardy,0.1%,,,,,,,,
Palafin Zero Form,108,stat_points,1,,24.8%,,,2,32,0,0,0,32
Palafin Zero Form,108,stat_points,2,,23.6%,,,32,32,0,0,0,2
Palafin Zero Form,108,stat_points,3,,5.0%,,,32,32,0,0,2,0
Palafin Zero Form,108,stat_points,4,,4.6%,,,0,32,2,0,0,32
Palafin Zero Form,108,stat_points,5,,3.6%,,,0,32,0,0,2,32
Palafin Zero Form,108,stat_points,6,,3.2%,,,32,32,2,0,0,0
Palafin Zero Form,108,stat_points,7,,2.5%,,,0,32,0,0,0,32
Palafin Zero Form,108,stat_points,8,,1.5%,,,32,20,0,0,3,11
Palafin Zero Form,108,stat_points,9,,1.0%,,,32,20,0,0,14,0
Palafin Zero Form,108,stat_points,10,,0.9%,,,2,32,32,0,0,0
Palafin Zero Form,108,stat_points,11,,0.9%,,,26,32,0,0,0,8
Palafin Zero Form,108,stat_points,12,,0.8%,,,22,32,0,0,0,12
Palafin Zero Form,108,ability,1,Zero to Hero,100.0%,,,,,,,,
