pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Aqua Breed,134,move,1,Protect,79.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,2,Close Combat,79.0%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,3,Aqua Jet,70.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,4,Raging Bull,56.0%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,5,Wave Crash,34.1%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,6,Rock Slide,26.8%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,7,Earthquake,18.9%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,8,Wild Charge,8.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,9,High Horsepower,5.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,move,10,Iron Head,4.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,1,White Herb,20.7%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,2,Life Orb,20.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,3,Mystic Water,11.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,4,Sitrus Berry,11.3%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,5,Choice Scarf,7.3%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,6,Focus Sash,4.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,7,Soft Sand,4.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,8,Expert Belt,3.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,9,Muscle Band,2.5%,,,,,,,,
Paldean Tauros Aqua Breed,134,held_item,10,Leftovers,2.2%,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,1,Whimsicott,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,2,Farigiraf,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,3,Raichu,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,4,Sinistcha,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,5,Garchomp,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,6,Pinsir,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,7,Talonflame,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,8,Metagross,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,9,Froslass,,,,,,,,,
Paldean Tauros Aqua Breed,134,teammate,10,Archaludon,,,,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,1,Adamant,62.2%,Attack,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,2,Jolly,29.8%,Speed,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,3,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,4,Naughty,1.7%,Attack,Sp. Def,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,5,Impish,1.6%,Defense,Sp. Atk,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,6,Brave,1.0%,Attack,Speed,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,7,Lonely,0.5%,Attack,Defense,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,8,Naive,0.4%,Speed,Sp. Def,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,9,Timid,0.3%,Speed,Attack,,,,,,
Paldean Tauros Aqua Breed,134,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Paldean Tauros Aqua Breed,134,stat_points,1,,32.4%,,,2,32,0,0,0,32
Paldean Tauros Aqua Breed,134,stat_points,2,,7.9%,,,5,32,0,0,0,29
Paldean Tauros Aqua Breed,134,stat_points,3,,6.4%,,,0,32,0,0,2,32
Paldean Tauros Aqua Breed,134,stat_points,4,,5.2%,,,0,32,2,0,0,32
Paldean Tauros Aqua Breed,134,stat_points,5,,4.2%,,,1,32,9,0,0,24
Paldean Tauros Aqua Breed,134,stat_points,6,,2.6%,,,32,32,0,0,2,0
Paldean Tauros Aqua Breed,134,stat_points,7,,1.8%,,,10,32,0,0,0,24
Paldean Tauros Aqua Breed,134,stat_points,8,,1.6%,,,32,32,0,0,0,2
Paldean Tauros Aqua Breed,134,stat_points,9,,1.3%,,,32,32,2,0,0,0
Paldean Tauros Aqua Breed,134,stat_points,10,,1.2%,,,13,32,0,0,0,21
Paldean Tauros Aqua Breed,134,stat_points,11,,1.2%,,,21,32,0,0,0,13
Paldean Tauros Aqua Breed,134,stat_points,12,,1.1%,,,1,32,0,0,1,32
Paldean Tauros Aqua Breed,134,ability,1,Intimidate,77.0%,,,,,,,,
Paldean Tauros Aqua Breed,134,ability,2,Anger Point,20.6%,,,,,,,,
Paldean Tauros Aqua Breed,134,ability,3,Cud Chew,2.3%,,,,,,,,
