pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Blaze Breed,170,move,1,Raging Bull,85.2%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,2,Close Combat,84.6%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,3,Protect,64.5%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,4,Rock Slide,47.6%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,5,Wild Charge,21.6%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,6,Flare Blitz,17.3%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,7,Earthquake,11.5%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,8,High Horsepower,10.7%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,9,Will-O-Wisp,0.0%,,,,,,,,
Paldean Tauros Blaze Breed,170,move,10,Iron Head,,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,1,Life Orb,19.2%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,2,Sitrus Berry,18.7%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,3,White Herb,15.7%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,4,Choice Scarf,13.1%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,5,Leftovers,9.4%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,6,Focus Sash,4.5%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,7,Expert Belt,4.1%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,8,Muscle Band,3.1%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,9,King's Rock,1.9%,,,,,,,,
Paldean Tauros Blaze Breed,170,held_item,10,Shuca Berry,1.8%,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,1,Whimsicott,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,2,Sinistcha,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,3,Raichu,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,4,Meowscarada,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,5,Froslass,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,6,Grimmsnarl,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,7,Charizard,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,8,Garchomp,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,9,Basculegion Male,,,,,,,,,
Paldean Tauros Blaze Breed,170,teammate,10,Farigiraf,,,,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,1,Adamant,44.1%,Attack,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,2,Jolly,43.1%,Speed,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,3,Careful,5.1%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,4,Impish,3.4%,Defense,Sp. Atk,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,5,Naughty,1.2%,Attack,Sp. Def,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,6,Hasty,1.1%,Speed,Defense,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,7,Brave,1.0%,Attack,Speed,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,8,Naive,0.6%,Speed,Sp. Def,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Paldean Tauros Blaze Breed,170,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Paldean Tauros Blaze Breed,170,stat_points,1,,33.4%,,,2,32,0,0,0,32
Paldean Tauros Blaze Breed,170,stat_points,2,,12.1%,,,0,32,2,0,0,32
Paldean Tauros Blaze Breed,170,stat_points,3,,8.3%,,,0,32,0,0,2,32
Paldean Tauros Blaze Breed,170,stat_points,4,,4.5%,,,0,32,0,0,0,32
Paldean Tauros Blaze Breed,170,stat_points,5,,1.9%,,,1,32,1,0,0,32
Paldean Tauros Blaze Breed,170,stat_points,6,,1.7%,,,32,32,0,0,0,2
Paldean Tauros Blaze Breed,170,stat_points,7,,1.3%,,,32,32,0,0,2,0
Paldean Tauros Blaze Breed,170,stat_points,8,,1.2%,,,31,0,3,0,32,0
Paldean Tauros Blaze Breed,170,stat_points,9,,1.0%,,,32,32,2,0,0,0
Paldean Tauros Blaze Breed,170,stat_points,10,,1.0%,,,22,0,0,0,30,14
Paldean Tauros Blaze Breed,170,stat_points,11,,0.9%,,,32,0,4,0,30,0
Paldean Tauros Blaze Breed,170,stat_points,12,,0.9%,,,32,0,5,0,29,0
Paldean Tauros Blaze Breed,170,ability,1,Intimidate,72.4%,,,,,,,,
Paldean Tauros Blaze Breed,170,ability,2,Anger Point,22.4%,,,,,,,,
Paldean Tauros Blaze Breed,170,ability,3,Cud Chew,5.3%,,,,,,,,
