pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Paldean Tauros Combat Breed,226,move,1,Raging Bull,76.8%,,,,,,,,
Paldean Tauros Combat Breed,226,move,2,Protect,66.9%,,,,,,,,
Paldean Tauros Combat Breed,226,move,3,Rock Slide,46.5%,,,,,,,,
Paldean Tauros Combat Breed,226,move,4,Close Combat,33.8%,,,,,,,,
Paldean Tauros Combat Breed,226,move,5,Earthquake,31.3%,,,,,,,,
Paldean Tauros Combat Breed,226,move,6,Iron Head,29.8%,,,,,,,,
Paldean Tauros Combat Breed,226,move,7,Throat Chop,24.2%,,,,,,,,
Paldean Tauros Combat Breed,226,move,8,High Horsepower,15.4%,,,,,,,,
Paldean Tauros Combat Breed,226,move,9,Body Press,9.7%,,,,,,,,
Paldean Tauros Combat Breed,226,move,10,Drill Run,6.9%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,1,Life Orb,24.0%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,2,Sitrus Berry,23.1%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,3,Expert Belt,10.0%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,4,White Herb,8.0%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,5,Choice Scarf,6.8%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,6,Leftovers,4.4%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,7,Bright Powder,4.3%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,8,Soft Sand,3.9%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,9,Shell Bell,3.8%,,,,,,,,
Paldean Tauros Combat Breed,226,held_item,10,Coba Berry,2.0%,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,1,Whimsicott,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,2,Farigiraf,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,3,Charizard,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,4,Sylveon,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,5,Raichu,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,6,Basculegion Male,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,7,Dragonite,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,8,Delphox,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,9,Gardevoir,,,,,,,,,
Paldean Tauros Combat Breed,226,teammate,10,Aerodactyl,,,,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,1,Adamant,48.5%,Attack,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,2,Jolly,28.8%,Speed,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,3,Impish,6.6%,Defense,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,4,Naughty,5.7%,Attack,Sp. Def,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,5,Careful,4.5%,Sp. Def,Sp. Atk,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,6,Brave,3.6%,Attack,Speed,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,7,Lonely,1.0%,Attack,Defense,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,8,Relaxed,0.6%,Defense,Speed,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,9,Bold,0.5%,Defense,Attack,,,,,,
Paldean Tauros Combat Breed,226,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Paldean Tauros Combat Breed,226,stat_points,1,,19.7%,,,2,32,0,0,0,32
Paldean Tauros Combat Breed,226,stat_points,2,,6.1%,,,0,32,0,0,2,32
Paldean Tauros Combat Breed,226,stat_points,3,,6.0%,,,32,32,0,0,0,2
Paldean Tauros Combat Breed,226,stat_points,4,,5.6%,,,5,32,0,0,0,29
Paldean Tauros Combat Breed,226,stat_points,5,,5.4%,,,14,32,0,0,0,20
Paldean Tauros Combat Breed,226,stat_points,6,,4.5%,,,0,32,2,0,0,32
Paldean Tauros Combat Breed,226,stat_points,7,,4.2%,,,22,32,0,0,11,1
Paldean Tauros Combat Breed,226,stat_points,8,,3.9%,,,0,32,2,0,32,0
Paldean Tauros Combat Breed,226,stat_points,9,,3.5%,,,31,3,32,0,0,0
Paldean Tauros Combat Breed,226,stat_points,10,,3.1%,,,4,32,0,0,20,10
Paldean Tauros Combat Breed,226,stat_points,11,,2.7%,,,21,32,0,0,0,13
Paldean Tauros Combat Breed,226,stat_points,12,,2.5%,,,0,25,25,0,0,16
Paldean Tauros Combat Breed,226,ability,1,Intimidate,62.1%,,,,,,,,
Paldean Tauros Combat Breed,226,ability,2,Anger Point,28.0%,,,,,,,,
Paldean Tauros Combat Breed,226,ability,3,Cud Chew,9.9%,,,,,,,,
