pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pangoro,195,move,1,Darkest Lariat,45.6%,,,,,,,,
Pangoro,195,move,2,Knock Off,42.6%,,,,,,,,
Pangoro,195,move,3,Protect,39.1%,,,,,,,,
Pangoro,195,move,4,Close Combat,38.8%,,,,,,,,
Pangoro,195,move,5,Drain Punch,30.3%,,,,,,,,
Pangoro,195,move,6,Bullet Punch,29.3%,,,,,,,,
Pangoro,195,move,7,Ice Punch,24.3%,,,,,,,,
Pangoro,195,move,8,Storm Throw,16.7%,,,,,,,,
Pangoro,195,move,9,Parting Shot,16.7%,,,,,,,,
Pangoro,195,move,10,Thunder Punch,16.6%,,,,,,,,
Pangoro,195,held_item,1,Life Orb,24.0%,,,,,,,,
Pangoro,195,held_item,2,Focus Sash,15.7%,,,,,,,,
Pangoro,195,held_item,3,Expert Belt,10.6%,,,,,,,,
Pangoro,195,held_item,4,Black Belt,9.7%,,,,,,,,
Pangoro,195,held_item,5,Roseli Berry,7.9%,,,,,,,,
Pangoro,195,held_item,6,Muscle Band,5.8%,,,,,,,,
Pangoro,195,held_item,7,Chople Berry,3.9%,,,,,,,,
Pangoro,195,held_item,8,Quick Claw,3.8%,,,,,,,,
Pangoro,195,held_item,9,Big Root,3.4%,,,,,,,,
Pangoro,195,held_item,10,Sitrus Berry,2.8%,,,,,,,,
Pangoro,195,teammate,1,Farigiraf,,,,,,,,,
Pangoro,195,teammate,2,Sinistcha,,,,,,,,,
Pangoro,195,teammate,3,Mawile,,,,,,,,,
Pangoro,195,teammate,4,Incineroar,,,,,,,,,
Pangoro,195,teammate,5,Milotic,,,,,,,,,
Pangoro,195,teammate,6,Torkoal,,,,,,,,,
Pangoro,195,teammate,7,Whimsicott,,,,,,,,,
Pangoro,195,teammate,8,Charizard,,,,,,,,,
Pangoro,195,teammate,9,Hatterene,,,,,,,,,
Pangoro,195,teammate,10,Galarian Slowking,,,,,,,,,
Pangoro,195,stat_alignment,1,Adamant,45.3%,Attack,Sp. Atk,,,,,,
Pangoro,195,stat_alignment,2,Brave,44.0%,Attack,Speed,,,,,,
Pangoro,195,stat_alignment,3,Naughty,3.3%,Attack,Sp. Def,,,,,,
Pangoro,195,stat_alignment,4,Jolly,2.4%,Speed,Sp. Atk,,,,,,
Pangoro,195,stat_alignment,5,Careful,2.2%,Sp. Def,Sp. Atk,,,,,,
Pangoro,195,stat_alignment,6,Impish,1.7%,Defense,Sp. Atk,,,,,,
Pangoro,195,stat_alignment,7,Lonely,0.3%,Attack,Defense,,,,,,
Pangoro,195,stat_alignment,8,Serious,0.3%,,,,,,,,
Pangoro,195,stat_alignment,9,Sassy,0.3%,Sp. Def,Speed,,,,,,
Pangoro,195,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Pangoro,195,stat_points,1,,15.9%,,,32,32,2,0,0,0
Pangoro,195,stat_points,2,,14.7%,,,32,32,0,0,2,0
Pangoro,195,stat_points,3,,5.7%,,,2,32,0,0,0,32
Pangoro,195,stat_points,4,,5.2%,,,32,32,0,0,0,0
Pangoro,195,stat_points,5,,4.7%,,,2,32,32,0,0,0
Pangoro,195,stat_points,6,,4.1%,,,0,32,2,0,32,0
Pangoro,195,stat_points,7,,3.5%,,,30,32,0,0,0,4
Pangoro,195,stat_points,8,,2.9%,,,20,32,5,0,9,0
Pangoro,195,stat_points,9,,2.6%,,,0,32,1,0,0,32
Pangoro,195,stat_points,10,,1.9%,,,0,32,0,0,2,32
Pangoro,195,stat_points,11,,1.8%,,,23,32,2,0,9,0
Pangoro,195,stat_points,12,,1.7%,,,2,32,0,0,32,0
Pangoro,195,ability,1,Scrappy,66.1%,,,,,,,,
Pangoro,195,ability,2,Iron Fist,26.9%,,,,,,,,
Pangoro,195,ability,3,Mold Breaker,7.0%,,,,,,,,
