pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Passimian,213,move,1,Rock Slide,53.9%,,,,,,,,
Passimian,213,move,2,Protect,49.1%,,,,,,,,
Passimian,213,move,3,Close Combat,48.5%,,,,,,,,
Passimian,213,move,4,Drain Punch,46.8%,,,,,,,,
Passimian,213,move,5,Knock Off,46.6%,,,,,,,,
Passimian,213,move,6,Earthquake,30.4%,,,,,,,,
Passimian,213,move,7,U-turn,12.7%,,,,,,,,
Passimian,213,move,8,Iron Head,11.3%,,,,,,,,
Passimian,213,move,9,Feint,10.5%,,,,,,,,
Passimian,213,move,10,Brick Break,10.4%,,,,,,,,
Passimian,213,held_item,1,Choice Scarf,16.9%,,,,,,,,
Passimian,213,held_item,2,Life Orb,14.7%,,,,,,,,
Passimian,213,held_item,3,Sitrus Berry,10.5%,,,,,,,,
Passimian,213,held_item,4,White Herb,9.1%,,,,,,,,
Passimian,213,held_item,5,Focus Sash,8.7%,,,,,,,,
Passimian,213,held_item,6,Quick Claw,8.4%,,,,,,,,
Passimian,213,held_item,7,Shell Bell,8.2%,,,,,,,,
Passimian,213,held_item,8,Black Belt,3.9%,,,,,,,,
Passimian,213,held_item,9,Leftovers,3.4%,,,,,,,,
Passimian,213,held_item,10,Wide Lens,3.3%,,,,,,,,
Passimian,213,teammate,1,Whimsicott,,,,,,,,,
Passimian,213,teammate,2,Raichu,,,,,,,,,
Passimian,213,teammate,3,Sinistcha,,,,,,,,,
Passimian,213,teammate,4,Glimmora,,,,,,,,,
Passimian,213,teammate,5,Starmie,,,,,,,,,
Passimian,213,teammate,6,Farigiraf,,,,,,,,,
Passimian,213,teammate,7,Hydreigon,,,,,,,,,
Passimian,213,teammate,8,Sneasler,,,,,,,,,
Passimian,213,teammate,9,Hisuian Zoroark,,,,,,,,,
Passimian,213,teammate,10,Staraptor,,,,,,,,,
Passimian,213,stat_alignment,1,Jolly,39.6%,Speed,Sp. Atk,,,,,,
Passimian,213,stat_alignment,2,Adamant,39.4%,Attack,Sp. Atk,,,,,,
Passimian,213,stat_alignment,3,Careful,9.6%,Sp. Def,Sp. Atk,,,,,,
Passimian,213,stat_alignment,4,Brave,7.1%,Attack,Speed,,,,,,
Passimian,213,stat_alignment,5,Impish,2.2%,Defense,Sp. Atk,,,,,,
Passimian,213,stat_alignment,6,Lonely,1.1%,Attack,Defense,,,,,,
Passimian,213,stat_alignment,7,Naive,0.4%,Speed,Sp. Def,,,,,,
Passimian,213,stat_alignment,8,Lax,0.3%,Defense,Sp. Def,,,,,,
Passimian,213,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Passimian,213,stat_alignment,10,Relaxed,0.2%,Defense,Speed,,,,,,
Passimian,213,stat_points,1,,23.5%,,,2,32,0,0,0,32
Passimian,213,stat_points,2,,14.6%,,,0,32,2,0,0,32
Passimian,213,stat_points,3,,11.0%,,,32,32,2,0,0,0
Passimian,213,stat_points,4,,8.5%,,,0,32,2,0,32,0
Passimian,213,stat_points,5,,6.2%,,,0,32,0,0,0,32
Passimian,213,stat_points,6,,5.1%,,,0,32,0,0,2,32
Passimian,213,stat_points,7,,4.0%,,,32,32,0,0,0,2
Passimian,213,stat_points,8,,2.9%,,,30,24,0,0,0,12
Passimian,213,stat_points,9,,2.5%,,,32,32,0,0,2,0
Passimian,213,stat_points,10,,2.4%,,,25,31,0,0,0,10
Passimian,213,stat_points,11,,1.5%,,,32,0,32,0,2,0
Passimian,213,stat_points,12,,1.5%,,,12,32,2,0,10,10
Passimian,213,ability,1,Defiant,64.5%,,,,,,,,
Passimian,213,ability,2,Receiver,35.5%,,,,,,,,
