pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pidgeot,193,move,1,Hurricane,97.9%,,,,,,,,
Pidgeot,193,move,2,Heat Wave,89.4%,,,,,,,,
Pidgeot,193,move,3,Protect,84.3%,,,,,,,,
Pidgeot,193,move,4,Tailwind,48.0%,,,,,,,,
Pidgeot,193,move,5,Hyper Beam,24.2%,,,,,,,,
Pidgeot,193,move,6,U-turn,17.4%,,,,,,,,
Pidgeot,193,move,7,Roost,9.0%,,,,,,,,
Pidgeot,193,move,8,Feather Dance,6.6%,,,,,,,,
Pidgeot,193,move,9,Round,4.8%,,,,,,,,
Pidgeot,193,move,10,Rain Dance,3.6%,,,,,,,,
Pidgeot,193,held_item,1,Pidgeotite,95.7%,,,,,,,,
Pidgeot,193,held_item,2,Leftovers,0.8%,,,,,,,,
Pidgeot,193,held_item,3,Focus Sash,0.8%,,,,,,,,
Pidgeot,193,held_item,4,Sitrus Berry,0.6%,,,,,,,,
Pidgeot,193,held_item,5,Life Orb,0.6%,,,,,,,,
Pidgeot,193,held_item,6,Sharp Beak,0.3%,,,,,,,,
Pidgeot,193,held_item,7,Quick Claw,0.3%,,,,,,,,
Pidgeot,193,held_item,8,King's Rock,0.2%,,,,,,,,
Pidgeot,193,held_item,9,Wide Lens,0.1%,,,,,,,,
Pidgeot,193,held_item,10,Heat Rock,0.1%,,,,,,,,
Pidgeot,193,teammate,1,Garchomp,,,,,,,,,
Pidgeot,193,teammate,2,Whimsicott,,,,,,,,,
Pidgeot,193,teammate,3,Sinistcha,,,,,,,,,
Pidgeot,193,teammate,4,Sneasler,,,,,,,,,
Pidgeot,193,teammate,5,Sylveon,,,,,,,,,
Pidgeot,193,teammate,6,Tsareena,,,,,,,,,
Pidgeot,193,teammate,7,Rotom Wash,,,,,,,,,
Pidgeot,193,teammate,8,Sableye,,,,,,,,,
Pidgeot,193,teammate,9,Excadrill,,,,,,,,,
Pidgeot,193,teammate,10,Basculegion Male,,,,,,,,,
Pidgeot,193,stat_alignment,1,Timid,60.5%,Speed,Attack,,,,,,
Pidgeot,193,stat_alignment,2,Modest,33.8%,Sp. Atk,Attack,,,,,,
Pidgeot,193,stat_alignment,3,Jolly,2.8%,Speed,Sp. Atk,,,,,,
Pidgeot,193,stat_alignment,4,Bold,1.0%,Defense,Attack,,,,,,
Pidgeot,193,stat_alignment,5,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Pidgeot,193,stat_alignment,6,Hasty,0.5%,Speed,Defense,,,,,,
Pidgeot,193,stat_alignment,7,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Pidgeot,193,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Pidgeot,193,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Pidgeot,193,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Pidgeot,193,stat_points,1,,41.2%,,,2,0,0,32,0,32
Pidgeot,193,stat_points,2,,9.3%,,,0,0,0,32,2,32
Pidgeot,193,stat_points,3,,9.3%,,,0,0,2,32,0,32
Pidgeot,193,stat_points,4,,6.1%,,,1,0,1,32,0,32
Pidgeot,193,stat_points,5,,4.3%,,,32,0,0,32,0,2
Pidgeot,193,stat_points,6,,3.8%,,,32,0,0,0,2,32
Pidgeot,193,stat_points,7,,2.4%,,,32,0,2,32,0,0
Pidgeot,193,stat_points,8,,1.8%,,,1,0,0,32,1,32
Pidgeot,193,stat_points,9,,1.6%,,,32,2,0,0,0,32
Pidgeot,193,stat_points,10,,1.5%,,,3,0,5,29,10,19
Pidgeot,193,stat_points,11,,1.3%,,,0,0,1,32,1,32
Pidgeot,193,stat_points,12,,1.3%,,,0,0,0,32,0,32
Pidgeot,193,ability,1,Big Pecks,54.8%,,,,,,,,
Pidgeot,193,ability,2,Keen Eye,33.4%,,,,,,,,
Pidgeot,193,ability,3,Tangled Feet,11.8%,,,,,,,,
