pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pikachu,174,move,1,Fake Out,83.4%,,,,,,,,
Pikachu,174,move,2,Protect,61.1%,,,,,,,,
Pikachu,174,move,3,Grass Knot,33.7%,,,,,,,,
Pikachu,174,move,4,Volt Tackle,27.5%,,,,,,,,
Pikachu,174,move,5,Rising Voltage,26.2%,,,,,,,,
Pikachu,174,move,6,Thunderbolt,23.7%,,,,,,,,
Pikachu,174,move,7,Volt Switch,18.3%,,,,,,,,
Pikachu,174,move,8,Discharge,12.1%,,,,,,,,
Pikachu,174,move,9,Alluring Voice,12.0%,,,,,,,,
Pikachu,174,move,10,Thunder,11.9%,,,,,,,,
Pikachu,174,held_item,1,Light Ball,86.3%,,,,,,,,
Pikachu,174,held_item,2,Focus Sash,8.3%,,,,,,,,
Pikachu,174,held_item,3,Choice Scarf,1.8%,,,,,,,,
Pikachu,174,held_item,4,Shuca Berry,1.6%,,,,,,,,
Pikachu,174,held_item,5,Sitrus Berry,0.4%,,,,,,,,
Pikachu,174,held_item,6,Raichunite Y,0.2%,,,,,,,,
Pikachu,174,held_item,7,Magnet,0.1%,,,,,,,,
Pikachu,174,held_item,8,Life Orb,0.1%,,,,,,,,
Pikachu,174,held_item,9,Focus Band,0.1%,,,,,,,,
Pikachu,174,held_item,10,Quick Claw,0.1%,,,,,,,,
Pikachu,174,teammate,1,Raichu,,,,,,,,,
Pikachu,174,teammate,2,Pelipper,,,,,,,,,
Pikachu,174,teammate,3,Charizard,,,,,,,,,
Pikachu,174,teammate,4,Sinistcha,,,,,,,,,
Pikachu,174,teammate,5,Garchomp,,,,,,,,,
Pikachu,174,teammate,6,Whimsicott,,,,,,,,,
Pikachu,174,teammate,7,Incineroar,,,,,,,,,
Pikachu,174,teammate,8,Archaludon,,,,,,,,,
Pikachu,174,teammate,9,Basculegion Male,,,,,,,,,
Pikachu,174,teammate,10,Swampert,,,,,,,,,
Pikachu,174,stat_alignment,1,Timid,43.2%,Speed,Attack,,,,,,
Pikachu,174,stat_alignment,2,Modest,15.3%,Sp. Atk,Attack,,,,,,
Pikachu,174,stat_alignment,3,Jolly,14.8%,Speed,Sp. Atk,,,,,,
Pikachu,174,stat_alignment,4,Adamant,7.1%,Attack,Sp. Atk,,,,,,
Pikachu,174,stat_alignment,5,Hasty,5.7%,Speed,Defense,,,,,,
Pikachu,174,stat_alignment,6,Naive,5.4%,Speed,Sp. Def,,,,,,
Pikachu,174,stat_alignment,7,Mild,2.3%,Sp. Atk,Defense,,,,,,
Pikachu,174,stat_alignment,8,Quiet,1.4%,Sp. Atk,Speed,,,,,,
Pikachu,174,stat_alignment,9,Lonely,1.4%,Attack,Defense,,,,,,
Pikachu,174,stat_alignment,10,Rash,1.3%,Sp. Atk,Sp. Def,,,,,,
Pikachu,174,stat_points,1,,37.8%,,,2,0,0,32,0,32
Pikachu,174,stat_points,2,,10.5%,,,2,32,0,0,0,32
Pikachu,174,stat_points,3,,6.1%,,,1,0,0,32,1,32
Pikachu,174,stat_points,4,,5.7%,,,0,0,2,32,0,32
Pikachu,174,stat_points,5,,3.6%,,,0,2,0,32,0,32
Pikachu,174,stat_points,6,,3.3%,,,0,0,0,32,0,32
Pikachu,174,stat_points,7,,2.3%,,,0,0,0,32,2,32
Pikachu,174,stat_points,8,,2.2%,,,0,32,1,0,1,32
Pikachu,174,stat_points,9,,1.7%,,,0,32,1,0,0,32
Pikachu,174,stat_points,10,,1.7%,,,0,0,1,32,1,32
Pikachu,174,stat_points,11,,1.6%,,,0,25,0,30,0,11
Pikachu,174,stat_points,12,,1.5%,,,0,32,0,0,2,32
Pikachu,174,ability,1,Lightning Rod,91.7%,,,,,,,,
Pikachu,174,ability,2,Static,8.3%,,,,,,,,
