pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pinsir,183,move,1,Feint,72.7%,,,,,,,,
Pinsir,183,move,2,Storm Throw,63.5%,,,,,,,,
Pinsir,183,move,3,Protect,62.5%,,,,,,,,
Pinsir,183,move,4,Body Slam,56.6%,,,,,,,,
Pinsir,183,move,5,Detect,21.1%,,,,,,,,
Pinsir,183,move,6,Giga Impact,18.5%,,,,,,,,
Pinsir,183,move,7,Close Combat,15.9%,,,,,,,,
Pinsir,183,move,8,Quick Attack,15.8%,,,,,,,,
Pinsir,183,move,9,X-Scissor,14.1%,,,,,,,,
Pinsir,183,move,10,Lunge,11.9%,,,,,,,,
Pinsir,183,held_item,1,Pinsirite,94.9%,,,,,,,,
Pinsir,183,held_item,2,Expert Belt,2.9%,,,,,,,,
Pinsir,183,held_item,3,Quick Claw,0.6%,,,,,,,,
Pinsir,183,held_item,4,Focus Sash,0.4%,,,,,,,,
Pinsir,183,held_item,5,Choice Scarf,0.4%,,,,,,,,
Pinsir,183,held_item,6,Lum Berry,0.2%,,,,,,,,
Pinsir,183,held_item,7,Charti Berry,0.1%,,,,,,,,
Pinsir,183,held_item,8,Life Orb,0.1%,,,,,,,,
Pinsir,183,held_item,9,Heracronite,0.1%,,,,,,,,
Pinsir,183,held_item,10,Sitrus Berry,0.1%,,,,,,,,
Pinsir,183,teammate,1,Paldean Tauros Aqua Breed,,,,,,,,,
Pinsir,183,teammate,2,Farigiraf,,,,,,,,,
Pinsir,183,teammate,3,Whimsicott,,,,,,,,,
Pinsir,183,teammate,4,Talonflame,,,,,,,,,
Pinsir,183,teammate,5,Vanilluxe,,,,,,,,,
Pinsir,183,teammate,6,Blastoise,,,,,,,,,
Pinsir,183,teammate,7,Metagross,,,,,,,,,
Pinsir,183,teammate,8,Camerupt,,,,,,,,,
Pinsir,183,teammate,9,Garganacl,,,,,,,,,
Pinsir,183,teammate,10,Garchomp,,,,,,,,,
Pinsir,183,stat_alignment,1,Jolly,70.1%,Speed,Sp. Atk,,,,,,
Pinsir,183,stat_alignment,2,Adamant,20.0%,Attack,Sp. Atk,,,,,,
Pinsir,183,stat_alignment,3,Brave,3.1%,Attack,Speed,,,,,,
Pinsir,183,stat_alignment,4,Timid,1.8%,Speed,Attack,,,,,,
Pinsir,183,stat_alignment,5,Hasty,1.3%,Speed,Defense,,,,,,
Pinsir,183,stat_alignment,6,Naive,1.0%,Speed,Sp. Def,,,,,,
Pinsir,183,stat_alignment,7,Relaxed,1.0%,Defense,Speed,,,,,,
Pinsir,183,stat_alignment,8,Naughty,0.5%,Attack,Sp. Def,,,,,,
Pinsir,183,stat_alignment,9,Impish,0.5%,Defense,Sp. Atk,,,,,,
Pinsir,183,stat_alignment,10,Calm,0.2%,Sp. Def,Attack,,,,,,
Pinsir,183,stat_points,1,,25.9%,,,2,32,0,0,0,32
Pinsir,183,stat_points,2,,21.4%,,,32,0,2,0,0,32
Pinsir,183,stat_points,3,,12.5%,,,1,32,1,0,0,32
Pinsir,183,stat_points,4,,7.9%,,,0,32,2,0,0,32
Pinsir,183,stat_points,5,,3.0%,,,17,32,0,0,17,0
Pinsir,183,stat_points,6,,2.8%,,,0,32,0,0,2,32
Pinsir,183,stat_points,7,,2.2%,,,32,2,0,0,0,32
Pinsir,183,stat_points,8,,1.7%,,,31,0,2,0,1,32
Pinsir,183,stat_points,9,,1.6%,,,17,17,0,0,0,32
Pinsir,183,stat_points,10,,1.5%,,,29,3,0,0,2,32
Pinsir,183,stat_points,11,,1.3%,,,1,32,0,0,1,32
Pinsir,183,stat_points,12,,1.2%,,,0,32,0,0,0,32
Pinsir,183,ability,1,Aerilate,81.3%,,,,,,,,
Pinsir,183,ability,2,Moxie,10.9%,,,,,,,,
Pinsir,183,ability,3,Mold Breaker,7.8%,,,,,,,,
