pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Politoed,44,move,1,Protect,83.9%,,,,,,,,
Politoed,44,move,2,Waterfall,81.2%,,,,,,,,
Politoed,44,move,3,Perish Song,48.0%,,,,,,,,
Politoed,44,move,4,Ice Beam,33.5%,,,,,,,,
Politoed,44,move,5,Muddy Water,32.9%,,,,,,,,
Politoed,44,move,6,Encore,25.1%,,,,,,,,
Politoed,44,move,7,Icy Wind,18.6%,,,,,,,,
Politoed,44,move,8,Helping Hand,17.3%,,,,,,,,
Politoed,44,move,9,Hypnosis,14.8%,,,,,,,,
Politoed,44,move,10,Rain Dance,1.4%,,,,,,,,
Politoed,44,held_item,1,Sitrus Berry,47.4%,,,,,,,,
Politoed,44,held_item,2,Damp Rock,10.8%,,,,,,,,
Politoed,44,held_item,3,Leftovers,10.0%,,,,,,,,
Politoed,44,held_item,4,Mystic Water,8.9%,,,,,,,,
Politoed,44,held_item,5,Rindo Berry,5.0%,,,,,,,,
Politoed,44,held_item,6,Choice Scarf,3.3%,,,,,,,,
Politoed,44,held_item,7,Bright Powder,2.6%,,,,,,,,
Politoed,44,held_item,8,Focus Sash,2.1%,,,,,,,,
Politoed,44,held_item,9,Life Orb,2.0%,,,,,,,,
Politoed,44,held_item,10,Quick Claw,1.5%,,,,,,,,
Politoed,44,teammate,1,Archaludon,,,,,,,,,
Politoed,44,teammate,2,Sinistcha,,,,,,,,,
Politoed,44,teammate,3,Incineroar,,,,,,,,,
Politoed,44,teammate,4,Gengar,,,,,,,,,
Politoed,44,teammate,5,Swampert,,,,,,,,,
Politoed,44,teammate,6,Basculegion Male,,,,,,,,,
Politoed,44,teammate,7,Whimsicott,,,,,,,,,
Politoed,44,teammate,8,Sneasler,,,,,,,,,
Politoed,44,teammate,9,Sableye,,,,,,,,,
Politoed,44,teammate,10,Dragonite,,,,,,,,,
Politoed,44,stat_alignment,1,Calm,33.6%,Sp. Def,Attack,,,,,,
Politoed,44,stat_alignment,2,Modest,26.2%,Sp. Atk,Attack,,,,,,
Politoed,44,stat_alignment,3,Bold,19.9%,Defense,Attack,,,,,,
Politoed,44,stat_alignment,4,Quiet,7.1%,Sp. Atk,Speed,,,,,,
Politoed,44,stat_alignment,5,Timid,6.6%,Speed,Attack,,,,,,
Politoed,44,stat_alignment,6,Sassy,2.8%,Sp. Def,Speed,,,,,,
Politoed,44,stat_alignment,7,Relaxed,2.5%,Defense,Speed,,,,,,
Politoed,44,stat_alignment,8,Mild,0.6%,Sp. Atk,Defense,,,,,,
Politoed,44,stat_alignment,9,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Politoed,44,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Politoed,44,stat_points,1,,9.9%,,,31,0,23,0,12,0
Politoed,44,stat_points,2,,7.7%,,,32,0,2,32,0,0
Politoed,44,stat_points,3,,6.1%,,,32,0,11,0,20,3
Politoed,44,stat_points,4,,5.9%,,,32,0,25,0,9,0
Politoed,44,stat_points,5,,4.4%,,,32,0,32,0,2,0
Politoed,44,stat_points,6,,2.8%,,,2,0,0,32,0,32
Politoed,44,stat_points,7,,2.8%,,,32,0,0,32,2,0
Politoed,44,stat_points,8,,2.2%,,,23,0,12,30,0,1
Politoed,44,stat_points,9,,2.1%,,,32,0,0,32,0,2
Politoed,44,stat_points,10,,1.6%,,,0,0,2,32,0,32
Politoed,44,stat_points,11,,1.5%,,,2,0,0,32,32,0
Politoed,44,stat_points,12,,1.5%,,,32,0,24,0,10,0
Politoed,44,ability,1,Drizzle,99.3%,,,,,,,,
Politoed,44,ability,2,Water Absorb,0.5%,,,,,,,,
Politoed,44,ability,3,Damp,0.2%,,,,,,,,
