pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Primarina,39,move,1,Hyper Voice,94.6%,,,,,,,,
Primarina,39,move,2,Protect,87.8%,,,,,,,,
Primarina,39,move,3,Moonblast,73.0%,,,,,,,,
Primarina,39,move,4,Calm Mind,34.9%,,,,,,,,
Primarina,39,move,5,Dazzling Gleam,26.9%,,,,,,,,
Primarina,39,move,6,Ice Beam,14.1%,,,,,,,,
Primarina,39,move,7,Energy Ball,12.2%,,,,,,,,
Primarina,39,move,8,Icy Wind,5.9%,,,,,,,,
Primarina,39,move,9,Aqua Jet,5.6%,,,,,,,,
Primarina,39,move,10,Haze,4.3%,,,,,,,,
Primarina,39,held_item,1,Life Orb,34.7%,,,,,,,,
Primarina,39,held_item,2,Leftovers,22.5%,,,,,,,,
Primarina,39,held_item,3,Mystic Water,17.5%,,,,,,,,
Primarina,39,held_item,4,Sitrus Berry,11.1%,,,,,,,,
Primarina,39,held_item,5,Fairy Feather,4.0%,,,,,,,,
Primarina,39,held_item,6,Wise Glasses,1.8%,,,,,,,,
Primarina,39,held_item,7,Quick Claw,1.6%,,,,,,,,
Primarina,39,held_item,8,Choice Scarf,1.1%,,,,,,,,
Primarina,39,held_item,9,Kebia Berry,0.9%,,,,,,,,
Primarina,39,held_item,10,Expert Belt,0.8%,,,,,,,,
Primarina,39,teammate,1,Farigiraf,,,,,,,,,
Primarina,39,teammate,2,Kingambit,,,,,,,,,
Primarina,39,teammate,3,Sinistcha,,,,,,,,,
Primarina,39,teammate,4,Incineroar,,,,,,,,,
Primarina,39,teammate,5,Staraptor,,,,,,,,,
Primarina,39,teammate,6,Garchomp,,,,,,,,,
Primarina,39,teammate,7,Whimsicott,,,,,,,,,
Primarina,39,teammate,8,Sneasler,,,,,,,,,
Primarina,39,teammate,9,Mawile,,,,,,,,,
Primarina,39,teammate,10,Raichu,,,,,,,,,
Primarina,39,stat_alignment,1,Modest,58.2%,Sp. Atk,Attack,,,,,,
Primarina,39,stat_alignment,2,Quiet,29.9%,Sp. Atk,Speed,,,,,,
Primarina,39,stat_alignment,3,Bold,4.1%,Defense,Attack,,,,,,
Primarina,39,stat_alignment,4,Timid,2.4%,Speed,Attack,,,,,,
Primarina,39,stat_alignment,5,Calm,2.2%,Sp. Def,Attack,,,,,,
Primarina,39,stat_alignment,6,Relaxed,1.5%,Defense,Speed,,,,,,
Primarina,39,stat_alignment,7,Sassy,0.9%,Sp. Def,Speed,,,,,,
Primarina,39,stat_alignment,8,Mild,0.5%,Sp. Atk,Defense,,,,,,
Primarina,39,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,
Primarina,39,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Primarina,39,stat_points,1,,28.6%,,,32,0,2,32,0,0
Primarina,39,stat_points,2,,8.4%,,,32,0,0,32,2,0
Primarina,39,stat_points,3,,4.4%,,,32,0,0,32,0,2
Primarina,39,stat_points,4,,2.5%,,,21,0,24,14,0,7
Primarina,39,stat_points,5,,2.4%,,,2,0,0,32,32,0
Primarina,39,stat_points,6,,2.2%,,,2,0,0,32,0,32
Primarina,39,stat_points,7,,1.9%,,,2,0,32,32,0,0
Primarina,39,stat_points,8,,1.5%,,,0,0,2,32,32,0
Primarina,39,stat_points,9,,1.3%,,,0,0,32,32,2,0
Primarina,39,stat_points,10,,1.3%,,,23,0,14,24,0,5
Primarina,39,stat_points,11,,1.1%,,,32,0,0,32,0,0
Primarina,39,stat_points,12,,1.1%,,,32,0,10,24,0,0
Primarina,39,ability,1,Liquid Voice,95.8%,,,,,,,,
Primarina,39,ability,2,Torrent,4.2%,,,,,,,,
