pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Pyroar,40,move,1,Heat Wave,98.7%,,,,,,,,
Pyroar,40,move,2,Protect,98.3%,,,,,,,,
Pyroar,40,move,3,Overheat,81.0%,,,,,,,,
Pyroar,40,move,4,Solar Beam,59.4%,,,,,,,,
Pyroar,40,move,5,Flamethrower,13.4%,,,,,,,,
Pyroar,40,move,6,Hyper Voice,11.5%,,,,,,,,
Pyroar,40,move,7,Yawn,11.3%,,,,,,,,
Pyroar,40,move,8,Scorching Sands,6.2%,,,,,,,,
Pyroar,40,move,9,Round,4.1%,,,,,,,,
Pyroar,40,move,10,Dark Pulse,2.8%,,,,,,,,
Pyroar,40,held_item,1,Pyroarite,99.5%,,,,,,,,
Pyroar,40,held_item,2,Life Orb,0.1%,,,,,,,,
Pyroar,40,held_item,3,Charcoal,0.1%,,,,,,,,
Pyroar,40,held_item,4,Focus Sash,0.0%,,,,,,,,
Pyroar,40,held_item,5,Sitrus Berry,0.0%,,,,,,,,
Pyroar,40,held_item,6,Choice Scarf,0.0%,,,,,,,,
Pyroar,40,held_item,7,Leftovers,0.0%,,,,,,,,
Pyroar,40,held_item,8,Wise Glasses,0.0%,,,,,,,,
Pyroar,40,held_item,9,Heat Rock,0.0%,,,,,,,,
Pyroar,40,held_item,10,Bright Powder,0.0%,,,,,,,,
Pyroar,40,teammate,1,Farigiraf,,,,,,,,,
Pyroar,40,teammate,2,Whimsicott,,,,,,,,,
Pyroar,40,teammate,3,Torkoal,,,,,,,,,
Pyroar,40,teammate,4,Basculegion Male,,,,,,,,,
Pyroar,40,teammate,5,Ninetales,,,,,,,,,
Pyroar,40,teammate,6,Venusaur,,,,,,,,,
Pyroar,40,teammate,7,Floette,,,,,,,,,
Pyroar,40,teammate,8,Garchomp,,,,,,,,,
Pyroar,40,teammate,9,Sylveon,,,,,,,,,
Pyroar,40,teammate,10,Scrafty,,,,,,,,,
Pyroar,40,stat_alignment,1,Timid,79.6%,Speed,Attack,,,,,,
Pyroar,40,stat_alignment,2,Modest,19.0%,Sp. Atk,Attack,,,,,,
Pyroar,40,stat_alignment,3,Mild,0.4%,Sp. Atk,Defense,,,,,,
Pyroar,40,stat_alignment,4,Hasty,0.2%,Speed,Defense,,,,,,
Pyroar,40,stat_alignment,5,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Pyroar,40,stat_alignment,6,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Pyroar,40,stat_alignment,7,Naive,0.2%,Speed,Sp. Def,,,,,,
Pyroar,40,stat_alignment,8,Bold,0.1%,Defense,Attack,,,,,,
Pyroar,40,stat_alignment,9,Serious,0.1%,,,,,,,,
Pyroar,40,stat_alignment,10,Calm,0.1%,Sp. Def,Attack,,,,,,
Pyroar,40,stat_points,1,,56.2%,,,2,0,0,32,0,32
Pyroar,40,stat_points,2,,10.8%,,,0,0,7,32,0,27
Pyroar,40,stat_points,3,,6.0%,,,7,0,0,32,0,27
Pyroar,40,stat_points,4,,3.9%,,,0,0,2,32,0,32
Pyroar,40,stat_points,5,,3.7%,,,0,0,0,32,2,32
Pyroar,40,stat_points,6,,1.6%,,,0,0,0,32,0,32
Pyroar,40,stat_points,7,,1.6%,,,14,0,3,22,0,27
Pyroar,40,stat_points,8,,1.3%,,,6,0,0,32,0,28
Pyroar,40,stat_points,9,,0.8%,,,14,0,3,32,0,17
Pyroar,40,stat_points,10,,0.7%,,,0,0,1,32,1,32
Pyroar,40,stat_points,11,,0.6%,,,1,0,0,32,0,32
Pyroar,40,stat_points,12,,0.6%,,,4,0,0,32,0,30
Pyroar,40,ability,1,Unnerve,89.1%,,,,,,,,
Pyroar,40,ability,2,Moxie,5.9%,,,,,,,,
Pyroar,40,ability,3,Rivalry,5.0%,,,,,,,,
