pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Quaquaval,177,move,1,Aqua Step,83.8%,,,,,,,,
Quaquaval,177,move,2,Close Combat,83.7%,,,,,,,,
Quaquaval,177,move,3,Protect,41.4%,,,,,,,,
Quaquaval,177,move,4,Triple Axel,31.8%,,,,,,,,
Quaquaval,177,move,5,Ice Spinner,26.4%,,,,,,,,
Quaquaval,177,move,6,Aqua Jet,25.2%,,,,,,,,
Quaquaval,177,move,7,Knock Off,19.1%,,,,,,,,
Quaquaval,177,move,8,Wave Crash,18.2%,,,,,,,,
Quaquaval,177,move,9,Brick Break,10.1%,,,,,,,,
Quaquaval,177,move,10,Detect,0.9%,,,,,,,,
Quaquaval,177,held_item,1,Life Orb,16.8%,,,,,,,,
Quaquaval,177,held_item,2,Focus Sash,15.8%,,,,,,,,
Quaquaval,177,held_item,3,White Herb,12.8%,,,,,,,,
Quaquaval,177,held_item,4,Mystic Water,12.1%,,,,,,,,
Quaquaval,177,held_item,5,Quick Claw,10.7%,,,,,,,,
Quaquaval,177,held_item,6,Choice Scarf,8.1%,,,,,,,,
Quaquaval,177,held_item,7,Muscle Band,6.1%,,,,,,,,
Quaquaval,177,held_item,8,Sitrus Berry,5.9%,,,,,,,,
Quaquaval,177,held_item,9,Expert Belt,2.9%,,,,,,,,
Quaquaval,177,held_item,10,Leftovers,2.6%,,,,,,,,
Quaquaval,177,teammate,1,Whimsicott,,,,,,,,,
Quaquaval,177,teammate,2,Raichu,,,,,,,,,
Quaquaval,177,teammate,3,Froslass,,,,,,,,,
Quaquaval,177,teammate,4,Incineroar,,,,,,,,,
Quaquaval,177,teammate,5,Farigiraf,,,,,,,,,
Quaquaval,177,teammate,6,Charizard,,,,,,,,,
Quaquaval,177,teammate,7,Sneasler,,,,,,,,,
Quaquaval,177,teammate,8,Pelipper,,,,,,,,,
Quaquaval,177,teammate,9,Meowscarada,,,,,,,,,
Quaquaval,177,teammate,10,Garchomp,,,,,,,,,
Quaquaval,177,stat_alignment,1,Adamant,59.5%,Attack,Sp. Atk,,,,,,
Quaquaval,177,stat_alignment,2,Jolly,30.2%,Speed,Sp. Atk,,,,,,
Quaquaval,177,stat_alignment,3,Naughty,1.9%,Attack,Sp. Def,,,,,,
Quaquaval,177,stat_alignment,4,Careful,1.8%,Sp. Def,Sp. Atk,,,,,,
Quaquaval,177,stat_alignment,5,Lonely,1.6%,Attack,Defense,,,,,,
Quaquaval,177,stat_alignment,6,Gentle,1.4%,Sp. Def,Defense,,,,,,
Quaquaval,177,stat_alignment,7,Impish,1.2%,Defense,Sp. Atk,,,,,,
Quaquaval,177,stat_alignment,8,Brave,0.6%,Attack,Speed,,,,,,
Quaquaval,177,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Quaquaval,177,stat_alignment,10,Relaxed,0.3%,Defense,Speed,,,,,,
Quaquaval,177,stat_points,1,,35.8%,,,2,32,0,0,0,32
Quaquaval,177,stat_points,2,,12.8%,,,0,32,2,0,0,32
Quaquaval,177,stat_points,3,,10.9%,,,0,32,0,0,2,32
Quaquaval,177,stat_points,4,,3.0%,,,0,32,0,0,0,32
Quaquaval,177,stat_points,5,,3.0%,,,32,32,0,0,2,0
Quaquaval,177,stat_points,6,,2.9%,,,32,32,0,0,0,2
Quaquaval,177,stat_points,7,,1.5%,,,0,32,32,0,2,0
Quaquaval,177,stat_points,8,,1.5%,,,2,32,32,0,0,0
Quaquaval,177,stat_points,9,,1.3%,,,0,32,2,0,32,0
Quaquaval,177,stat_points,10,,1.2%,,,0,32,0,0,32,2
Quaquaval,177,stat_points,11,,1.2%,,,1,32,0,0,1,32
Quaquaval,177,stat_points,12,,1.2%,,,32,32,2,0,0,0
Quaquaval,177,ability,1,Moxie,96.8%,,,,,,,,
Quaquaval,177,ability,2,Torrent,3.2%,,,,,,,,
