pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Raichu,15,move,1,Zap Cannon,74.2%,,,,,,,,
Raichu,15,move,2,Focus Blast,71.6%,,,,,,,,
Raichu,15,move,3,Protect,70.2%,,,,,,,,
Raichu,15,move,4,Fake Out,67.6%,,,,,,,,
Raichu,15,move,5,Volt Switch,22.9%,,,,,,,,
Raichu,15,move,6,Grass Knot,18.9%,,,,,,,,
Raichu,15,move,7,Volt Tackle,8.7%,,,,,,,,
Raichu,15,move,8,Encore,8.4%,,,,,,,,
Raichu,15,move,9,Dazzling Gleam,7.8%,,,,,,,,
Raichu,15,move,10,Charm,6.5%,,,,,,,,
Raichu,15,held_item,1,Raichunite Y,75.0%,,,,,,,,
Raichu,15,held_item,2,Raichunite X,11.0%,,,,,,,,
Raichu,15,held_item,3,Focus Sash,8.1%,,,,,,,,
Raichu,15,held_item,4,Shuca Berry,2.2%,,,,,,,,
Raichu,15,held_item,5,Sitrus Berry,0.9%,,,,,,,,
Raichu,15,held_item,6,Magnet,0.6%,,,,,,,,
Raichu,15,held_item,7,Choice Scarf,0.3%,,,,,,,,
Raichu,15,held_item,8,Life Orb,0.3%,,,,,,,,
Raichu,15,held_item,9,Bright Powder,0.2%,,,,,,,,
Raichu,15,held_item,10,Quick Claw,0.2%,,,,,,,,
Raichu,15,teammate,1,Whimsicott,,,,,,,,,
Raichu,15,teammate,2,Garchomp,,,,,,,,,
Raichu,15,teammate,3,Basculegion Male,,,,,,,,,
Raichu,15,teammate,4,Sinistcha,,,,,,,,,
Raichu,15,teammate,5,Incineroar,,,,,,,,,
Raichu,15,teammate,6,Staraptor,,,,,,,,,
Raichu,15,teammate,7,Kingambit,,,,,,,,,
Raichu,15,teammate,8,Pelipper,,,,,,,,,
Raichu,15,teammate,9,Gholdengo,,,,,,,,,
Raichu,15,teammate,10,Sylveon,,,,,,,,,
Raichu,15,stat_alignment,1,Timid,63.3%,Speed,Attack,,,,,,
Raichu,15,stat_alignment,2,Modest,21.9%,Sp. Atk,Attack,,,,,,
Raichu,15,stat_alignment,3,Jolly,10.8%,Speed,Sp. Atk,,,,,,
Raichu,15,stat_alignment,4,Adamant,1.1%,Attack,Sp. Atk,,,,,,
Raichu,15,stat_alignment,5,Hasty,0.9%,Speed,Defense,,,,,,
Raichu,15,stat_alignment,6,Naive,0.4%,Speed,Sp. Def,,,,,,
Raichu,15,stat_alignment,7,Bold,0.4%,Defense,Attack,,,,,,
Raichu,15,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Raichu,15,stat_alignment,9,Rash,0.2%,Sp. Atk,Sp. Def,,,,,,
Raichu,15,stat_alignment,10,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Raichu,15,stat_points,1,,49.9%,,,2,0,0,32,0,32
Raichu,15,stat_points,2,,8.4%,,,2,32,0,0,0,32
Raichu,15,stat_points,3,,5.6%,,,0,0,2,32,0,32
Raichu,15,stat_points,4,,4.2%,,,16,0,2,24,0,24
Raichu,15,stat_points,5,,1.7%,,,0,0,0,32,2,32
Raichu,15,stat_points,6,,1.4%,,,32,0,22,0,4,8
Raichu,15,stat_points,7,,1.4%,,,17,0,17,0,0,32
Raichu,15,stat_points,8,,1.2%,,,0,0,0,32,0,32
Raichu,15,stat_points,9,,1.1%,,,32,0,2,0,0,32
Raichu,15,stat_points,10,,1.0%,,,30,0,13,0,0,23
Raichu,15,stat_points,11,,0.8%,,,32,0,0,2,0,32
Raichu,15,stat_points,12,,0.7%,,,32,0,11,0,0,23
Raichu,15,ability,1,Lightning Rod,97.3%,,,,,,,,
Raichu,15,ability,2,Static,2.7%,,,,,,,,
