pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rampardos,179,move,1,Rock Slide,93.9%,,,,,,,,
Rampardos,179,move,2,Protect,70.8%,,,,,,,,
Rampardos,179,move,3,Iron Head,36.2%,,,,,,,,
Rampardos,179,move,4,Head Smash,28.3%,,,,,,,,
Rampardos,179,move,5,Fire Punch,23.7%,,,,,,,,
Rampardos,179,move,6,Earthquake,23.3%,,,,,,,,
Rampardos,179,move,7,Thunder Punch,18.1%,,,,,,,,
Rampardos,179,move,8,Crunch,15.9%,,,,,,,,
Rampardos,179,move,9,Zen Headbutt,14.5%,,,,,,,,
Rampardos,179,move,10,Hammer Arm,12.8%,,,,,,,,
Rampardos,179,held_item,1,Life Orb,57.0%,,,,,,,,
Rampardos,179,held_item,2,Focus Sash,18.9%,,,,,,,,
Rampardos,179,held_item,3,Hard Stone,7.5%,,,,,,,,
Rampardos,179,held_item,4,Choice Scarf,6.6%,,,,,,,,
Rampardos,179,held_item,5,Wide Lens,2.0%,,,,,,,,
Rampardos,179,held_item,6,King's Rock,1.3%,,,,,,,,
Rampardos,179,held_item,7,Sitrus Berry,1.1%,,,,,,,,
Rampardos,179,held_item,8,Muscle Band,0.9%,,,,,,,,
Rampardos,179,held_item,9,Quick Claw,0.9%,,,,,,,,
Rampardos,179,held_item,10,Shuca Berry,0.8%,,,,,,,,
Rampardos,179,teammate,1,Farigiraf,,,,,,,,,
Rampardos,179,teammate,2,Torkoal,,,,,,,,,
Rampardos,179,teammate,3,Sinistcha,,,,,,,,,
Rampardos,179,teammate,4,Oranguru,,,,,,,,,
Rampardos,179,teammate,5,Sylveon,,,,,,,,,
Rampardos,179,teammate,6,Mawile,,,,,,,,,
Rampardos,179,teammate,7,Staraptor,,,,,,,,,
Rampardos,179,teammate,8,Kingambit,,,,,,,,,
Rampardos,179,teammate,9,Incineroar,,,,,,,,,
Rampardos,179,teammate,10,Camerupt,,,,,,,,,
Rampardos,179,stat_alignment,1,Brave,66.4%,Attack,Speed,,,,,,
Rampardos,179,stat_alignment,2,Adamant,23.3%,Attack,Sp. Atk,,,,,,
Rampardos,179,stat_alignment,3,Jolly,6.6%,Speed,Sp. Atk,,,,,,
Rampardos,179,stat_alignment,4,Lonely,1.4%,Attack,Defense,,,,,,
Rampardos,179,stat_alignment,5,Sassy,0.7%,Sp. Def,Speed,,,,,,
Rampardos,179,stat_alignment,6,Lax,0.7%,Defense,Sp. Def,,,,,,
Rampardos,179,stat_alignment,7,Naughty,0.4%,Attack,Sp. Def,,,,,,
Rampardos,179,stat_alignment,8,Hasty,0.3%,Speed,Defense,,,,,,
Rampardos,179,stat_alignment,9,Naive,0.1%,Speed,Sp. Def,,,,,,
Rampardos,179,stat_alignment,10,Quiet,0.0%,Sp. Atk,Speed,,,,,,
Rampardos,179,stat_points,1,,26.3%,,,32,32,2,0,0,0
Rampardos,179,stat_points,2,,20.1%,,,32,32,0,0,2,0
Rampardos,179,stat_points,3,,5.6%,,,32,32,0,0,0,0
Rampardos,179,stat_points,4,,4.9%,,,2,32,0,0,0,32
Rampardos,179,stat_points,5,,4.1%,,,20,32,14,0,0,0
Rampardos,179,stat_points,6,,2.5%,,,0,32,2,0,32,0
Rampardos,179,stat_points,7,,2.5%,,,2,32,32,0,0,0
Rampardos,179,stat_points,8,,2.2%,,,2,32,0,0,32,0
Rampardos,179,stat_points,9,,2.1%,,,0,32,0,0,2,32
Rampardos,179,stat_points,10,,1.8%,,,0,32,2,0,0,32
Rampardos,179,stat_points,11,,1.7%,,,32,32,1,0,0,0
Rampardos,179,stat_points,12,,1.3%,,,0,32,32,0,2,0
Rampardos,179,ability,1,Sheer Force,89.7%,,,,,,,,
Rampardos,179,ability,2,Mold Breaker,10.3%,,,,,,,,
